record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,1/3650,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3650/,20260416_012527,トヨタ,センチュリー,toyota-century,,2016,2016年式,5.0,8万km,80000,80000,,東京都,2024-06,,,,,3122000,,,312.2
appraisal_record,kurumaerabi_kaitori,1/3650,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3650/,20260416_012527,トヨタ,センチュリー,toyota-century,,2015,2015年式,5.0 デュアルEMVパッケージ,"149,000km",149000,149000,,福井県,2017-03,,,,,660000,,,66.0
appraisal_record,kurumaerabi_kaitori,1/3650,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3650/,20260416_012527,トヨタ,センチュリー,toyota-century,,2015,2015年式,5.0,"199,000km",199000,199000,,栃木県,2026-03,,,,,2095000,,,209.5
appraisal_record,kurumaerabi_kaitori,1/3650,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3650/,20260416_012527,トヨタ,センチュリー,toyota-century,,2014,2014年式,5.0 デュアルEMVパッケージ,"45,000km",45000,45000,,石川県,2025-03,,,,,1448000,,,144.8
appraisal_record,kurumaerabi_kaitori,1/3650,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3650/,20260416_012527,トヨタ,センチュリー,toyota-century,,2014,2014年式,5.0,"166,000km",166000,166000,,茨城県,2025-10,,,,,2332000,,,233.2
appraisal_record,kurumaerabi_kaitori,1/3650,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3650/,20260416_012527,トヨタ,センチュリー,toyota-century,,2013,2013年式,5.0,"164,000km",164000,164000,,茨城県,2025-11,,,,,1220000,,,122.0
appraisal_record,kurumaerabi_kaitori,1/3650,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3650/,20260416_012527,トヨタ,センチュリー,toyota-century,,2013,2013年式,5.0,"174,000km",174000,174000,,茨城県,2024-09,,,,,1872000,,,187.2
appraisal_record,kurumaerabi_kaitori,1/3650,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3650/,20260416_012527,トヨタ,センチュリー,toyota-century,,2013,2013年式,5.0 デュアルEMVパッケージ,"182,000km",182000,182000,,群馬県,2018-11,,,,,1073000,,,107.3
appraisal_record,kurumaerabi_kaitori,1/3650,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3650/,20260416_012527,トヨタ,センチュリー,toyota-century,,2013,2013年式,5.0,"185,000km",185000,185000,,茨城県,2026-01,,,,,2301000,,,230.1
appraisal_record,kurumaerabi_kaitori,1/3650,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3650/,20260416_012527,トヨタ,センチュリー,toyota-century,,2013,2013年式,5.0 デュアルEMVパッケージ,"194,000km",194000,194000,,栃木県,2024-02,,,,,1080000,,,108.0
appraisal_record,kurumaerabi_kaitori,1/3650,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3650/,20260416_012527,トヨタ,センチュリー,toyota-century,,2012,2012年式,5.0,"86,000km",86000,86000,,佐賀県,2025-07,,,,,931000,,,93.1
appraisal_record,kurumaerabi_kaitori,1/3650,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3650/,20260416_012527,トヨタ,センチュリー,toyota-century,,2012,2012年式,5.0 デュアルEMVパッケージ,"147,000km",147000,147000,,福岡県,2022-06,,,,,1603000,,,160.3
appraisal_record,kurumaerabi_kaitori,1/3650,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3650/,20260416_012527,トヨタ,センチュリー,toyota-century,,2012,2012年式,5.0 デュアルEMVパッケージ,"162,000km",162000,162000,,群馬県,2024-05,,,,,1590000,,,159.0
appraisal_record,kurumaerabi_kaitori,1/3650,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3650/,20260416_012527,トヨタ,センチュリー,toyota-century,,2012,2012年式,5.0 デュアルEMVパッケージ,18万km,180000,180000,,愛知県,2023-03,,,,,1350000,,,135.0
appraisal_record,kurumaerabi_kaitori,1/3650,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3650/,20260416_012527,トヨタ,センチュリー,toyota-century,,2012,2012年式,5.0 デュアルEMVパッケージ,"224,000km",224000,224000,,富山県,2024-09,,,,,840000,,,84.0
