record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,1/23165,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23165/,20260416_012456,トヨタ,カローラクロス,toyota-corolla-cross,,2025,2025年式,2.0 Z,"1,000km",1000,1000,,和歌山県,2025-06,,,,,2220000,,,222.0
appraisal_record,kurumaerabi_kaitori,1/23165,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23165/,20260416_012456,トヨタ,カローラクロス,toyota-corolla-cross,,2025,2025年式,1.8 ハイブリッド S,"1,000km",1000,1000,,大阪府,2025-12,,,,,2402000,,,240.2
appraisal_record,kurumaerabi_kaitori,1/23165,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23165/,20260416_012456,トヨタ,カローラクロス,toyota-corolla-cross,,2025,2025年式,1.8 ハイブリッド Z E-Four 4WD,"1,000km",1000,1000,,島根県,2025-12,,,,,2830000,,,283.0
appraisal_record,kurumaerabi_kaitori,1/23165,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23165/,20260416_012456,トヨタ,カローラクロス,toyota-corolla-cross,,2025,2025年式,1.8 ハイブリッド Z,"1,000km",1000,1000,,大阪府,2025-06,,,,,3037000,,,303.7
appraisal_record,kurumaerabi_kaitori,1/23165,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23165/,20260416_012456,トヨタ,カローラクロス,toyota-corolla-cross,,2025,2025年式,1.8 ハイブリッド Z,"1,000km",1000,1000,,大阪府,2025-02,,,,,3038000,,,303.8
appraisal_record,kurumaerabi_kaitori,1/23165,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23165/,20260416_012456,トヨタ,カローラクロス,toyota-corolla-cross,,2025,2025年式,1.8 ハイブリッド Z,"1,000km",1000,1000,,長崎県,2025-09,,,,,3175000,,,317.5
appraisal_record,kurumaerabi_kaitori,1/23165,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23165/,20260416_012456,トヨタ,カローラクロス,toyota-corolla-cross,,2025,2025年式,1.8 ハイブリッド Z,"1,000km",1000,1000,,佐賀県,2025-08,,,,,3395000,,,339.5
appraisal_record,kurumaerabi_kaitori,1/23165,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23165/,20260416_012456,トヨタ,カローラクロス,toyota-corolla-cross,,2025,2025年式,2.0 G X,"2,000km",2000,2000,,富山県,2025-12,,,,,2165000,,,216.5
appraisal_record,kurumaerabi_kaitori,1/23165,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23165/,20260416_012456,トヨタ,カローラクロス,toyota-corolla-cross,,2025,2025年式,1.8 ハイブリッド Z,"2,000km",2000,2000,,愛知県,2025-05,,,,,2894000,,,289.4
appraisal_record,kurumaerabi_kaitori,1/23165,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23165/,20260416_012456,トヨタ,カローラクロス,toyota-corolla-cross,,2025,2025年式,1.8 ハイブリッド Z,"2,000km",2000,2000,,熊本県,2025-07,,,,,3025000,,,302.5
