record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2025,2025年式,1.5 G,"2,000km",2000,2000,,長野県,2025-09,,,,,2000000,,,200.0
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2025,2025年式,1.8 ハイブリッド G,"2,000km",2000,2000,,秋田県,2026-02,,,,,2170000,,,217.0
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2025,2025年式,1.8 ハイブリッド W×B,"3,000km",3000,3000,,山形県,2026-03,,,,,1616000,,,161.6
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2025,2025年式,1.8 ハイブリッド X,"3,000km",3000,3000,,山形県,2026-02,,,,,2085000,,,208.5
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2025,2025年式,1.8 ハイブリッド W×B,"3,000km",3000,3000,,兵庫県,2025-10,,,,,2288000,,,228.8
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2025,2025年式,1.5 W&times;B,"7,000km",7000,7000,,大分県,2026-02,,,,,2080000,,,208.0
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2025,2025年式,1.5 G,"8,000km",8000,8000,,岩手県,2026-01,,,,,1883000,,,188.3
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2025,2025年式,1.5 W&times;B,"14,000km",14000,14000,,宮崎県,2026-03,,,,,1923000,,,192.3
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2025,2025年式,1.8 ハイブリッド G,"15,000km",15000,15000,,静岡県,2026-03,,,,,2087000,,,208.7
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2025,2025年式,1.8 ハイブリッド G E-Four 4WD,"27,000km",27000,27000,,山梨県,2025-12,,,,,1957000,,,195.7
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2025,2025年式,1.5 G,0万km,0,0,,福岡県,2025-10,,,,,1713000,,,171.3
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2024,2024年式,1.5 W&times;B,"1,000km",1000,1000,,宮崎県,2025-04,,,,,2005000,,,200.5
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2024,2024年式,1.8 ハイブリッド G,"1,000km",1000,1000,,福島県,2024-06,,,,,2210000,,,221.0
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2024,2024年式,1.8 ハイブリッド W×B,"1,000km",1000,1000,,岐阜県,2024-05,,,,,2385000,,,238.5
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2024,2024年式,1.8 ハイブリッド W×B E-Four 4WD,"1,000km",1000,1000,,秋田県,2024-05,,,,,2660000,,,266.0
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2024,2024年式,1.8 ハイブリッド G,"2,000km",2000,2000,,滋賀県,2025-04,,,,,1865000,,,186.5
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2024,2024年式,1.5 W&times;B,"2,000km",2000,2000,,岐阜県,2025-06,,,,,2114000,,,211.4
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2024,2024年式,1.8 ハイブリッド W×B,"2,000km",2000,2000,,和歌山県,2024-10,,,,,2306000,,,230.6
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2024,2024年式,1.8 ハイブリッド アクティブ スポーツ,"2,000km",2000,2000,,大阪府,2024-10,,,,,2402000,,,240.2
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2024,2024年式,1.8 ハイブリッド アクティブ スポーツ,"2,000km",2000,2000,,新潟県,2025-04,,,,,2601000,,,260.1
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2024,2024年式,1.8 ハイブリッド G,"3,000km",3000,3000,,三重県,2025-04,,,,,1898000,,,189.8
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2024,2024年式,1.8 ハイブリッド W×B E-Four 4WD,"3,000km",3000,3000,,鳥取県,2025-10,,,,,2050000,,,205.0
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2024,2024年式,1.8 ハイブリッド W×B,"3,000km",3000,3000,,高知県,2025-09,,,,,2385000,,,238.5
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2024,2024年式,1.8 ハイブリッド W×B,"3,000km",3000,3000,,栃木県,2026-02,,,,,2402000,,,240.2
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2024,2024年式,1.8 ハイブリッド W×B,"4,000km",4000,4000,,滋賀県,2024-11,,,,,1641000,,,164.1
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2024,2024年式,1.5 W&times;B,"4,000km",4000,4000,,長野県,2025-05,,,,,2128000,,,212.8
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2024,2024年式,1.5 W&times;B,"4,000km",4000,4000,,宮城県,2026-02,,,,,2153000,,,215.3
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2024,2024年式,1.5 W&times;B,"5,000km",5000,5000,,福井県,2025-07,,,,,2150000,,,215.0
appraisal_record,kurumaerabi_kaitori,1/22947,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22947/,20260416_012452,トヨタ,カローラツーリング,toyota-corolla-touring,,2024,2024年式,1.5 W&times;B,"5,000km",5000,5000,,福岡県,2025-08,,,,,2255000,,,225.5
