record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,1/22328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22328/,20260416_012530,トヨタ,クラウンセダン,toyota-crown-sedan,,2021,2021年式,2.5 ロイヤルサルーン,"85,000km",85000,85000,,長野県,2022-12,,,,,416000,,,41.6
appraisal_record,kurumaerabi_kaitori,1/22328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22328/,20260416_012530,トヨタ,クラウンセダン,toyota-crown-sedan,,2019,2019年式,2.0 スーパーサルーン,"626,000km",626000,626000,,和歌山県,2024-09,,,,,385000,,,38.5
appraisal_record,kurumaerabi_kaitori,1/22328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22328/,20260416_012530,トヨタ,クラウンセダン,toyota-crown-sedan,,2018,2018年式,2.0 スーパーサルーン,"389,000km",389000,389000,,岐阜県,2024-10,,,,,513000,,,51.3
appraisal_record,kurumaerabi_kaitori,1/22328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22328/,20260416_012530,トヨタ,クラウンセダン,toyota-crown-sedan,,2018,2018年式,2.0 スーパーデラックス,"413,000km",413000,413000,,徳島県,2025-09,,,,,395000,,,39.5
appraisal_record,kurumaerabi_kaitori,1/22328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22328/,20260416_012530,トヨタ,クラウンセダン,toyota-crown-sedan,,2018,2018年式,2.0 スーパーデラックス,"436,000km",436000,436000,,大分県,2025-07,,,,,380000,,,38.0
appraisal_record,kurumaerabi_kaitori,1/22328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22328/,20260416_012530,トヨタ,クラウンセダン,toyota-crown-sedan,,2018,2018年式,2.0 スーパーデラックス,"485,000km",485000,485000,,島根県,2025-04,,,,,402000,,,40.2
appraisal_record,kurumaerabi_kaitori,1/22328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22328/,20260416_012530,トヨタ,クラウンセダン,toyota-crown-sedan,,2018,2018年式,2.0 スーパーサルーン,"772,000km",772000,772000,,宮城県,2024-12,,,,,225000,,,22.5
appraisal_record,kurumaerabi_kaitori,1/22328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22328/,20260416_012530,トヨタ,クラウンセダン,toyota-crown-sedan,,2017,2017年式,2.0 スーパーデラックス,"251,000km",251000,251000,,静岡県,2023-11,,,,,629000,,,62.9
appraisal_record,kurumaerabi_kaitori,1/22328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22328/,20260416_012530,トヨタ,クラウンセダン,toyota-crown-sedan,,2017,2017年式,2.0 スーパーデラックス,26万km,260000,260000,,埼玉県,2024-08,,,,,604000,,,60.4
appraisal_record,kurumaerabi_kaitori,1/22328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22328/,20260416_012530,トヨタ,クラウンセダン,toyota-crown-sedan,,2017,2017年式,2.0 スーパーデラックス Gパッケージ,"291,000km",291000,291000,,大阪府,2025-03,,,,,594000,,,59.4
appraisal_record,kurumaerabi_kaitori,1/22328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22328/,20260416_012530,トヨタ,クラウンセダン,toyota-crown-sedan,,2017,2017年式,2.0 スーパーデラックス,"329,000km",329000,329000,,岩手県,2023-05,,,,,297000,,,29.7
appraisal_record,kurumaerabi_kaitori,1/22328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22328/,20260416_012530,トヨタ,クラウンセダン,toyota-crown-sedan,,2017,2017年式,2.0 スーパーデラックス Gパッケージ,"336,000km",336000,336000,,秋田県,2022-11,,,,,570000,,,57.0
appraisal_record,kurumaerabi_kaitori,1/22328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22328/,20260416_012530,トヨタ,クラウンセダン,toyota-crown-sedan,,2017,2017年式,2.0 スーパーデラックス,36万km,360000,360000,,静岡県,2025-12,,,,,270000,,,27.0
