record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,1/23409,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23409/,20260416_012529,トヨタ,クラウンスポーツ,toyota-crown-sport,,2025,2025年式,2.5 Z E-Four 4WD,"1,000km",1000,1000,,鳥取県,2025-09,,,,,5155000,,,515.5
appraisal_record,kurumaerabi_kaitori,1/23409,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23409/,20260416_012529,トヨタ,クラウンスポーツ,toyota-crown-sport,,2025,2025年式,2.5 Z E-Four 4WD,"2,000km",2000,2000,,愛知県,2025-03,,,,,4705000,,,470.5
appraisal_record,kurumaerabi_kaitori,1/23409,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23409/,20260416_012529,トヨタ,クラウンスポーツ,toyota-crown-sport,,2025,2025年式,2.5 Z E-Four 4WD,"2,000km",2000,2000,,長野県,2025-06,,,,,4860000,,,486.0
appraisal_record,kurumaerabi_kaitori,1/23409,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23409/,20260416_012529,トヨタ,クラウンスポーツ,toyota-crown-sport,,2025,2025年式,2.5 Z E-Four 4WD,"3,000km",3000,3000,,高知県,2025-08,,,,,4608000,,,460.8
appraisal_record,kurumaerabi_kaitori,1/23409,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23409/,20260416_012529,トヨタ,クラウンスポーツ,toyota-crown-sport,,2025,2025年式,2.5 Z E-Four 4WD,"5,000km",5000,5000,,愛知県,2025-10,,,,,4593000,,,459.3
appraisal_record,kurumaerabi_kaitori,1/23409,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23409/,20260416_012529,トヨタ,クラウンスポーツ,toyota-crown-sport,,2025,2025年式,2.5 Z E-Four 4WD,"5,000km",5000,5000,,佐賀県,2025-05,,,,,4943000,,,494.3
appraisal_record,kurumaerabi_kaitori,1/23409,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23409/,20260416_012529,トヨタ,クラウンスポーツ,toyota-crown-sport,,2025,2025年式,2.5 RS E-Four 4WD,"5,000km",5000,5000,,千葉県,2025-11,,,,,5710000,,,571.0
appraisal_record,kurumaerabi_kaitori,1/23409,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23409/,20260416_012529,トヨタ,クラウンスポーツ,toyota-crown-sport,,2025,2025年式,2.5 Z E-Four 4WD,"6,000km",6000,6000,,新潟県,2025-11,,,,,5235000,,,523.5
appraisal_record,kurumaerabi_kaitori,1/23409,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23409/,20260416_012529,トヨタ,クラウンスポーツ,toyota-crown-sport,,2025,2025年式,2.5 Z E-Four 4WD,"7,000km",7000,7000,,福岡県,2026-03,,,,,5198000,,,519.8
appraisal_record,kurumaerabi_kaitori,1/23409,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23409/,20260416_012529,トヨタ,クラウンスポーツ,toyota-crown-sport,,2025,2025年式,2.5 Z E-Four 4WD,"7,000km",7000,7000,,京都府,2025-05,,,,,5600000,,,560.0
appraisal_record,kurumaerabi_kaitori,1/23409,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23409/,20260416_012529,トヨタ,クラウンスポーツ,toyota-crown-sport,,2025,2025年式,2.5 Z E-Four 4WD,"8,000km",8000,8000,,香川県,2025-10,,,,,5135000,,,513.5
appraisal_record,kurumaerabi_kaitori,1/23409,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23409/,20260416_012529,トヨタ,クラウンスポーツ,toyota-crown-sport,,2025,2025年式,2.5 Z E-Four 4WD,"9,000km",9000,9000,,徳島県,2025-10,,,,,5225000,,,522.5
appraisal_record,kurumaerabi_kaitori,1/23409,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23409/,20260416_012529,トヨタ,クラウンスポーツ,toyota-crown-sport,,2025,2025年式,2.5 Z E-Four 4WD,0万km,0,0,,山口県,2025-06,,,,,4292000,,,429.2
appraisal_record,kurumaerabi_kaitori,1/23409,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23409/,20260416_012529,トヨタ,クラウンスポーツ,toyota-crown-sport,,2024,2024年式,2.5 Z E-Four 4WD,"1,000km",1000,1000,,栃木県,2025-12,,,,,4306000,,,430.6
appraisal_record,kurumaerabi_kaitori,1/23409,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23409/,20260416_012529,トヨタ,クラウンスポーツ,toyota-crown-sport,,2024,2024年式,2.5 Z E-Four 4WD,"1,000km",1000,1000,,福井県,2024-10,,,,,4650000,,,465.0
appraisal_record,kurumaerabi_kaitori,1/23409,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23409/,20260416_012529,トヨタ,クラウンスポーツ,toyota-crown-sport,,2024,2024年式,2.5 Z E-Four 4WD,"1,000km",1000,1000,,東京都,2024-10,,,,,5078000,,,507.8
appraisal_record,kurumaerabi_kaitori,1/23409,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23409/,20260416_012529,トヨタ,クラウンスポーツ,toyota-crown-sport,,2024,2024年式,2.5 Z E-Four 4WD,"1,000km",1000,1000,,岐阜県,2025-06,,,,,5261000,,,526.1
appraisal_record,kurumaerabi_kaitori,1/23409,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23409/,20260416_012529,トヨタ,クラウンスポーツ,toyota-crown-sport,,2024,2024年式,2.5 RS E-Four 4WD,"1,000km",1000,1000,,和歌山県,2025-09,,,,,5283000,,,528.3
