record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,1/72,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/72/,20260416_012442,トヨタ,クラウン,toyota-crown,,2024,2024年式,2.5 Z ハイブリッド,"21,000km",21000,21000,,新潟県,2026-01,,,,,4503000,,,450.3
appraisal_record,kurumaerabi_kaitori,1/72,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/72/,20260416_012442,トヨタ,クラウン,toyota-crown,,2024,2024年式,2.5 Z ハイブリッド,3万km,30000,30000,,愛知県,2026-03,,,,,4441000,,,444.1
appraisal_record,kurumaerabi_kaitori,1/72,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/72/,20260416_012442,トヨタ,クラウン,toyota-crown,,2024,2024年式,2.5 Z ハイブリッド,"43,000km",43000,43000,,愛知県,2025-08,,,,,4583000,,,458.3
appraisal_record,kurumaerabi_kaitori,1/72,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/72/,20260416_012442,トヨタ,クラウン,toyota-crown,,2022,2022年式,2.0 RS,"7,000km",7000,7000,,岡山県,2025-11,,,,,3955000,,,395.5
appraisal_record,kurumaerabi_kaitori,1/72,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/72/,20260416_012442,トヨタ,クラウン,toyota-crown,,2022,2022年式,ハイブリッド 2.5 RS リミテッドII,"18,000km",18000,18000,,埼玉県,2025-10,,,,,3318000,,,331.8
appraisal_record,kurumaerabi_kaitori,1/72,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/72/,20260416_012442,トヨタ,クラウン,toyota-crown,,2022,2022年式,ハイブリッド 2.5 RS リミテッド,"19,000km",19000,19000,,愛媛県,2026-02,,,,,3695000,,,369.5
appraisal_record,kurumaerabi_kaitori,1/72,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/72/,20260416_012442,トヨタ,クラウン,toyota-crown,,2022,2022年式,ハイブリッド 2.5 RS アドバンス Four 4WD,"19,000km",19000,19000,,鳥取県,2025-11,,,,,4203000,,,420.3
appraisal_record,kurumaerabi_kaitori,1/72,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/72/,20260416_012442,トヨタ,クラウン,toyota-crown,,2022,2022年式,2.0 S,2万km,20000,20000,,山口県,2025-12,,,,,3070000,,,307.0
appraisal_record,kurumaerabi_kaitori,1/72,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/72/,20260416_012442,トヨタ,クラウン,toyota-crown,,2022,2022年式,ハイブリッド 2.5 RS リミテッド,"21,000km",21000,21000,,香川県,2026-01,,,,,3990000,,,399.0
appraisal_record,kurumaerabi_kaitori,1/72,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/72/,20260416_012442,トヨタ,クラウン,toyota-crown,,2022,2022年式,ハイブリッド 2.5 B,"23,000km",23000,23000,,佐賀県,2026-02,,,,,3265000,,,326.5
