record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,1/3662,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3662/,20260416_012518,トヨタ,ランドクルーザー70,toyota-land-cruiser-70,,2025,2025年式,2.8 AX ディーゼル 4WD,"1,000km",1000,1000,,徳島県,2026-02,,,,,6930000,,,693.0
appraisal_record,kurumaerabi_kaitori,1/3662,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3662/,20260416_012518,トヨタ,ランドクルーザー70,toyota-land-cruiser-70,,2025,2025年式,2.8 AX ディーゼル 4WD,"1,000km",1000,1000,,北海道,2025-11,,,,,6995000,,,699.5
appraisal_record,kurumaerabi_kaitori,1/3662,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3662/,20260416_012518,トヨタ,ランドクルーザー70,toyota-land-cruiser-70,,2025,2025年式,2.8 AX ディーゼル 4WD,"1,000km",1000,1000,,静岡県,2026-03,,,,,7746000,,,774.6
appraisal_record,kurumaerabi_kaitori,1/3662,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3662/,20260416_012518,トヨタ,ランドクルーザー70,toyota-land-cruiser-70,,2025,2025年式,2.8 AX ディーゼル 4WD,"2,000km",2000,2000,,岡山県,2026-03,,,,,6995000,,,699.5
appraisal_record,kurumaerabi_kaitori,1/3662,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3662/,20260416_012518,トヨタ,ランドクルーザー70,toyota-land-cruiser-70,,2025,2025年式,2.8 AX ディーゼル 4WD,"3,000km",3000,3000,,岩手県,2026-01,,,,,6985000,,,698.5
appraisal_record,kurumaerabi_kaitori,1/3662,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3662/,20260416_012518,トヨタ,ランドクルーザー70,toyota-land-cruiser-70,,2025,2025年式,2.8 AX ディーゼル 4WD,"3,000km",3000,3000,,島根県,2026-03,,,,,7150000,,,715.0
appraisal_record,kurumaerabi_kaitori,1/3662,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3662/,20260416_012518,トヨタ,ランドクルーザー70,toyota-land-cruiser-70,,2025,2025年式,2.8 AX ディーゼル 4WD,"5,000km",5000,5000,,埼玉県,2025-09,,,,,6525000,,,652.5
appraisal_record,kurumaerabi_kaitori,1/3662,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3662/,20260416_012518,トヨタ,ランドクルーザー70,toyota-land-cruiser-70,,2025,2025年式,2.8 AX ディーゼル 4WD,"6,000km",6000,6000,,愛知県,2026-03,,,,,6743000,,,674.3
appraisal_record,kurumaerabi_kaitori,1/3662,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3662/,20260416_012518,トヨタ,ランドクルーザー70,toyota-land-cruiser-70,,2025,2025年式,2.8 AX ディーゼル 4WD,"8,000km",8000,8000,,岩手県,2025-10,,,,,6745000,,,674.5
appraisal_record,kurumaerabi_kaitori,1/3662,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3662/,20260416_012518,トヨタ,ランドクルーザー70,toyota-land-cruiser-70,,2025,2025年式,2.8 AX ディーゼル 4WD,"15,000km",15000,15000,,広島県,2026-03,,,,,6308000,,,630.8
appraisal_record,kurumaerabi_kaitori,1/3662,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3662/,20260416_012518,トヨタ,ランドクルーザー70,toyota-land-cruiser-70,,2025,2025年式,2.8 AX ディーゼル 4WD,0万km,0,0,,広島県,2025-06,,,,,6870000,,,687.0
appraisal_record,kurumaerabi_kaitori,1/3662,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3662/,20260416_012518,トヨタ,ランドクルーザー70,toyota-land-cruiser-70,,2024,2024年式,2.8 AX ディーゼル 4WD,"1,000km",1000,1000,,福島県,2024-07,,,,,4852000,,,485.2
