record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,1/22970,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22970/,20260416_012446,トヨタ,ヤリス,toyota-yaris,,2025,2025年式,1.5 ハイブリッド X,"1,000km",1000,1000,,鹿児島県,2025-10,,,,,1483000,,,148.3
appraisal_record,kurumaerabi_kaitori,1/22970,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22970/,20260416_012446,トヨタ,ヤリス,toyota-yaris,,2025,2025年式,1.5 ハイブリッド U,"1,000km",1000,1000,,静岡県,2025-11,,,,,1526000,,,152.6
appraisal_record,kurumaerabi_kaitori,1/22970,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22970/,20260416_012446,トヨタ,ヤリス,toyota-yaris,,2025,2025年式,1.0 G,"1,000km",1000,1000,,香川県,2026-01,,,,,1923000,,,192.3
appraisal_record,kurumaerabi_kaitori,1/22970,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22970/,20260416_012446,トヨタ,ヤリス,toyota-yaris,,2025,2025年式,1.5 ハイブリッド Z E-Four 4WD,"2,000km",2000,2000,,北海道,2025-11,,,,,1785000,,,178.5
appraisal_record,kurumaerabi_kaitori,1/22970,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22970/,20260416_012446,トヨタ,ヤリス,toyota-yaris,,2025,2025年式,1.5 ハイブリッド Z E-Four 4WD,"2,000km",2000,2000,,宮崎県,2025-11,,,,,1885000,,,188.5
appraisal_record,kurumaerabi_kaitori,1/22970,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22970/,20260416_012446,トヨタ,ヤリス,toyota-yaris,,2025,2025年式,1.5 ハイブリッド Z,"2,000km",2000,2000,,岐阜県,2025-12,,,,,2125000,,,212.5
appraisal_record,kurumaerabi_kaitori,1/22970,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22970/,20260416_012446,トヨタ,ヤリス,toyota-yaris,,2025,2025年式,1.5 ハイブリッド Z,"3,000km",3000,3000,,宮崎県,2025-04,,,,,1799000,,,179.9
appraisal_record,kurumaerabi_kaitori,1/22970,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22970/,20260416_012446,トヨタ,ヤリス,toyota-yaris,,2025,2025年式,1.5 ハイブリッド G,"3,000km",3000,3000,,和歌山県,2025-09,,,,,1844000,,,184.4
appraisal_record,kurumaerabi_kaitori,1/22970,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22970/,20260416_012446,トヨタ,ヤリス,toyota-yaris,,2025,2025年式,1.5 ハイブリッド Z,"3,000km",3000,3000,,奈良県,2025-08,,,,,2120000,,,212.0
appraisal_record,kurumaerabi_kaitori,1/22970,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/22970/,20260416_012446,トヨタ,ヤリス,toyota-yaris,,2025,2025年式,1.0 X,"4,000km",4000,4000,,滋賀県,2025-06,,,,,1805000,,,180.5
