model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
daihatsu-altis-hybrid,アルティスハイブリッド,root,root,"8,000km",8000,8000,2,78.9,124.0,101.5,101.5,78.9,124.0,124.0,"2013年式 / 2.5 Gパッケージ / 8,000km / 秋田県",2013年式,2.5 Gパッケージ,"8,000km",秋田県,manen
daihatsu-altis-hybrid,アルティスハイブリッド,root,root,"22,000km",22000,22000,1,108.4,108.4,108.4,108.4,108.4,108.4,108.4,"2012年式 / 2.5 Gパッケージ / 22,000km / 千葉県",2012年式,2.5 Gパッケージ,"22,000km",千葉県,manen
daihatsu-altis-hybrid,アルティスハイブリッド,root,root,3万km,30000,30000,1,108.0,108.0,108.0,108.0,108.0,108.0,108.0,2012年式 / 2.5 Gパッケージ / 3万km / 石川県,2012年式,2.5 Gパッケージ,3万km,石川県,manen
daihatsu-altis-hybrid,アルティスハイブリッド,root,root,"32,000km",32000,32000,1,35.5,35.5,35.5,35.5,35.5,35.5,35.5,"2012年式 / 2.5 Gパッケージ / 32,000km / 岡山県",2012年式,2.5 Gパッケージ,"32,000km",岡山県,manen
daihatsu-altis-hybrid,アルティスハイブリッド,root,root,"33,000km",33000,33000,1,105.9,105.9,105.9,105.9,105.9,105.9,105.9,"2011年式 / 2.5 Gパッケージ / 33,000km / 福島県",2011年式,2.5 Gパッケージ,"33,000km",福島県,manen
daihatsu-altis-hybrid,アルティスハイブリッド,root,root,"37,000km",37000,37000,3,98.5,108.0,101.7,98.5,98.5,108.0,108.0,"2013年式 / 2.5 Gパッケージ / 37,000km / 福井県",2013年式,2.5 Gパッケージ,"37,000km",福井県,manen
daihatsu-altis-hybrid,アルティスハイブリッド,root,root,4万km,40000,40000,1,61.5,61.5,61.5,61.5,61.5,61.5,61.5,2013年式 / 2.5 Gパッケージ / 4万km / 長野県,2013年式,2.5 Gパッケージ,4万km,長野県,manen
daihatsu-altis-hybrid,アルティスハイブリッド,root,root,"41,000km",41000,41000,2,75.3,86.9,81.1,81.1,75.3,86.9,86.9,"2014年式 / 2.5 Gパッケージ / 41,000km / 秋田県",2014年式,2.5 Gパッケージ,"41,000km",秋田県,manen
daihatsu-altis-hybrid,アルティスハイブリッド,root,root,"44,000km",44000,44000,1,110.9,110.9,110.9,110.9,110.9,110.9,110.9,"2011年式 / 2.5 Gパッケージ / 44,000km / 島根県",2011年式,2.5 Gパッケージ,"44,000km",島根県,manen
daihatsu-altis-hybrid,アルティスハイブリッド,root,root,"48,000km",48000,48000,1,60.0,60.0,60.0,60.0,60.0,60.0,60.0,"2014年式 / 2.5 Gパッケージ / 48,000km / 山梨県",2014年式,2.5 Gパッケージ,"48,000km",山梨県,manen
daihatsu-altis-hybrid,アルティスハイブリッド,root,root,"52,000km",52000,52000,2,51.0,109.5,80.2,80.2,51.0,109.5,109.5,"2011年式 / 2.5 Gパッケージ / 52,000km / 三重県",2011年式,2.5 Gパッケージ,"52,000km",三重県,manen
daihatsu-altis-hybrid,アルティスハイブリッド,root,root,"54,000km",54000,54000,1,90.7,90.7,90.7,90.7,90.7,90.7,90.7,"2016年式 / 2.5 Gパッケージ / 54,000km / 山形県",2016年式,2.5 Gパッケージ,"54,000km",山形県,manen
daihatsu-altis-hybrid,アルティスハイブリッド,root,root,"56,000km",56000,56000,1,62.0,62.0,62.0,62.0,62.0,62.0,62.0,"2011年式 / 2.5 Gパッケージ / 56,000km / 埼玉県",2011年式,2.5 Gパッケージ,"56,000km",埼玉県,manen
daihatsu-altis-hybrid,アルティスハイブリッド,root,root,"57,000km",57000,57000,1,109.7,109.7,109.7,109.7,109.7,109.7,109.7,"2016年式 / 2.5 Gパッケージ / 57,000km / 青森県",2016年式,2.5 Gパッケージ,"57,000km",青森県,manen
daihatsu-altis-hybrid,アルティスハイブリッド,root,root,6万km,60000,60000,1,112.0,112.0,112.0,112.0,112.0,112.0,112.0,2016年式 / 2.5 Gパッケージ / 6万km / 青森県,2016年式,2.5 Gパッケージ,6万km,青森県,manen
daihatsu-altis-hybrid,アルティスハイブリッド,root,root,"61,000km",61000,61000,1,84.9,84.9,84.9,84.9,84.9,84.9,84.9,"2011年式 / 2.5 Gパッケージ / 61,000km / 東京都",2011年式,2.5 Gパッケージ,"61,000km",東京都,manen
daihatsu-altis-hybrid,アルティスハイブリッド,root,root,"64,000km",64000,64000,2,62.5,101.5,82.0,82.0,62.5,101.5,101.5,"2013年式 / 2.5 Gパッケージ / 64,000km / 京都府",2013年式,2.5 Gパッケージ,"64,000km",京都府,manen
daihatsu-altis-hybrid,アルティスハイブリッド,root,root,"68,000km",68000,68000,1,77.5,77.5,77.5,77.5,77.5,77.5,77.5,"2013年式 / 2.5 Gパッケージ / 68,000km / 岡山県",2013年式,2.5 Gパッケージ,"68,000km",岡山県,manen
daihatsu-altis-hybrid,アルティスハイブリッド,root,root,"69,000km",69000,69000,1,62.9,62.9,62.9,62.9,62.9,62.9,62.9,"2012年式 / 2.5 Gパッケージ / 69,000km / 静岡県",2012年式,2.5 Gパッケージ,"69,000km",静岡県,manen
daihatsu-altis-hybrid,アルティスハイブリッド,root,root,"71,000km",71000,71000,1,95.6,95.6,95.6,95.6,95.6,95.6,95.6,"2014年式 / 2.5 Gパッケージ / 71,000km / 宮崎県",2014年式,2.5 Gパッケージ,"71,000km",宮崎県,manen
daihatsu-altis-hybrid,アルティスハイブリッド,root,root,"78,000km",78000,78000,1,51.0,51.0,51.0,51.0,51.0,51.0,51.0,"2013年式 / 2.5 Gパッケージ / 78,000km / 香川県",2013年式,2.5 Gパッケージ,"78,000km",香川県,manen
