model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
daihatsu-atrai7,アトレー7,root,root,"7,000km",7000,7000,1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,"2000年式 / 1.3 CL リミテッドパック 4WD / 7,000km / 岡山県",2000年式,1.3 CL リミテッドパック 4WD,"7,000km",岡山県,manen
daihatsu-atrai7,アトレー7,root,root,"11,000km",11000,11000,2,26.5,26.5,26.5,26.5,26.5,26.5,26.5,"2009年式 / 1.3 CL Sエディション / 11,000km / 高知県",2009年式,1.3 CL Sエディション,"11,000km",高知県,manen
daihatsu-atrai7,アトレー7,root,root,"12,000km",12000,12000,1,26.4,26.4,26.4,26.4,26.4,26.4,26.4,"2001年式 / 1.3 CX スポーティパック / 12,000km / 岐阜県",2001年式,1.3 CX スポーティパック,"12,000km",岐阜県,manen
daihatsu-atrai7,アトレー7,root,root,"16,000km",16000,16000,2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,"2009年式 / 1.3 CL リミテッドパック / 16,000km / 福岡県",2009年式,1.3 CL リミテッドパック,"16,000km",福岡県,manen
daihatsu-atrai7,アトレー7,root,root,"17,000km",17000,17000,1,27.4,27.4,27.4,27.4,27.4,27.4,27.4,"2003年式 / 1.3 L リミテッド ハイルーフ / 17,000km / 富山県",2003年式,1.3 L リミテッド ハイルーフ,"17,000km",富山県,manen
daihatsu-atrai7,アトレー7,root,root,"22,000km",22000,22000,1,28.6,28.6,28.6,28.6,28.6,28.6,28.6,"2001年式 / 1.3 CL 4WD / 22,000km / 埼玉県",2001年式,1.3 CL 4WD,"22,000km",埼玉県,manen
daihatsu-atrai7,アトレー7,root,root,"24,000km",24000,24000,1,27.3,27.3,27.3,27.3,27.3,27.3,27.3,"2002年式 / 1.3 L リミテッド ハイルーフ / 24,000km / 愛媛県",2002年式,1.3 L リミテッド ハイルーフ,"24,000km",愛媛県,manen
daihatsu-atrai7,アトレー7,root,root,"26,000km",26000,26000,1,18.7,18.7,18.7,18.7,18.7,18.7,18.7,"2001年式 / 1.3 CX スポーティパック / 26,000km / 富山県",2001年式,1.3 CX スポーティパック,"26,000km",富山県,manen
daihatsu-atrai7,アトレー7,root,root,"29,000km",29000,29000,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,"2001年式 / 1.3 X ロールーフ / 29,000km / 兵庫県",2001年式,1.3 X ロールーフ,"29,000km",兵庫県,manen
daihatsu-atrai7,アトレー7,root,root,3万km,30000,30000,2,11.4,19.2,15.3,15.3,11.4,19.2,19.2,2002年式 / 1.3 CL Sエディション 4WD / 3万km / 埼玉県,2002年式,1.3 CL Sエディション 4WD,3万km,埼玉県,manen
