model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
daihatsu-atrai,アトレー,,2025,2025年式,root,root,10,103.5,166.0,148.5,159.6,133.4,163.2,166.0,2025年式 / RS 4WD / 1万km / 島根県,2025年式,RS 4WD,1万km,島根県,manen
daihatsu-atrai,アトレー,,2024,2024年式,root,root,31,101.9,169.4,147.2,152.6,142.3,158.3,169.4,"2024年式 / RS 4WD / 1,000km / 神奈川県",2024年式,RS 4WD,"1,000km",神奈川県,manen
daihatsu-atrai,アトレー,,2023,2023年式,root,root,74,49.1,172.5,140.9,144.7,134.2,153.0,172.5,"2023年式 / RS 4WD / 3,000km / 山形県",2023年式,RS 4WD,"3,000km",山形県,manen
daihatsu-atrai,アトレー,,2022,2022年式,root,root,108,65.6,174.0,136.0,140.2,126.0,148.0,174.0,"2022年式 / RS 4WD / 4,000km / 岐阜県",2022年式,RS 4WD,"4,000km",岐阜県,manen
daihatsu-atrai,アトレー,,2021,2021年式,root,root,29,80.3,162.9,134.7,136.2,127.1,146.9,162.9,"2021年式 / RS 4WD / 2,000km / 佐賀県",2021年式,RS 4WD,"2,000km",佐賀県,manen
daihatsu-atrai,アトレー,,2000,2000年式,root,root,2,6.4,25.5,15.9,15.9,6.4,25.5,25.5,"2000年式 / LX コスミックルーフ 4WD / 62,000km / 群馬県",2000年式,LX コスミックルーフ 4WD,"62,000km",群馬県,manen
daihatsu-atrai,アトレー,,1999,1999年式,root,root,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"1999年式 / CL ハイルーフ / 79,000km / 愛知県",1999年式,CL ハイルーフ,"79,000km",愛知県,manen
daihatsu-atrai,アトレー,,1998,1998年式,root,root,15,5.0,54.5,15.8,12.3,6.4,16.9,54.5,"1998年式 / カスタム ロールーフ 4WD / 22,000km / 島根県",1998年式,カスタム ロールーフ 4WD,"22,000km",島根県,manen
daihatsu-atrai,アトレー,,1997,1997年式,root,root,17,5.1,41.0,16.7,16.0,10.0,20.2,41.0,"1997年式 / クラシック ハイルーフ / 98,000km / 奈良県",1997年式,クラシック ハイルーフ,"98,000km",奈良県,manen
daihatsu-atrai,アトレー,,1996,1996年式,root,root,11,5.9,52.5,19.4,15.1,8.2,31.0,52.5,"1996年式 / クラシック ハイルーフ / 13,000km / 奈良県",1996年式,クラシック ハイルーフ,"13,000km",奈良県,manen
daihatsu-atrai,アトレー,,1995,1995年式,root,root,12,10.4,150.0,43.8,28.1,15.8,39.9,150.0,"1995年式 / RS / 2,000km / 岐阜県",1995年式,RS,"2,000km",岐阜県,manen
daihatsu-atrai,アトレー,,1994,1994年式,root,root,7,6.3,160.5,38.4,18.1,16.2,18.2,160.5,1994年式 / RS 4WD / 2万km / 愛知県,1994年式,RS 4WD,2万km,愛知県,manen
daihatsu-atrai,アトレー,,1993,1993年式,root,root,5,16.7,37.5,22.8,19.8,17.8,22.4,37.5,"1993年式 / リバーノ ターボ ツインコスミックルーフ 4WD / 22,000km / 和歌山県",1993年式,リバーノ ターボ ツインコスミックルーフ 4WD,"22,000km",和歌山県,manen
daihatsu-atrai,アトレー,,1992,1992年式,root,root,2,42.5,68.1,55.3,55.3,42.5,68.1,68.1,"1992年式 / クルーズ ハイルーフ 4WD / 59,000km / 岡山県",1992年式,クルーズ ハイルーフ 4WD,"59,000km",岡山県,manen
daihatsu-atrai,アトレー,,1991,1991年式,root,root,2,6.2,22.4,14.3,14.3,6.2,22.4,22.4,1991年式 / ターボXX ハイルーフ 4WD / 0万km / 秋田県,1991年式,ターボXX ハイルーフ 4WD,0万km,秋田県,manen
daihatsu-atrai,アトレー,,1990,1990年式,root,root,2,25.8,26.7,26.2,26.2,25.8,26.7,26.7,"1990年式 / LX ハイルーフ / 47,000km / 高知県",1990年式,LX ハイルーフ,"47,000km",高知県,manen
daihatsu-atrai,アトレー,,1987,1987年式,root,root,1,15.9,15.9,15.9,15.9,15.9,15.9,15.9,"1987年式 / クラシック ハイルーフ / 124,000km / 青森県",1987年式,クラシック ハイルーフ,"124,000km",青森県,manen
