model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
daihatsu-boon-luminas,ブーンルミナス,root,root,"14,000km",14000,14000,1,22.7,22.7,22.7,22.7,22.7,22.7,22.7,"2009年式 / 1.5 CL / 14,000km / 福井県",2009年式,1.5 CL,"14,000km",福井県,manen
daihatsu-boon-luminas,ブーンルミナス,root,root,"18,000km",18000,18000,2,14.4,41.5,27.9,27.9,14.4,41.5,41.5,"2008年式 / 1.5 CX / 18,000km / 鹿児島県",2008年式,1.5 CX,"18,000km",鹿児島県,manen
daihatsu-boon-luminas,ブーンルミナス,root,root,"27,000km",27000,27000,2,31.0,39.8,35.4,35.4,31.0,39.8,39.8,"2008年式 / 1.5 CX / 27,000km / 石川県",2008年式,1.5 CX,"27,000km",石川県,manen
daihatsu-boon-luminas,ブーンルミナス,root,root,"28,000km",28000,28000,2,34.6,39.5,37.0,37.0,34.6,39.5,39.5,"2008年式 / 1.5 CX / 28,000km / 滋賀県",2008年式,1.5 CX,"28,000km",滋賀県,manen
daihatsu-boon-luminas,ブーンルミナス,root,root,3万km,30000,30000,1,40.0,40.0,40.0,40.0,40.0,40.0,40.0,2008年式 / 1.5 CL / 3万km / 岡山県,2008年式,1.5 CL,3万km,岡山県,manen
daihatsu-boon-luminas,ブーンルミナス,root,root,"32,000km",32000,32000,1,22.8,22.8,22.8,22.8,22.8,22.8,22.8,"2010年式 / 1.5 CL / 32,000km / 宮崎県",2010年式,1.5 CL,"32,000km",宮崎県,manen
daihatsu-boon-luminas,ブーンルミナス,root,root,"33,000km",33000,33000,1,14.8,14.8,14.8,14.8,14.8,14.8,14.8,"2009年式 / 1.5 CX / 33,000km / 沖縄県",2009年式,1.5 CX,"33,000km",沖縄県,manen
daihatsu-boon-luminas,ブーンルミナス,root,root,"35,000km",35000,35000,4,12.8,33.9,26.3,29.3,24.7,33.9,33.9,"2010年式 / 1.5 CX 4WD / 35,000km / 山口県",2010年式,1.5 CX 4WD,"35,000km",山口県,manen
daihatsu-boon-luminas,ブーンルミナス,root,root,"36,000km",36000,36000,2,9.0,35.5,22.2,22.2,9.0,35.5,35.5,"2008年式 / 1.5 CX エアロ / 36,000km / 奈良県",2008年式,1.5 CX エアロ,"36,000km",奈良県,manen
daihatsu-boon-luminas,ブーンルミナス,root,root,"37,000km",37000,37000,2,39.8,46.0,42.9,42.9,39.8,46.0,46.0,"2008年式 / 1.5 CX / 37,000km / 高知県",2008年式,1.5 CX,"37,000km",高知県,manen
daihatsu-boon-luminas,ブーンルミナス,root,root,"38,000km",38000,38000,3,17.5,40.0,32.2,39.0,17.5,40.0,40.0,"2009年式 / 1.5 CL / 38,000km / 富山県",2009年式,1.5 CL,"38,000km",富山県,manen
