model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
daihatsu-esse,エッセ,root,root,0万km,0,0,2,5.4,15.8,10.6,10.6,5.4,15.8,15.8,2011年式 / D 4WD / 0万km / 富山県,2011年式,D 4WD,0万km,富山県,manen
daihatsu-esse,エッセ,root,root,"3,000km",3000,3000,1,23.8,23.8,23.8,23.8,23.8,23.8,23.8,"2009年式 / X スペシャル / 3,000km / 神奈川県",2009年式,X スペシャル,"3,000km",神奈川県,manen
daihatsu-esse,エッセ,root,root,"5,000km",5000,5000,1,12.6,12.6,12.6,12.6,12.6,12.6,12.6,"2006年式 / X / 5,000km / 長崎県",2006年式,X,"5,000km",長崎県,manen
daihatsu-esse,エッセ,root,root,"8,000km",8000,8000,2,5.0,9.3,7.2,7.2,5.0,9.3,9.3,"2010年式 / X / 8,000km / 石川県",2010年式,X,"8,000km",石川県,manen
daihatsu-esse,エッセ,root,root,"9,000km",9000,9000,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"2008年式 / D 4WD / 9,000km / 北海道",2008年式,D 4WD,"9,000km",北海道,manen
daihatsu-esse,エッセ,root,root,1万km,10000,10000,4,12.2,32.8,19.7,16.9,13.2,20.5,32.8,2011年式 / D / 1万km / 宮城県,2011年式,D,1万km,宮城県,manen
daihatsu-esse,エッセ,root,root,"11,000km",11000,11000,4,8.2,29.8,18.7,18.4,14.5,22.3,29.8,"2011年式 / D / 11,000km / 広島県",2011年式,D,"11,000km",広島県,manen
daihatsu-esse,エッセ,root,root,"12,000km",12000,12000,4,17.6,35.1,23.5,20.6,19.8,21.4,35.1,"2011年式 / カスタム / 12,000km / 新潟県",2011年式,カスタム,"12,000km",新潟県,manen
daihatsu-esse,エッセ,root,root,"13,000km",13000,13000,2,23.0,30.0,26.5,26.5,23.0,30.0,30.0,"2010年式 / カスタム / 13,000km / 東京都",2010年式,カスタム,"13,000km",東京都,manen
daihatsu-esse,エッセ,root,root,"14,000km",14000,14000,4,5.0,33.5,15.5,11.8,5.0,18.6,33.5,"2008年式 / カスタム / 14,000km / 千葉県",2008年式,カスタム,"14,000km",千葉県,manen
