model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
daihatsu-hijet-cargo,ハイゼットカーゴ,,2024,2024年式,root,root,10,5.0,94.5,78.3,91.0,80.8,91.6,94.5,"2024年式 / デラックス 4WD / 29,000km / 群馬県",2024年式,デラックス 4WD,"29,000km",群馬県,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,2023,2023年式,root,root,17,55.7,93.3,77.6,81.2,61.8,89.4,93.3,"2023年式 / デラックス / 5,000km / 山口県",2023年式,デラックス,"5,000km",山口県,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,2022,2022年式,root,root,40,25.5,94.6,68.6,67.0,58.8,82.3,94.6,2022年式 / クルーズ / 2万km / 新潟県,2022年式,クルーズ,2万km,新潟県,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,2021,2021年式,root,root,47,26.5,88.7,56.9,57.8,44.5,67.6,88.7,"2021年式 / デラックス SAIII ハイルーフ 4WD / 19,000km / 栃木県",2021年式,デラックス SAIII ハイルーフ 4WD,"19,000km",栃木県,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,2020,2020年式,root,root,73,6.4,94.6,48.2,44.8,37.2,60.8,94.6,"2020年式 / デラックス SAIII ハイルーフ / 3,000km / 神奈川県",2020年式,デラックス SAIII ハイルーフ,"3,000km",神奈川県,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,2019,2019年式,root,root,112,5.0,94.5,37.7,33.7,25.0,50.1,94.5,"2019年式 / クルーズ ターボ SAIII ハイルーフ / 26,000km / 神奈川県",2019年式,クルーズ ターボ SAIII ハイルーフ,"26,000km",神奈川県,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,2018,2018年式,root,root,81,5.0,75.8,33.6,28.6,19.2,45.0,75.8,"2018年式 / クルーズ SAIII ハイルーフ 4WD / 57,000km / 福井県",2018年式,クルーズ SAIII ハイルーフ 4WD,"57,000km",福井県,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,2017,2017年式,root,root,96,5.0,68.2,24.3,20.1,13.2,33.7,68.2,"2017年式 / クルーズ ターボ リミテッド ハイルーフ 4WD / 38,000km / 高知県",2017年式,クルーズ ターボ リミテッド ハイルーフ 4WD,"38,000km",高知県,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,2016,2016年式,root,root,70,5.0,65.0,23.4,19.8,13.3,31.5,65.0,"2016年式 / クルーズ ターボ リミテッド ハイルーフ 4WD / 54,000km / 鳥取県",2016年式,クルーズ ターボ リミテッド ハイルーフ 4WD,"54,000km",鳥取県,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,2015,2015年式,root,root,73,5.0,60.1,20.3,19.0,11.2,28.6,60.1,"2015年式 / スペシャル 4WD / 22,000km / 高知県",2015年式,スペシャル 4WD,"22,000km",高知県,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,2014,2014年式,root,root,63,5.0,40.5,18.3,16.3,8.0,27.0,40.5,"2014年式 / クルーズ 4WD / 44,000km / 京都府",2014年式,クルーズ 4WD,"44,000km",京都府,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,2013,2013年式,root,root,60,5.0,63.0,17.9,12.5,5.4,25.8,63.0,"2013年式 / デラックス 4WD / 9,000km / 和歌山県",2013年式,デラックス 4WD,"9,000km",和歌山県,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,2012,2012年式,root,root,53,5.0,46.3,18.6,16.5,6.2,26.6,46.3,"2012年式 / クルーズ ターボ ハイルーフ 4WD / 77,000km / 神奈川県",2012年式,クルーズ ターボ ハイルーフ 4WD,"77,000km",神奈川県,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,2011,2011年式,root,root,43,5.0,33.3,15.6,16.0,7.0,21.6,33.3,"2011年式 / クルーズ / 57,000km / 宮崎県",2011年式,クルーズ,"57,000km",宮崎県,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,2010,2010年式,root,root,35,5.0,44.5,14.6,12.1,5.0,21.6,44.5,2010年式 / デラックス 4WD / 2万km / 千葉県,2010年式,デラックス 4WD,2万km,千葉県,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,2009,2009年式,root,root,37,5.0,41.8,17.6,16.3,10.2,21.7,41.8,"2009年式 / クルーズ ターボ ハイルーフ 4WD / 79,000km / 栃木県",2009年式,クルーズ ターボ ハイルーフ 4WD,"79,000km",栃木県,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,2008,2008年式,root,root,21,5.0,26.8,15.0,16.5,10.2,19.9,26.8,"2008年式 / クルーズ 4WD / 94,000km / 石川県",2008年式,クルーズ 4WD,"94,000km",石川県,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,2007,2007年式,root,root,20,5.0,30.5,15.8,16.0,13.4,18.3,30.5,"2007年式 / スローパー リヤシートレス仕様 4WD / 41,000km / 山形県",2007年式,スローパー リヤシートレス仕様 4WD,"41,000km",山形県,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,2006,2006年式,root,root,28,5.0,37.8,15.9,15.9,13.3,17.8,37.8,"2006年式 / スペシャル ハイルーフ / 11,000km / 静岡県",2006年式,スペシャル ハイルーフ,"11,000km",静岡県,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,2005,2005年式,root,root,15,5.0,27.6,15.9,16.0,14.2,19.9,27.6,"2005年式 / デラックス / 35,000km / 広島県",2005年式,デラックス,"35,000km",広島県,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,2004,2004年式,root,root,3,5.0,11.1,7.0,5.0,5.0,11.1,11.1,2004年式 / デラックス 4WD / 18万km / 鹿児島県,2004年式,デラックス 4WD,18万km,鹿児島県,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,2003,2003年式,root,root,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"2003年式 / クルーズ ハイルーフ 4WD / 121,000km / 栃木県",2003年式,クルーズ ハイルーフ 4WD,"121,000km",栃木県,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,2001,2001年式,root,root,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"2001年式 / クルーズ ハイルーフ / 179,000km / 大阪府",2001年式,クルーズ ハイルーフ,"179,000km",大阪府,manen
daihatsu-hijet-cargo,ハイゼットカーゴ,,1998,1998年式,root,root,1,16.2,16.2,16.2,16.2,16.2,16.2,16.2,"1998年式 / デラックス / 56,000km / 埼玉県",1998年式,デラックス,"56,000km",埼玉県,manen
