model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
daihatsu-mira-avi,ミラアヴィ,root,root,"3,000km",3000,3000,1,20.5,20.5,20.5,20.5,20.5,20.5,20.5,"2004年式 / マイセレクション / 3,000km / 新潟県",2004年式,マイセレクション,"3,000km",新潟県,manen
daihatsu-mira-avi,ミラアヴィ,root,root,"4,000km",4000,4000,1,11.2,11.2,11.2,11.2,11.2,11.2,11.2,"2002年式 / X / 4,000km / 宮城県",2002年式,X,"4,000km",宮城県,manen
daihatsu-mira-avi,ミラアヴィ,root,root,"7,000km",7000,7000,1,12.0,12.0,12.0,12.0,12.0,12.0,12.0,"2002年式 / X / 7,000km / 新潟県",2002年式,X,"7,000km",新潟県,manen
daihatsu-mira-avi,ミラアヴィ,root,root,"8,000km",8000,8000,1,18.4,18.4,18.4,18.4,18.4,18.4,18.4,"2002年式 / X / 8,000km / 福島県",2002年式,X,"8,000km",福島県,manen
daihatsu-mira-avi,ミラアヴィ,root,root,"9,000km",9000,9000,5,21.1,24.6,22.5,21.1,21.1,24.6,24.6,"2004年式 / X / 9,000km / 群馬県",2004年式,X,"9,000km",群馬県,manen
daihatsu-mira-avi,ミラアヴィ,root,root,1万km,10000,10000,2,10.3,19.5,14.9,14.9,10.3,19.5,19.5,2005年式 / X / 1万km / 岩手県,2005年式,X,1万km,岩手県,manen
daihatsu-mira-avi,ミラアヴィ,root,root,"11,000km",11000,11000,2,6.6,16.8,11.7,11.7,6.6,16.8,16.8,"2003年式 / マイセレクション 4WD / 11,000km / 愛知県",2003年式,マイセレクション 4WD,"11,000km",愛知県,manen
daihatsu-mira-avi,ミラアヴィ,root,root,"12,000km",12000,12000,4,16.8,21.3,20.2,21.3,21.3,21.3,21.3,"2003年式 / X / 12,000km / 長野県",2003年式,X,"12,000km",長野県,manen
daihatsu-mira-avi,ミラアヴィ,root,root,"13,000km",13000,13000,3,9.4,24.5,17.1,17.5,9.4,24.5,24.5,"2002年式 / RS / 13,000km / 群馬県",2002年式,RS,"13,000km",群馬県,manen
daihatsu-mira-avi,ミラアヴィ,root,root,"14,000km",14000,14000,2,8.5,20.3,14.4,14.4,8.5,20.3,20.3,"1987年式 / X / 14,000km / 熊本県",1987年式,X,"14,000km",熊本県,manen
daihatsu-mira-avi,ミラアヴィ,root,root,"16,000km",16000,16000,2,19.9,20.0,19.9,19.9,19.9,20.0,20.0,"2004年式 / X / 16,000km / 富山県",2004年式,X,"16,000km",富山県,manen
daihatsu-mira-avi,ミラアヴィ,root,root,"17,000km",17000,17000,1,14.0,14.0,14.0,14.0,14.0,14.0,14.0,"2004年式 / L / 17,000km / 福井県",2004年式,L,"17,000km",福井県,manen
