model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
daihatsu-mira-es,ミライース,,2025,2025年式,root,root,13,70.2,94.6,79.6,77.0,70.2,89.6,94.6,"2025年式 / X SAIII / 1,000km / 奈良県",2025年式,X SAIII,"1,000km",奈良県,manen
daihatsu-mira-es,ミライース,,2024,2024年式,root,root,34,10.0,95.4,81.1,84.8,75.0,92.5,95.4,2024年式 / X リミテッド SAIII / 1万km / 京都府,2024年式,X リミテッド SAIII,1万km,京都府,manen
daihatsu-mira-es,ミライース,,2023,2023年式,root,root,52,12.2,95.0,73.5,74.7,68.5,84.1,95.0,"2023年式 / X SAIII / 6,000km / 和歌山県",2023年式,X SAIII,"6,000km",和歌山県,manen
daihatsu-mira-es,ミライース,,2022,2022年式,root,root,58,5.0,95.3,64.9,69.0,50.9,79.3,95.3,"2022年式 / G リミテッド SAIII / 9,000km / 鹿児島県",2022年式,G リミテッド SAIII,"9,000km",鹿児島県,manen
daihatsu-mira-es,ミライース,,2021,2021年式,root,root,74,5.0,80.0,43.3,41.5,30.0,55.2,80.0,"2021年式 / X リミテッド SAIII / 13,000km / 沖縄県",2021年式,X リミテッド SAIII,"13,000km",沖縄県,manen
daihatsu-mira-es,ミライース,,2020,2020年式,root,root,102,5.0,79.5,38.5,36.2,26.7,49.8,79.5,"2020年式 / G リミテッド SAIII 4WD / 14,000km / 山梨県",2020年式,G リミテッド SAIII 4WD,"14,000km",山梨県,manen
daihatsu-mira-es,ミライース,,2019,2019年式,root,root,87,6.4,74.8,32.7,29.9,21.1,43.7,74.8,"2019年式 / X リミテッド SAIII / 53,000km / 栃木県",2019年式,X リミテッド SAIII,"53,000km",栃木県,manen
daihatsu-mira-es,ミライース,,2018,2018年式,root,root,101,5.0,68.0,29.2,28.0,22.1,34.2,68.0,"2018年式 / X リミテッド SAIII 4WD / 48,000km / 大阪府",2018年式,X リミテッド SAIII 4WD,"48,000km",大阪府,manen
daihatsu-mira-es,ミライース,,2017,2017年式,root,root,98,5.0,59.5,26.4,25.8,19.6,33.1,59.5,"2017年式 / G SAIII / 18,000km / 岡山県",2017年式,G SAIII,"18,000km",岡山県,manen
daihatsu-mira-es,ミライース,,2016,2016年式,root,root,71,5.0,41.6,21.0,20.5,16.9,26.8,41.6,"2016年式 / X リミテッド SA / 39,000km / 香川県",2016年式,X リミテッド SA,"39,000km",香川県,manen
daihatsu-mira-es,ミライース,,2015,2015年式,root,root,67,5.0,33.6,18.5,19.6,9.7,24.1,33.6,"2015年式 / Lf 4WD / 67,000km / 東京都",2015年式,Lf 4WD,"67,000km",東京都,manen
daihatsu-mira-es,ミライース,,2014,2014年式,root,root,75,5.0,37.9,14.9,14.1,5.0,22.5,37.9,"2014年式 / Gf SA 4WD / 41,000km / 北海道",2014年式,Gf SA 4WD,"41,000km",北海道,manen
daihatsu-mira-es,ミライース,,2013,2013年式,root,root,70,5.0,31.7,13.2,12.1,5.0,19.9,31.7,2013年式 / L メモリアルエディション / 1万km / 山口県,2013年式,L メモリアルエディション,1万km,山口県,manen
daihatsu-mira-es,ミライース,,2012,2012年式,root,root,65,5.0,28.0,9.8,5.0,5.0,16.3,28.0,"2012年式 / X メモリアルエディション / 32,000km / 大阪府",2012年式,X メモリアルエディション,"32,000km",大阪府,manen
daihatsu-mira-es,ミライース,,2011,2011年式,root,root,32,5.0,31.0,12.4,10.7,5.0,18.7,31.0,"2011年式 / X / 36,000km / 長崎県",2011年式,X,"36,000km",長崎県,manen
daihatsu-mira-es,ミライース,,2010,2010年式,root,root,1,17.9,17.9,17.9,17.9,17.9,17.9,17.9,"2010年式 / G / 143,000km / 群馬県",2010年式,G,"143,000km",群馬県,manen
