model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
daihatsu-mira-gino-1000,ミラジーノ1000,root,root,"29,000km",29000,29000,1,36.3,36.3,36.3,36.3,36.3,36.3,36.3,"2002年式 / 1.0 X 4WD / 29,000km / 大分県",2002年式,1.0 X 4WD,"29,000km",大分県,manen
daihatsu-mira-gino-1000,ミラジーノ1000,root,root,"33,000km",33000,33000,2,27.0,28.7,27.9,27.9,27.0,28.7,28.7,"2003年式 / 1.0 X / 33,000km / 埼玉県",2003年式,1.0 X,"33,000km",埼玉県,manen
daihatsu-mira-gino-1000,ミラジーノ1000,root,root,"37,000km",37000,37000,1,17.7,17.7,17.7,17.7,17.7,17.7,17.7,"2002年式 / 1.0 X / 37,000km / 長崎県",2002年式,1.0 X,"37,000km",長崎県,manen
daihatsu-mira-gino-1000,ミラジーノ1000,root,root,"43,000km",43000,43000,1,31.9,31.9,31.9,31.9,31.9,31.9,31.9,"2002年式 / 1.0 X 4WD / 43,000km / 山梨県",2002年式,1.0 X 4WD,"43,000km",山梨県,manen
daihatsu-mira-gino-1000,ミラジーノ1000,root,root,"45,000km",45000,45000,1,32.0,32.0,32.0,32.0,32.0,32.0,32.0,"2003年式 / 1.0 4WD / 45,000km / 長野県",2003年式,1.0 4WD,"45,000km",長野県,manen
daihatsu-mira-gino-1000,ミラジーノ1000,root,root,"46,000km",46000,46000,1,20.0,20.0,20.0,20.0,20.0,20.0,20.0,"2003年式 / 1.0 X / 46,000km / 島根県",2003年式,1.0 X,"46,000km",島根県,manen
daihatsu-mira-gino-1000,ミラジーノ1000,root,root,"47,000km",47000,47000,1,31.5,31.5,31.5,31.5,31.5,31.5,31.5,"2003年式 / 1.0 X / 47,000km / 福井県",2003年式,1.0 X,"47,000km",福井県,manen
daihatsu-mira-gino-1000,ミラジーノ1000,root,root,"48,000km",48000,48000,1,36.9,36.9,36.9,36.9,36.9,36.9,36.9,"2003年式 / 1.0 X / 48,000km / 福井県",2003年式,1.0 X,"48,000km",福井県,manen
daihatsu-mira-gino-1000,ミラジーノ1000,root,root,"49,000km",49000,49000,1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,"2002年式 / 1.0 / 49,000km / 山形県",2002年式,1.0,"49,000km",山形県,manen
daihatsu-mira-gino-1000,ミラジーノ1000,root,root,"51,000km",51000,51000,1,33.8,33.8,33.8,33.8,33.8,33.8,33.8,"2003年式 / 1.0 X / 51,000km / 山形県",2003年式,1.0 X,"51,000km",山形県,manen
