model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
daihatsu-mira-tocot,ミラトコット,root,root,0万km,0,0,31,65.5,109.8,91.6,92.1,85.0,100.0,109.8,2020年式 / G リミテッド SAIII 4WD / 0万km / 大分県,2020年式,G リミテッド SAIII 4WD,0万km,大分県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"1,000km",1000,1000,27,69.4,110.0,90.1,90.0,82.0,96.5,110.0,"2019年式 / G SAIII / 1,000km / 兵庫県",2019年式,G SAIII,"1,000km",兵庫県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"2,000km",2000,2000,43,55.0,110.4,87.6,87.5,80.3,95.5,110.4,"2023年式 / G SAIII / 2,000km / 神奈川県",2023年式,G SAIII,"2,000km",神奈川県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"3,000km",3000,3000,27,66.5,110.6,93.0,91.0,86.5,104.4,110.6,"2023年式 / G SAIII 4WD / 3,000km / 広島県",2023年式,G SAIII 4WD,"3,000km",広島県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"4,000km",4000,4000,41,53.4,108.0,87.5,89.0,76.5,100.5,108.0,"2022年式 / G SAIII / 4,000km / 岐阜県",2022年式,G SAIII,"4,000km",岐阜県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"5,000km",5000,5000,26,66.0,111.8,86.9,88.5,71.2,95.5,111.8,"2021年式 / G SAIII 4WD / 5,000km / 群馬県",2021年式,G SAIII 4WD,"5,000km",群馬県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"6,000km",6000,6000,36,58.1,121.5,90.3,92.8,85.6,98.5,121.5,"2020年式 / G リミテッド SAIII 4WD / 6,000km / 福岡県",2020年式,G リミテッド SAIII 4WD,"6,000km",福岡県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"7,000km",7000,7000,29,58.7,115.2,86.8,88.1,78.3,98.0,115.2,"2022年式 / G SAIII 4WD / 7,000km / 埼玉県",2022年式,G SAIII 4WD,"7,000km",埼玉県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"8,000km",8000,8000,33,39.8,107.6,77.2,77.0,66.4,91.1,107.6,"2023年式 / G SAIII 4WD / 8,000km / 香川県",2023年式,G SAIII 4WD,"8,000km",香川県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"9,000km",9000,9000,11,43.0,100.0,80.7,88.1,69.0,95.5,100.0,"2022年式 / G SAIII / 9,000km / 東京都",2022年式,G SAIII,"9,000km",東京都,manen
daihatsu-mira-tocot,ミラトコット,root,root,1万km,10000,10000,27,31.1,107.5,81.1,85.0,69.0,99.5,107.5,2018年式 / G SAIII / 1万km / 青森県,2018年式,G SAIII,1万km,青森県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"11,000km",11000,11000,23,43.5,112.2,85.3,81.9,78.1,92.5,112.2,"2021年式 / G リミテッド SAIII 4WD / 11,000km / 佐賀県",2021年式,G リミテッド SAIII 4WD,"11,000km",佐賀県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"12,000km",12000,12000,20,51.5,99.1,82.5,84.8,74.9,90.5,99.1,"2019年式 / G リミテッド SAIII / 12,000km / 京都府",2019年式,G リミテッド SAIII,"12,000km",京都府,manen
daihatsu-mira-tocot,ミラトコット,root,root,"13,000km",13000,13000,24,33.7,111.0,83.9,84.8,79.2,93.8,111.0,"2021年式 / G リミテッド SAIII 4WD / 13,000km / 愛知県",2021年式,G リミテッド SAIII 4WD,"13,000km",愛知県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"14,000km",14000,14000,24,64.5,104.5,85.9,87.7,80.0,91.0,104.5,"2018年式 / G SAIII / 14,000km / 福井県",2018年式,G SAIII,"14,000km",福井県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"15,000km",15000,15000,19,67.0,108.5,82.9,78.0,75.5,86.5,108.5,"2018年式 / G SAIII / 15,000km / 沖縄県",2018年式,G SAIII,"15,000km",沖縄県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"16,000km",16000,16000,15,36.4,103.3,84.5,90.7,79.0,94.5,103.3,"2022年式 / G SAIII / 16,000km / 兵庫県",2022年式,G SAIII,"16,000km",兵庫県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"17,000km",17000,17000,23,31.0,111.5,73.4,74.0,62.5,79.5,111.5,"2023年式 / G SAIII 4WD / 17,000km / 宮城県",2023年式,G SAIII 4WD,"17,000km",宮城県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"18,000km",18000,18000,18,34.8,101.7,77.7,81.4,68.4,88.2,101.7,"2021年式 / G SAIII 4WD / 18,000km / 長崎県",2021年式,G SAIII 4WD,"18,000km",長崎県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"19,000km",19000,19000,22,33.8,100.0,73.4,74.5,65.1,82.8,100.0,"2018年式 / G SAIII / 19,000km / 佐賀県",2018年式,G SAIII,"19,000km",佐賀県,manen
daihatsu-mira-tocot,ミラトコット,root,root,2万km,20000,20000,22,51.9,101.0,79.8,83.9,72.0,88.0,101.0,2022年式 / G SAIII 4WD / 2万km / 岡山県,2022年式,G SAIII 4WD,2万km,岡山県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"21,000km",21000,21000,17,40.5,107.3,74.6,79.0,66.0,81.0,107.3,"2019年式 / G SAIII / 21,000km / 鹿児島県",2019年式,G SAIII,"21,000km",鹿児島県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"22,000km",22000,22000,14,41.8,94.2,74.9,81.7,68.3,86.0,94.2,"2023年式 / G SAIII / 22,000km / 宮崎県",2023年式,G SAIII,"22,000km",宮崎県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"23,000km",23000,23000,18,40.0,106.2,71.5,71.0,58.8,86.5,106.2,"2022年式 / G SAIII / 23,000km / 茨城県",2022年式,G SAIII,"23,000km",茨城県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"24,000km",24000,24000,21,50.0,94.0,75.3,74.2,69.5,86.0,94.0,"2020年式 / X SAIII / 24,000km / 栃木県",2020年式,X SAIII,"24,000km",栃木県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"25,000km",25000,25000,12,46.3,92.2,77.0,84.7,78.5,87.0,92.2,"2018年式 / G SAIII 4WD / 25,000km / 秋田県",2018年式,G SAIII 4WD,"25,000km",秋田県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"26,000km",26000,26000,19,40.0,100.0,72.2,72.0,50.0,87.2,100.0,"2021年式 / G リミテッド SAIII / 26,000km / 滋賀県",2021年式,G リミテッド SAIII,"26,000km",滋賀県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"27,000km",27000,27000,19,32.8,86.0,65.5,65.0,60.2,78.0,86.0,"2019年式 / X SAIII / 27,000km / 青森県",2019年式,X SAIII,"27,000km",青森県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"28,000km",28000,28000,13,41.8,100.5,68.9,60.5,54.0,84.0,100.5,"2019年式 / G リミテッド SAIII 4WD / 28,000km / 鳥取県",2019年式,G リミテッド SAIII 4WD,"28,000km",鳥取県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"29,000km",29000,29000,13,46.0,91.0,68.1,67.1,54.1,81.8,91.0,"2021年式 / G SAIII / 29,000km / 京都府",2021年式,G SAIII,"29,000km",京都府,manen
daihatsu-mira-tocot,ミラトコット,root,root,3万km,30000,30000,18,40.3,95.0,66.7,62.5,54.0,87.8,95.0,2020年式 / G リミテッド SAIII / 3万km / 愛知県,2020年式,G リミテッド SAIII,3万km,愛知県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"31,000km",31000,31000,9,49.7,97.5,79.7,80.5,75.8,90.0,97.5,"2021年式 / L SAIII 4WD / 31,000km / 山形県",2021年式,L SAIII 4WD,"31,000km",山形県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"32,000km",32000,32000,13,39.6,96.5,70.2,73.3,62.2,80.5,96.5,"2021年式 / G リミテッド SAIII / 32,000km / 三重県",2021年式,G リミテッド SAIII,"32,000km",三重県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"33,000km",33000,33000,7,69.4,104.5,82.3,76.6,73.0,85.5,104.5,"2022年式 / G SAIII / 33,000km / 熊本県",2022年式,G SAIII,"33,000km",熊本県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"34,000km",34000,34000,11,55.0,96.2,77.3,80.6,71.8,81.5,96.2,"2018年式 / X SAIII 4WD / 34,000km / 福岡県",2018年式,X SAIII 4WD,"34,000km",福岡県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"35,000km",35000,35000,13,44.3,89.3,73.4,75.3,69.5,81.9,89.3,"2018年式 / G SAIII / 35,000km / 兵庫県",2018年式,G SAIII,"35,000km",兵庫県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"36,000km",36000,36000,10,42.0,110.2,74.4,75.7,71.1,80.0,110.2,"2019年式 / G SAIII 4WD / 36,000km / 大阪府",2019年式,G SAIII 4WD,"36,000km",大阪府,manen
daihatsu-mira-tocot,ミラトコット,root,root,"37,000km",37000,37000,9,56.9,96.5,78.2,80.5,74.5,83.0,96.5,"2022年式 / G SAIII / 37,000km / 福島県",2022年式,G SAIII,"37,000km",福島県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"38,000km",38000,38000,7,69.7,110.4,83.6,84.5,74.5,88.0,110.4,"2018年式 / X SAIII 4WD / 38,000km / 山口県",2018年式,X SAIII 4WD,"38,000km",山口県,manen
daihatsu-mira-tocot,ミラトコット,root,root,"39,000km",39000,39000,12,52.4,100.5,70.6,69.2,61.1,74.0,100.5,"2021年式 / G リミテッド SAIII / 39,000km / 長崎県",2021年式,G リミテッド SAIII,"39,000km",長崎県,manen
daihatsu-mira-tocot,ミラトコット,root,root,4万km,40000,40000,12,55.2,93.2,74.4,77.0,69.0,83.8,93.2,2018年式 / G SAIII 4WD / 4万km / 大分県,2018年式,G SAIII 4WD,4万km,大分県,manen
