model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
daihatsu-mira,ミラ,,2019,2019年式,root,root,1,11.7,11.7,11.7,11.7,11.7,11.7,11.7,"2019年式 / TX / 14,000km / 奈良県",2019年式,TX,"14,000km",奈良県,manen
daihatsu-mira,ミラ,,2018,2018年式,root,root,12,5.0,39.5,24.0,26.1,18.4,31.2,39.5,"2018年式 / X スペシャル / 54,000km / 山梨県",2018年式,X スペシャル,"54,000km",山梨県,manen
daihatsu-mira,ミラ,,2017,2017年式,root,root,63,2.7,40.9,20.0,18.0,13.5,25.0,40.9,"2017年式 / X スペシャル / 13,000km / 岐阜県",2017年式,X スペシャル,"13,000km",岐阜県,manen
daihatsu-mira,ミラ,,2016,2016年式,root,root,77,3.8,39.5,22.4,21.7,15.5,30.6,39.5,"2016年式 / X スペシャル / 31,000km / 富山県",2016年式,X スペシャル,"31,000km",富山県,manen
daihatsu-mira,ミラ,,2015,2015年式,root,root,70,5.0,40.5,19.1,19.7,14.2,24.5,40.5,"2015年式 / X スペシャル / 5,000km / 宮崎県",2015年式,X スペシャル,"5,000km",宮崎県,manen
daihatsu-mira,ミラ,,2014,2014年式,root,root,77,5.0,40.2,21.5,21.0,15.1,28.2,40.2,"2014年式 / X スペシャル 4WD / 31,000km / 東京都",2014年式,X スペシャル 4WD,"31,000km",東京都,manen
daihatsu-mira,ミラ,,2013,2013年式,root,root,99,5.0,33.8,17.6,17.2,12.4,23.6,33.8,2013年式 / X スペシャル 4WD / 2万km / 茨城県,2013年式,X スペシャル 4WD,2万km,茨城県,manen
daihatsu-mira,ミラ,,2012,2012年式,root,root,118,5.0,38.0,16.2,16.4,9.8,22.5,38.0,2012年式 / X 4WD / 4万km / 神奈川県,2012年式,X 4WD,4万km,神奈川県,manen
daihatsu-mira,ミラ,,2011,2011年式,root,root,109,5.0,39.7,14.2,12.6,5.2,20.1,39.7,"2011年式 / X 4WD / 28,000km / 愛知県",2011年式,X 4WD,"28,000km",愛知県,manen
daihatsu-mira,ミラ,,2010,2010年式,root,root,93,5.0,31.6,10.7,10.1,5.0,15.6,31.6,"2010年式 / X リミテッド 4WD / 47,000km / 大分県",2010年式,X リミテッド 4WD,"47,000km",大分県,manen
daihatsu-mira,ミラ,,2009,2009年式,root,root,100,5.0,25.6,9.7,5.0,5.0,14.6,25.6,2009年式 / カスタム X 4WD / 4万km / 大阪府,2009年式,カスタム X 4WD,4万km,大阪府,manen
daihatsu-mira,ミラ,,2008,2008年式,root,root,61,5.0,30.0,9.4,5.0,5.0,11.1,30.0,"2008年式 / L セレクション / 23,000km / 大分県",2008年式,L セレクション,"23,000km",大分県,manen
daihatsu-mira,ミラ,,2007,2007年式,root,root,48,5.0,28.5,9.1,5.0,5.0,13.6,28.5,"2007年式 / カスタム RS / 57,000km / 香川県",2007年式,カスタム RS,"57,000km",香川県,manen
daihatsu-mira,ミラ,,2006,2006年式,root,root,8,5.0,10.2,6.3,5.0,5.0,5.0,10.2,"2006年式 / X / 31,000km / 山梨県",2006年式,X,"31,000km",山梨県,manen
daihatsu-mira,ミラ,,2005,2005年式,root,root,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2005年式 / A / 5万km / 滋賀県,2005年式,A,5万km,滋賀県,manen
daihatsu-mira,ミラ,,2004,2004年式,root,root,8,5.0,7.1,5.3,5.0,5.0,5.0,7.1,"2004年式 / L / 59,000km / 愛知県",2004年式,L,"59,000km",愛知県,manen
daihatsu-mira,ミラ,,2003,2003年式,root,root,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"2003年式 / L / 126,000km / 福岡県",2003年式,L,"126,000km",福岡県,manen
daihatsu-mira,ミラ,,2002,2002年式,root,root,5,5.0,16.0,8.4,7.8,5.0,8.3,16.0,"2002年式 / ピコ / 68,000km / 香川県",2002年式,ピコ,"68,000km",香川県,manen
daihatsu-mira,ミラ,,2001,2001年式,root,root,10,5.0,25.0,11.6,5.0,5.0,21.0,25.0,"2001年式 / ピコ 4WD / 12,000km / 広島県",2001年式,ピコ 4WD,"12,000km",広島県,manen
daihatsu-mira,ミラ,,2000,2000年式,root,root,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"2000年式 / TA スペシャル / 78,000km / 愛知県",2000年式,TA スペシャル,"78,000km",愛知県,manen
daihatsu-mira,ミラ,,1999,1999年式,root,root,3,5.0,8.4,6.6,6.3,5.0,8.4,8.4,"1999年式 / TA スペシャル / 57,000km / 愛知県",1999年式,TA スペシャル,"57,000km",愛知県,manen
daihatsu-mira,ミラ,,1998,1998年式,root,root,9,5.0,25.5,16.0,16.0,12.1,23.1,25.5,"1998年式 / CR / 95,000km / 神奈川県",1998年式,CR,"95,000km",神奈川県,manen
daihatsu-mira,ミラ,,1997,1997年式,root,root,5,5.0,40.3,22.0,24.0,12.7,27.9,40.3,"1997年式 / クラシック 4WD / 34,000km / 山口県",1997年式,クラシック 4WD,"34,000km",山口県,manen
daihatsu-mira,ミラ,,1995,1995年式,root,root,3,5.0,36.0,17.9,12.6,5.0,36.0,36.0,"1995年式 / TR-XX アバンツァート R / 104,000km / 鳥取県",1995年式,TR-XX アバンツァート R,"104,000km",鳥取県,manen
daihatsu-mira,ミラ,,1994,1994年式,root,root,5,22.8,38.0,31.9,34.0,30.5,34.0,38.0,"1994年式 / TR-XX アバンツァート R / 54,000km / 東京都",1994年式,TR-XX アバンツァート R,"54,000km",東京都,manen
daihatsu-mira,ミラ,,1993,1993年式,root,root,4,12.3,40.7,29.9,33.2,29.0,37.5,40.7,"1993年式 / CR / 14,000km / 東京都",1993年式,CR,"14,000km",東京都,manen
daihatsu-mira,ミラ,,1991,1991年式,root,root,2,36.7,36.7,36.7,36.7,36.7,36.7,36.7,1991年式 / TR-XX アバンツァート / 0万km / 山梨県,1991年式,TR-XX アバンツァート,0万km,山梨県,manen
