model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
daihatsu-move-latte,ムーヴラテ,root,root,"7,000km",7000,7000,1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,"2004年式 / X / 7,000km / 山梨県",2004年式,X,"7,000km",山梨県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"9,000km",9000,9000,1,20.5,20.5,20.5,20.5,20.5,20.5,20.5,"2006年式 / VS / 9,000km / 石川県",2006年式,VS,"9,000km",石川県,manen
daihatsu-move-latte,ムーヴラテ,root,root,1万km,10000,10000,1,15.4,15.4,15.4,15.4,15.4,15.4,15.4,2004年式 / L / 1万km / 熊本県,2004年式,L,1万km,熊本県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"12,000km",12000,12000,1,21.5,21.5,21.5,21.5,21.5,21.5,21.5,"2005年式 / X / 12,000km / 長野県",2005年式,X,"12,000km",長野県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"13,000km",13000,13000,1,27.4,27.4,27.4,27.4,27.4,27.4,27.4,"2005年式 / X / 13,000km / 宮崎県",2005年式,X,"13,000km",宮崎県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"14,000km",14000,14000,1,7.3,7.3,7.3,7.3,7.3,7.3,7.3,"2006年式 / モユ / 14,000km / 長野県",2006年式,モユ,"14,000km",長野県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"16,000km",16000,16000,5,14.2,27.0,20.8,21.3,19.6,21.7,27.0,"2008年式 / クール VS / 16,000km / 神奈川県",2008年式,クール VS,"16,000km",神奈川県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"18,000km",18000,18000,1,15.8,15.8,15.8,15.8,15.8,15.8,15.8,"2007年式 / クール VS / 18,000km / 茨城県",2007年式,クール VS,"18,000km",茨城県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"19,000km",19000,19000,2,8.8,15.6,12.2,12.2,8.8,15.6,15.6,"2005年式 / X / 19,000km / 石川県",2005年式,X,"19,000km",石川県,manen
daihatsu-move-latte,ムーヴラテ,root,root,2万km,20000,20000,4,10.0,24.5,17.1,16.9,15.8,18.0,24.5,2007年式 / VS / 2万km / 熊本県,2007年式,VS,2万km,熊本県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"21,000km",21000,21000,2,8.0,17.3,12.7,12.7,8.0,17.3,17.3,"2004年式 / クール ターボ 4WD / 21,000km / 奈良県",2004年式,クール ターボ 4WD,"21,000km",奈良県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"22,000km",22000,22000,5,7.6,15.6,12.9,13.8,13.6,14.0,15.6,"2006年式 / X / 22,000km / 福島県",2006年式,X,"22,000km",福島県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"23,000km",23000,23000,4,10.0,26.1,16.1,14.2,13.5,15.0,26.1,"2006年式 / クール VS / 23,000km / 島根県",2006年式,クール VS,"23,000km",島根県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"24,000km",24000,24000,1,25.8,25.8,25.8,25.8,25.8,25.8,25.8,"2008年式 / VS / 24,000km / 山口県",2008年式,VS,"24,000km",山口県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"26,000km",26000,26000,4,5.0,16.5,10.6,10.4,5.1,15.7,16.5,"2007年式 / X / 26,000km / 青森県",2007年式,X,"26,000km",青森県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"27,000km",27000,27000,4,5.3,20.0,14.8,16.9,16.9,16.9,20.0,"2006年式 / VS / 27,000km / 大阪府",2006年式,VS,"27,000km",大阪府,manen
daihatsu-move-latte,ムーヴラテ,root,root,"28,000km",28000,28000,2,16.0,17.7,16.9,16.9,16.0,17.7,17.7,"2006年式 / X / 28,000km / 和歌山県",2006年式,X,"28,000km",和歌山県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"29,000km",29000,29000,5,8.6,26.7,16.4,14.3,11.8,20.4,26.7,"2004年式 / クール / 29,000km / 滋賀県",2004年式,クール,"29,000km",滋賀県,manen
daihatsu-move-latte,ムーヴラテ,root,root,3万km,30000,30000,6,8.8,27.2,17.3,17.6,10.3,22.0,27.2,2006年式 / クール VS / 3万km / 富山県,2006年式,クール VS,3万km,富山県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"31,000km",31000,31000,6,5.0,15.6,9.9,10.7,5.0,12.2,15.6,"2004年式 / RS / 31,000km / 鳥取県",2004年式,RS,"31,000km",鳥取県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"32,000km",32000,32000,7,8.4,25.5,15.3,15.3,12.1,17.1,25.5,"2006年式 / VS / 32,000km / 岡山県",2006年式,VS,"32,000km",岡山県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"33,000km",33000,33000,7,10.0,23.1,18.3,20.2,19.0,20.6,23.1,"2007年式 / VS / 33,000km / 兵庫県",2007年式,VS,"33,000km",兵庫県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"34,000km",34000,34000,3,8.3,11.5,10.0,10.2,8.3,11.5,11.5,"2003年式 / L / 34,000km / 富山県",2003年式,L,"34,000km",富山県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"35,000km",35000,35000,5,5.7,21.0,13.3,15.3,7.8,16.9,21.0,"2005年式 / X / 35,000km / 群馬県",2005年式,X,"35,000km",群馬県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"36,000km",36000,36000,10,5.3,23.8,14.4,14.7,10.5,15.6,23.8,"2006年式 / VS 4WD / 36,000km / 香川県",2006年式,VS 4WD,"36,000km",香川県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"37,000km",37000,37000,4,6.1,20.5,15.1,16.9,16.0,17.7,20.5,"2006年式 / クール VS / 37,000km / 宮城県",2006年式,クール VS,"37,000km",宮城県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"38,000km",38000,38000,10,5.0,26.5,12.1,10.0,7.5,16.2,26.5,"2006年式 / クール 4WD / 38,000km / 和歌山県",2006年式,クール 4WD,"38,000km",和歌山県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"39,000km",39000,39000,7,5.2,26.7,14.9,16.2,7.0,19.9,26.7,"2009年式 / VS 4WD / 39,000km / 青森県",2009年式,VS 4WD,"39,000km",青森県,manen
daihatsu-move-latte,ムーヴラテ,root,root,4万km,40000,40000,10,2.4,18.0,10.3,11.2,6.9,12.0,18.0,2006年式 / VS / 4万km / 山梨県,2006年式,VS,4万km,山梨県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"41,000km",41000,41000,9,5.0,29.0,15.8,15.0,14.5,20.7,29.0,"2007年式 / クール ターボ / 41,000km / 青森県",2007年式,クール ターボ,"41,000km",青森県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"42,000km",42000,42000,9,5.0,27.5,12.0,8.7,8.2,15.3,27.5,"2008年式 / L 4WD / 42,000km / 三重県",2008年式,L 4WD,"42,000km",三重県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"43,000km",43000,43000,4,5.0,28.7,17.3,17.8,17.1,18.5,28.7,"2007年式 / VS / 43,000km / 埼玉県",2007年式,VS,"43,000km",埼玉県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"44,000km",44000,44000,14,5.0,25.7,14.9,15.7,8.4,19.9,25.7,"2006年式 / X リミテッド / 44,000km / 宮城県",2006年式,X リミテッド,"44,000km",宮城県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"45,000km",45000,45000,12,7.0,23.0,14.6,14.7,12.4,16.2,23.0,"2005年式 / クール 4WD / 45,000km / 青森県",2005年式,クール 4WD,"45,000km",青森県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"46,000km",46000,46000,11,5.0,22.4,12.9,11.2,8.4,20.5,22.4,"2007年式 / クール VS / 46,000km / 群馬県",2007年式,クール VS,"46,000km",群馬県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"47,000km",47000,47000,10,5.0,24.5,12.9,11.9,6.9,16.4,24.5,"2006年式 / クール VS / 47,000km / 新潟県",2006年式,クール VS,"47,000km",新潟県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"48,000km",48000,48000,12,0.6,25.2,11.7,11.1,6.3,16.0,25.2,"2005年式 / クール 4WD / 48,000km / 福島県",2005年式,クール 4WD,"48,000km",福島県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"49,000km",49000,49000,17,5.5,26.0,12.1,12.0,8.3,14.5,26.0,"2004年式 / クール ターボ / 49,000km / 奈良県",2004年式,クール ターボ,"49,000km",奈良県,manen
daihatsu-move-latte,ムーヴラテ,root,root,5万km,50000,50000,11,5.0,21.7,12.1,13.0,6.7,17.4,21.7,2007年式 / クール VS / 5万km / 大分県,2007年式,クール VS,5万km,大分県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"51,000km",51000,51000,10,7.3,22.5,15.4,15.3,10.5,21.6,22.5,"2008年式 / VS / 51,000km / 宮城県",2008年式,VS,"51,000km",宮城県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"52,000km",52000,52000,13,5.0,27.3,15.2,15.3,6.8,23.5,27.3,"2004年式 / X リミテッド / 52,000km / 山梨県",2004年式,X リミテッド,"52,000km",山梨県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"53,000km",53000,53000,10,5.1,24.9,15.5,15.8,15.0,16.5,24.9,"2005年式 / クール ターボ 4WD / 53,000km / 山口県",2005年式,クール ターボ 4WD,"53,000km",山口県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"54,000km",54000,54000,9,8.0,27.3,19.6,19.8,15.1,23.0,27.3,"2008年式 / クール VS / 54,000km / 山形県",2008年式,クール VS,"54,000km",山形県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"55,000km",55000,55000,13,5.0,29.0,12.6,11.7,8.4,12.6,29.0,"2006年式 / クール VS / 55,000km / 新潟県",2006年式,クール VS,"55,000km",新潟県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"56,000km",56000,56000,12,5.2,23.1,11.6,10.1,6.8,13.0,23.1,"2005年式 / クール 4WD / 56,000km / 奈良県",2005年式,クール 4WD,"56,000km",奈良県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"57,000km",57000,57000,19,5.0,28.8,11.2,8.8,6.7,14.7,28.8,"2008年式 / クール VS / 57,000km / 埼玉県",2008年式,クール VS,"57,000km",埼玉県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"58,000km",58000,58000,15,5.0,28.2,12.4,12.0,7.2,15.7,28.2,"2007年式 / クール VS / 58,000km / 栃木県",2007年式,クール VS,"58,000km",栃木県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"59,000km",59000,59000,13,5.2,23.4,14.4,16.3,9.8,18.4,23.4,"2005年式 / クール / 59,000km / 愛知県",2005年式,クール,"59,000km",愛知県,manen
daihatsu-move-latte,ムーヴラテ,root,root,6万km,60000,60000,12,5.0,24.1,13.6,14.1,7.5,18.9,24.1,2008年式 / クール VS / 6万km / 千葉県,2008年式,クール VS,6万km,千葉県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"61,000km",61000,61000,11,5.0,28.5,16.8,15.9,8.5,24.3,28.5,"2004年式 / クール ターボ / 61,000km / 青森県",2004年式,クール ターボ,"61,000km",青森県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"62,000km",62000,62000,10,5.0,28.0,13.0,10.3,7.3,16.2,28.0,"2007年式 / VS / 62,000km / 千葉県",2007年式,VS,"62,000km",千葉県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"63,000km",63000,63000,12,6.3,23.2,13.4,13.6,8.1,17.7,23.2,"2007年式 / クール VS 4WD / 63,000km / 奈良県",2007年式,クール VS 4WD,"63,000km",奈良県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"64,000km",64000,64000,16,5.0,22.0,11.0,9.9,8.0,13.3,22.0,"2008年式 / クール VS / 64,000km / 沖縄県",2008年式,クール VS,"64,000km",沖縄県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"65,000km",65000,65000,13,5.0,26.9,13.5,13.4,9.1,18.1,26.9,"2009年式 / VS 4WD / 65,000km / 長崎県",2009年式,VS 4WD,"65,000km",長崎県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"66,000km",66000,66000,19,5.0,27.5,11.4,10.2,8.4,14.4,27.5,"2007年式 / クール ターボ / 66,000km / 大分県",2007年式,クール ターボ,"66,000km",大分県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"67,000km",67000,67000,11,6.3,26.1,13.1,10.5,7.2,15.6,26.1,"2006年式 / クール ターボ 4WD / 67,000km / 山口県",2006年式,クール ターボ 4WD,"67,000km",山口県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"68,000km",68000,68000,16,5.5,24.2,12.0,9.4,8.0,18.2,24.2,"2008年式 / クール VS / 68,000km / 大阪府",2008年式,クール VS,"68,000km",大阪府,manen
daihatsu-move-latte,ムーヴラテ,root,root,"69,000km",69000,69000,18,5.0,23.5,11.0,9.3,7.6,14.2,23.5,"2007年式 / クール ターボ / 69,000km / 茨城県",2007年式,クール ターボ,"69,000km",茨城県,manen
daihatsu-move-latte,ムーヴラテ,root,root,7万km,70000,70000,17,5.7,20.6,10.9,8.5,7.2,14.5,20.6,2007年式 / クール VS / 7万km / 群馬県,2007年式,クール VS,7万km,群馬県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"71,000km",71000,71000,20,5.5,26.0,11.2,10.2,7.3,11.9,26.0,"2007年式 / クール VS / 71,000km / 茨城県",2007年式,クール VS,"71,000km",茨城県,manen
daihatsu-move-latte,ムーヴラテ,root,root,"72,000km",72000,72000,18,4.5,18.4,10.9,9.0,6.1,16.1,18.4,"2005年式 / X / 72,000km / 京都府",2005年式,X,"72,000km",京都府,manen
daihatsu-move-latte,ムーヴラテ,root,root,"73,000km",73000,73000,16,5.0,27.0,10.7,7.2,6.9,16.8,27.0,"2007年式 / クール ターボ 4WD / 73,000km / 愛媛県",2007年式,クール ターボ 4WD,"73,000km",愛媛県,manen
