model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
daihatsu-storia,ストーリア,root,root,"27,000km",27000,27000,1,85.0,85.0,85.0,85.0,85.0,85.0,85.0,"2000年式 / 710 X4 4WD / 27,000km / 山口県",2000年式,710 X4 4WD,"27,000km",山口県,manen
daihatsu-storia,ストーリア,root,root,"28,000km",28000,28000,1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,"2002年式 / 1.0 CL / 28,000km / 沖縄県",2002年式,1.0 CL,"28,000km",沖縄県,manen
daihatsu-storia,ストーリア,root,root,"37,000km",37000,37000,5,8.9,86.0,24.3,8.9,8.9,8.9,86.0,"2002年式 / 710 X4 4WD / 37,000km / 大分県",2002年式,710 X4 4WD,"37,000km",大分県,manen
daihatsu-storia,ストーリア,root,root,"38,000km",38000,38000,1,42.0,42.0,42.0,42.0,42.0,42.0,42.0,"1997年式 / 710 X4 4WD / 38,000km / 山口県",1997年式,710 X4 4WD,"38,000km",山口県,manen
daihatsu-storia,ストーリア,root,root,"44,000km",44000,44000,1,45.0,45.0,45.0,45.0,45.0,45.0,45.0,"2000年式 / 710 X4 4WD / 44,000km / 福島県",2000年式,710 X4 4WD,"44,000km",福島県,manen
daihatsu-storia,ストーリア,root,root,"45,000km",45000,45000,1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,"2001年式 / 710 X4 4WD / 45,000km / 山梨県",2001年式,710 X4 4WD,"45,000km",山梨県,manen
daihatsu-storia,ストーリア,root,root,"46,000km",46000,46000,1,5.6,5.6,5.6,5.6,5.6,5.6,5.6,"2001年式 / 1.3 CZ / 46,000km / 青森県",2001年式,1.3 CZ,"46,000km",青森県,manen
daihatsu-storia,ストーリア,root,root,"47,000km",47000,47000,1,79.9,79.9,79.9,79.9,79.9,79.9,79.9,"2000年式 / 710 X4 4WD / 47,000km / 栃木県",2000年式,710 X4 4WD,"47,000km",栃木県,manen
daihatsu-storia,ストーリア,root,root,5万km,50000,50000,1,24.0,24.0,24.0,24.0,24.0,24.0,24.0,2002年式 / 710 X4 4WD / 5万km / 長崎県,2002年式,710 X4 4WD,5万km,長崎県,manen
daihatsu-storia,ストーリア,root,root,"53,000km",53000,53000,2,3.8,81.1,42.5,42.5,3.8,81.1,81.1,"2001年式 / 710 X4 4WD / 53,000km / 広島県",2001年式,710 X4 4WD,"53,000km",広島県,manen
daihatsu-storia,ストーリア,root,root,"54,000km",54000,54000,2,6.0,31.5,18.8,18.8,6.0,31.5,31.5,"2003年式 / 1.3 ツーリング / 54,000km / 茨城県",2003年式,1.3 ツーリング,"54,000km",茨城県,manen
daihatsu-storia,ストーリア,root,root,"55,000km",55000,55000,1,15.2,15.2,15.2,15.2,15.2,15.2,15.2,"1999年式 / 1.3 ツーリング / 55,000km / 岡山県",1999年式,1.3 ツーリング,"55,000km",岡山県,manen
daihatsu-storia,ストーリア,root,root,"59,000km",59000,59000,1,6.8,6.8,6.8,6.8,6.8,6.8,6.8,"2001年式 / 1.0 CL クラシック / 59,000km / 島根県",2001年式,1.0 CL クラシック,"59,000km",島根県,manen
daihatsu-storia,ストーリア,root,root,6万km,60000,60000,3,13.2,75.5,44.7,45.5,13.2,75.5,75.5,2000年式 / 710 X4 4WD / 6万km / 千葉県,2000年式,710 X4 4WD,6万km,千葉県,manen
daihatsu-storia,ストーリア,root,root,"61,000km",61000,61000,1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,"2004年式 / 1.3 CX / 61,000km / 秋田県",2004年式,1.3 CX,"61,000km",秋田県,manen
daihatsu-storia,ストーリア,root,root,"64,000km",64000,64000,2,9.2,21.5,15.3,15.3,9.2,21.5,21.5,"2003年式 / 1.3 CX / 64,000km / 愛知県",2003年式,1.3 CX,"64,000km",愛知県,manen
daihatsu-storia,ストーリア,root,root,"65,000km",65000,65000,2,6.9,6.9,6.9,6.9,6.9,6.9,6.9,"1999年式 / 1.3 ツーリング / 65,000km / 青森県",1999年式,1.3 ツーリング,"65,000km",青森県,manen
daihatsu-storia,ストーリア,root,root,"66,000km",66000,66000,1,4.4,4.4,4.4,4.4,4.4,4.4,4.4,"2002年式 / 1.0 CL / 66,000km / 大阪府",2002年式,1.0 CL,"66,000km",大阪府,manen
daihatsu-storia,ストーリア,root,root,"68,000km",68000,68000,1,4.7,4.7,4.7,4.7,4.7,4.7,4.7,"2001年式 / 1.0 CL / 68,000km / 富山県",2001年式,1.0 CL,"68,000km",富山県,manen
daihatsu-storia,ストーリア,root,root,"69,000km",69000,69000,1,5.4,5.4,5.4,5.4,5.4,5.4,5.4,"2000年式 / 1.3 ツーリング / 69,000km / 島根県",2000年式,1.3 ツーリング,"69,000km",島根県,manen
daihatsu-storia,ストーリア,root,root,"74,000km",74000,74000,1,30.0,30.0,30.0,30.0,30.0,30.0,30.0,"1997年式 / 710 X4 4WD / 74,000km / 秋田県",1997年式,710 X4 4WD,"74,000km",秋田県,manen
daihatsu-storia,ストーリア,root,root,"75,000km",75000,75000,3,45.0,67.5,60.0,67.5,45.0,67.5,67.5,"2001年式 / 710 X4 4WD / 75,000km / 香川県",2001年式,710 X4 4WD,"75,000km",香川県,manen
daihatsu-storia,ストーリア,root,root,"85,000km",85000,85000,1,3.8,3.8,3.8,3.8,3.8,3.8,3.8,"2001年式 / 1.0 CL / 85,000km / 石川県",2001年式,1.0 CL,"85,000km",石川県,manen
daihatsu-storia,ストーリア,root,root,"87,000km",87000,87000,1,9.7,9.7,9.7,9.7,9.7,9.7,9.7,"2003年式 / 1.3 CX 4WD / 87,000km / 鳥取県",2003年式,1.3 CX 4WD,"87,000km",鳥取県,manen
daihatsu-storia,ストーリア,root,root,"88,000km",88000,88000,1,6.9,6.9,6.9,6.9,6.9,6.9,6.9,"2004年式 / 1.3 CX / 88,000km / 山梨県",2004年式,1.3 CX,"88,000km",山梨県,manen
daihatsu-storia,ストーリア,root,root,"89,000km",89000,89000,1,33.8,33.8,33.8,33.8,33.8,33.8,33.8,"2001年式 / 710 X4 4WD / 89,000km / 和歌山県",2001年式,710 X4 4WD,"89,000km",和歌山県,manen
daihatsu-storia,ストーリア,root,root,"91,000km",91000,91000,2,8.4,18.9,13.7,13.7,8.4,18.9,18.9,"2001年式 / 1.3 CZ / 91,000km / 岡山県",2001年式,1.3 CZ,"91,000km",岡山県,manen
daihatsu-storia,ストーリア,root,root,"92,000km",92000,92000,1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,"2001年式 / 710 X4 4WD / 92,000km / 熊本県",2001年式,710 X4 4WD,"92,000km",熊本県,manen
daihatsu-storia,ストーリア,root,root,"93,000km",93000,93000,4,15.9,50.6,37.1,41.0,33.0,49.0,50.6,"2001年式 / 710 X4 4WD / 93,000km / 徳島県",2001年式,710 X4 4WD,"93,000km",徳島県,manen
daihatsu-storia,ストーリア,root,root,"94,000km",94000,94000,2,65.7,65.7,65.7,65.7,65.7,65.7,65.7,"2001年式 / 710 X4 4WD / 94,000km / 徳島県",2001年式,710 X4 4WD,"94,000km",徳島県,manen
daihatsu-storia,ストーリア,root,root,"96,000km",96000,96000,1,73.5,73.5,73.5,73.5,73.5,73.5,73.5,"2003年式 / 710 X4 4WD / 96,000km / 岡山県",2003年式,710 X4 4WD,"96,000km",岡山県,manen
daihatsu-storia,ストーリア,root,root,"99,000km",99000,99000,1,41.0,41.0,41.0,41.0,41.0,41.0,41.0,"2001年式 / 710 X4 4WD / 99,000km / 滋賀県",2001年式,710 X4 4WD,"99,000km",滋賀県,manen
daihatsu-storia,ストーリア,root,root,10万km,100000,100000,1,14.5,14.5,14.5,14.5,14.5,14.5,14.5,1999年式 / 710 X4 4WD / 10万km / 山口県,1999年式,710 X4 4WD,10万km,山口県,manen
daihatsu-storia,ストーリア,root,root,"103,000km",103000,103000,1,61.0,61.0,61.0,61.0,61.0,61.0,61.0,"2001年式 / 710 X4 4WD / 103,000km / 富山県",2001年式,710 X4 4WD,"103,000km",富山県,manen
