model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
daihatsu-taft,タフト,root,root,0万km,0,0,64,92.0,160.4,131.6,131.2,123.1,142.1,160.4,2025年式 / G ターボ ダーククロム ベンチャー / 0万km / 奈良県,2025年式,G ターボ ダーククロム ベンチャー,0万km,奈良県,manen
daihatsu-taft,タフト,root,root,"1,000km",1000,1000,65,88.1,162.0,128.4,127.8,117.3,138.0,162.0,"2024年式 / G ターボ ダーククロム ベンチャー 4WD / 1,000km / 北海道",2024年式,G ターボ ダーククロム ベンチャー 4WD,"1,000km",北海道,manen
daihatsu-taft,タフト,root,root,"2,000km",2000,2000,39,88.1,153.5,128.2,131.0,124.0,138.9,153.5,"2021年式 / G ターボ 4WD / 2,000km / 山形県",2021年式,G ターボ 4WD,"2,000km",山形県,manen
daihatsu-taft,タフト,root,root,"3,000km",3000,3000,47,100.0,159.0,132.9,135.4,121.5,144.6,159.0,"2023年式 / G ターボ ダーククロム ベンチャー / 3,000km / 山梨県",2023年式,G ターボ ダーククロム ベンチャー,"3,000km",山梨県,manen
daihatsu-taft,タフト,root,root,"4,000km",4000,4000,40,84.5,162.7,132.3,137.8,125.4,142.3,162.7,"2023年式 / G ターボ クロム ベンチャー 4WD / 4,000km / 京都府",2023年式,G ターボ クロム ベンチャー 4WD,"4,000km",京都府,manen
daihatsu-taft,タフト,root,root,"5,000km",5000,5000,44,86.4,164.0,130.1,134.1,115.1,144.2,164.0,"2020年式 / G 4WD / 5,000km / 山口県",2020年式,G 4WD,"5,000km",山口県,manen
daihatsu-taft,タフト,root,root,"6,000km",6000,6000,34,93.1,160.0,127.8,127.2,121.4,137.6,160.0,"2023年式 / G ターボ ダーククロム ベンチャー 4WD / 6,000km / 山梨県",2023年式,G ターボ ダーククロム ベンチャー 4WD,"6,000km",山梨県,manen
daihatsu-taft,タフト,root,root,"7,000km",7000,7000,35,84.0,155.2,130.9,132.0,120.0,145.6,155.2,"2021年式 / G ターボ クロム ベンチャー / 7,000km / 鳥取県",2021年式,G ターボ クロム ベンチャー,"7,000km",鳥取県,manen
daihatsu-taft,タフト,root,root,"8,000km",8000,8000,33,102.7,164.5,127.4,128.1,119.5,138.1,164.5,"2023年式 / G ターボ ダーククロム ベンチャー 4WD / 8,000km / 大分県",2023年式,G ターボ ダーククロム ベンチャー 4WD,"8,000km",大分県,manen
daihatsu-taft,タフト,root,root,"9,000km",9000,9000,35,67.7,155.2,121.0,126.0,112.5,137.1,155.2,"2022年式 / G クロム ベンチャー 4WD / 9,000km / 富山県",2022年式,G クロム ベンチャー 4WD,"9,000km",富山県,manen
daihatsu-taft,タフト,root,root,1万km,10000,10000,32,85.8,161.0,122.7,123.0,117.1,132.2,161.0,2020年式 / G ターボ 4WD / 1万km / 東京都,2020年式,G ターボ 4WD,1万km,東京都,manen
daihatsu-taft,タフト,root,root,"11,000km",11000,11000,29,92.0,144.0,120.1,121.8,108.0,135.6,144.0,"2022年式 / G クロム ベンチャー 4WD / 11,000km / 沖縄県",2022年式,G クロム ベンチャー 4WD,"11,000km",沖縄県,manen
daihatsu-taft,タフト,root,root,"12,000km",12000,12000,28,68.9,149.0,121.9,123.2,111.5,133.6,149.0,"2022年式 / G ターボ クロム ベンチャー / 12,000km / 群馬県",2022年式,G ターボ クロム ベンチャー,"12,000km",群馬県,manen
daihatsu-taft,タフト,root,root,"13,000km",13000,13000,24,104.1,146.0,127.0,124.5,119.8,135.3,146.0,"2021年式 / G ターボ ダーククロム ベンチャー 4WD / 13,000km / 岐阜県",2021年式,G ターボ ダーククロム ベンチャー 4WD,"13,000km",岐阜県,manen
daihatsu-taft,タフト,root,root,"14,000km",14000,14000,16,106.9,149.5,130.7,130.3,128.1,136.8,149.5,"2020年式 / G ターボ / 14,000km / 岡山県",2020年式,G ターボ,"14,000km",岡山県,manen
daihatsu-taft,タフト,root,root,"15,000km",15000,15000,21,70.7,150.5,121.9,126.0,117.5,129.7,150.5,"2022年式 / G ターボ クロム ベンチャー / 15,000km / 三重県",2022年式,G ターボ クロム ベンチャー,"15,000km",三重県,manen
daihatsu-taft,タフト,root,root,"16,000km",16000,16000,16,97.0,138.5,118.7,119.0,107.3,125.2,138.5,"2023年式 / G ダーククロム ベンチャー / 16,000km / 長崎県",2023年式,G ダーククロム ベンチャー,"16,000km",長崎県,manen
daihatsu-taft,タフト,root,root,"17,000km",17000,17000,18,92.0,141.7,119.2,118.9,114.0,127.8,141.7,"2021年式 / G ターボ / 17,000km / 大阪府",2021年式,G ターボ,"17,000km",大阪府,manen
daihatsu-taft,タフト,root,root,"18,000km",18000,18000,19,67.9,158.6,120.6,122.0,113.3,127.9,158.6,"2022年式 / G ダーククロム ベンチャー 4WD / 18,000km / 長野県",2022年式,G ダーククロム ベンチャー 4WD,"18,000km",長野県,manen
