model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
daihatsu-tanto,タント,,2025,2025年式,root,root,13,110.2,153.0,138.4,145.8,126.1,150.5,153.0,"2025年式 / ファンクロス ターボ / 4,000km / 沖縄県",2025年式,ファンクロス ターボ,"4,000km",沖縄県,manen
daihatsu-tanto,タント,,2024,2024年式,root,root,43,5.0,156.5,125.8,129.1,120.7,142.0,156.5,"2024年式 / ファンクロス 4WD / 2,000km / 秋田県",2024年式,ファンクロス 4WD,"2,000km",秋田県,manen
daihatsu-tanto,タント,,2023,2023年式,root,root,64,72.0,152.5,119.0,120.2,103.5,137.8,152.5,"2023年式 / ファンクロス ターボ / 11,000km / 栃木県",2023年式,ファンクロス ターボ,"11,000km",栃木県,manen
daihatsu-tanto,タント,,2022,2022年式,root,root,72,64.5,156.0,109.2,114.5,87.5,127.5,156.0,2022年式 / ファンクロス ターボ / 3万km / 新潟県,2022年式,ファンクロス ターボ,3万km,新潟県,manen
daihatsu-tanto,タント,,2021,2021年式,root,root,56,33.3,119.0,76.9,76.8,62.8,90.8,119.0,"2021年式 / ファンクロス / 16,000km / 広島県",2021年式,ファンクロス,"16,000km",広島県,manen
daihatsu-tanto,タント,,2020,2020年式,root,root,51,16.9,104.0,62.4,59.5,46.3,84.0,104.0,"2020年式 / X セレクション 4WD / 52,000km / 和歌山県",2020年式,X セレクション 4WD,"52,000km",和歌山県,manen
daihatsu-tanto,タント,,2019,2019年式,root,root,65,14.7,115.5,62.6,63.8,42.7,80.1,115.5,"2019年式 / X / 6,000km / 徳島県",2019年式,X,"6,000km",徳島県,manen
daihatsu-tanto,タント,,2018,2018年式,root,root,58,9.3,89.8,49.5,50.5,35.4,62.1,89.8,2018年式 / X リミテッド SAIII 4WD / 4万km / 愛媛県,2018年式,X リミテッド SAIII 4WD,4万km,愛媛県,manen
daihatsu-tanto,タント,,2017,2017年式,root,root,70,5.0,81.1,39.8,39.4,27.4,53.0,81.1,"2017年式 / X SAIII / 21,000km / 大阪府",2017年式,X SAIII,"21,000km",大阪府,manen
daihatsu-tanto,タント,,2016,2016年式,root,root,71,5.0,120.0,33.2,24.7,15.5,45.7,120.0,"2016年式 / G SAIII 4WD / 57,000km / 鳥取県",2016年式,G SAIII 4WD,"57,000km",鳥取県,manen
daihatsu-tanto,タント,,2015,2015年式,root,root,87,5.0,78.3,29.4,25.8,11.7,40.7,78.3,"2015年式 / G / 81,000km / 徳島県",2015年式,G,"81,000km",徳島県,manen
daihatsu-tanto,タント,,2014,2014年式,root,root,88,5.0,85.5,25.9,24.6,8.4,35.1,85.5,"2014年式 / G / 75,000km / 佐賀県",2014年式,G,"75,000km",佐賀県,manen
daihatsu-tanto,タント,,2013,2013年式,root,root,74,5.0,81.4,18.7,16.9,5.0,27.3,81.4,"2013年式 / G / 64,000km / 和歌山県",2013年式,G,"64,000km",和歌山県,manen
daihatsu-tanto,タント,,2012,2012年式,root,root,55,5.0,47.0,15.6,14.0,5.0,23.8,47.0,"2012年式 / G / 42,000km / 熊本県",2012年式,G,"42,000km",熊本県,manen
daihatsu-tanto,タント,,2011,2011年式,root,root,42,5.0,30.1,10.7,5.0,5.0,16.2,30.1,"2011年式 / G / 206,000km / 鹿児島県",2011年式,G,"206,000km",鹿児島県,manen
daihatsu-tanto,タント,,2010,2010年式,root,root,33,5.0,32.2,12.4,5.0,5.0,21.7,32.2,"2010年式 / G / 103,000km / 千葉県",2010年式,G,"103,000km",千葉県,manen
daihatsu-tanto,タント,,2009,2009年式,root,root,22,5.0,26.8,6.9,5.0,5.0,5.0,26.8,"2009年式 / G / 146,000km / 青森県",2009年式,G,"146,000km",青森県,manen
daihatsu-tanto,タント,,2008,2008年式,root,root,23,5.0,22.8,7.7,5.0,5.0,5.0,22.8,"2008年式 / X リミテッド / 29,000km / 青森県",2008年式,X リミテッド,"29,000km",青森県,manen
daihatsu-tanto,タント,,2007,2007年式,root,root,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"2007年式 / L / 167,000km / 大阪府",2007年式,L,"167,000km",大阪府,manen
daihatsu-tanto,タント,,2006,2006年式,root,root,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"2006年式 / X リミテッド スマイルセレクション / 109,000km / 京都府",2006年式,X リミテッド スマイルセレクション,"109,000km",京都府,manen
daihatsu-tanto,タント,,2005,2005年式,root,root,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"2005年式 / X / 134,000km / 静岡県",2005年式,X,"134,000km",静岡県,manen
daihatsu-tanto,タント,,2004,2004年式,root,root,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"2004年式 / X リミテッド スマイルセレクション / 148,000km / 静岡県",2004年式,X リミテッド スマイルセレクション,"148,000km",静岡県,manen
