model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
honda-civic-type-r,シビックタイプR,root,root,0万km,0,0,5,411.0,436.9,422.9,422.7,418.0,425.8,436.9,2016年式 / 2.0 無限 RR / 0万km / 山梨県,2016年式,2.0 無限 RR,0万km,山梨県,manen
honda-civic-type-r,シビックタイプR,root,root,"1,000km",1000,1000,13,389.8,489.8,437.8,430.6,418.0,469.4,489.8,"2025年式 / 2.0 / 1,000km / 福岡県",2025年式,2.0,"1,000km",福岡県,manen
honda-civic-type-r,シビックタイプR,root,root,"2,000km",2000,2000,4,323.5,533.5,419.3,410.1,399.0,421.3,533.5,"2025年式 / 2.0 レーシング ブラックパッケージ / 2,000km / 広島県",2025年式,2.0 レーシング ブラックパッケージ,"2,000km",広島県,manen
honda-civic-type-r,シビックタイプR,root,root,"3,000km",3000,3000,9,409.5,494.3,450.7,432.0,422.5,480.7,494.3,"2025年式 / 2.0 / 3,000km / 静岡県",2025年式,2.0,"3,000km",静岡県,manen
honda-civic-type-r,シビックタイプR,root,root,"4,000km",4000,4000,8,404.2,529.8,454.0,425.1,419.5,492.0,529.8,"2025年式 / 2.0 無限 RR / 4,000km / 群馬県",2025年式,2.0 無限 RR,"4,000km",群馬県,manen
honda-civic-type-r,シビックタイプR,root,root,"5,000km",5000,5000,2,324.7,436.9,380.8,380.8,324.7,436.9,436.9,"2023年式 / 2.0 / 5,000km / 東京都",2023年式,2.0,"5,000km",東京都,manen
honda-civic-type-r,シビックタイプR,root,root,"6,000km",6000,6000,2,320.0,430.6,375.3,375.3,320.0,430.6,430.6,"2018年式 / 2.0 / 6,000km / 東京都",2018年式,2.0,"6,000km",東京都,manen
honda-civic-type-r,シビックタイプR,root,root,"7,000km",7000,7000,6,317.0,540.5,439.8,454.9,335.5,536.1,540.5,"2025年式 / 2.0 無限 RR / 7,000km / 栃木県",2025年式,2.0 無限 RR,"7,000km",栃木県,manen
honda-civic-type-r,シビックタイプR,root,root,"8,000km",8000,8000,1,314.0,314.0,314.0,314.0,314.0,314.0,314.0,"2015年式 / 2.0 / 8,000km / 岩手県",2015年式,2.0,"8,000km",岩手県,manen
honda-civic-type-r,シビックタイプR,root,root,"9,000km",9000,9000,2,336.0,542.0,439.0,439.0,336.0,542.0,542.0,"2024年式 / 2.0 無限 RR / 9,000km / 長野県",2024年式,2.0 無限 RR,"9,000km",長野県,manen
honda-civic-type-r,シビックタイプR,root,root,1万km,10000,10000,2,75.5,512.5,294.0,294.0,75.5,512.5,512.5,2023年式 / 2.0 リミテッドエディション / 1万km / 神奈川県,2023年式,2.0 リミテッドエディション,1万km,神奈川県,manen
honda-civic-type-r,シビックタイプR,root,root,"11,000km",11000,11000,7,219.5,537.0,408.7,453.0,345.0,484.5,537.0,"2022年式 / 2.0 無限 RR / 11,000km / 三重県",2022年式,2.0 無限 RR,"11,000km",三重県,manen
honda-civic-type-r,シビックタイプR,root,root,"12,000km",12000,12000,4,154.5,216.1,175.6,165.8,159.5,172.1,216.1,"2006年式 / 2.0 / 12,000km / 富山県",2006年式,2.0,"12,000km",富山県,manen
honda-civic-type-r,シビックタイプR,root,root,"13,000km",13000,13000,6,105.5,454.2,240.6,215.8,150.0,302.0,454.2,"2021年式 / 2.0 / 13,000km / 栃木県",2021年式,2.0,"13,000km",栃木県,manen
honda-civic-type-r,シビックタイプR,root,root,"14,000km",14000,14000,8,307.0,520.0,371.6,345.1,327.5,371.6,520.0,"2024年式 / 2.0 リミテッドエディション / 14,000km / 埼玉県",2024年式,2.0 リミテッドエディション,"14,000km",埼玉県,manen
honda-civic-type-r,シビックタイプR,root,root,"15,000km",15000,15000,3,275.0,323.5,307.3,323.5,275.0,323.5,323.5,"2015年式 / 2.0 / 15,000km / 福岡県",2015年式,2.0,"15,000km",福岡県,manen
honda-civic-type-r,シビックタイプR,root,root,"16,000km",16000,16000,5,168.5,383.0,273.7,246.0,222.5,348.6,383.0,"2019年式 / 2.0 無限 RR / 16,000km / 石川県",2019年式,2.0 無限 RR,"16,000km",石川県,manen
honda-civic-type-r,シビックタイプR,root,root,"17,000km",17000,17000,4,200.8,338.6,264.5,259.3,212.6,306.0,338.6,"2018年式 / 2.0 / 17,000km / 北海道",2018年式,2.0,"17,000km",北海道,manen
honda-civic-type-r,シビックタイプR,root,root,"18,000km",18000,18000,5,166.5,483.0,345.1,357.7,332.2,386.0,483.0,"2020年式 / 2.0 リミテッドエディション / 18,000km / 群馬県",2020年式,2.0 リミテッドエディション,"18,000km",群馬県,manen
honda-civic-type-r,シビックタイプR,root,root,"19,000km",19000,19000,2,316.5,330.4,323.4,323.4,316.5,330.4,330.4,"2019年式 / 2.0 / 19,000km / 東京都",2019年式,2.0,"19,000km",東京都,manen
honda-civic-type-r,シビックタイプR,root,root,2万km,20000,20000,3,221.0,361.1,308.6,343.8,221.0,361.1,361.1,2016年式 / 2.0 / 2万km / 東京都,2016年式,2.0,2万km,東京都,manen
honda-civic-type-r,シビックタイプR,root,root,"21,000km",21000,21000,3,306.5,370.9,347.6,365.5,306.5,370.9,370.9,"2021年式 / 2.0 無限 RR / 21,000km / 京都府",2021年式,2.0 無限 RR,"21,000km",京都府,manen
honda-civic-type-r,シビックタイプR,root,root,"23,000km",23000,23000,4,153.0,294.0,195.9,168.3,161.6,175.1,294.0,"2016年式 / 2.0 / 23,000km / 東京都",2016年式,2.0,"23,000km",東京都,manen
honda-civic-type-r,シビックタイプR,root,root,"24,000km",24000,24000,2,312.2,365.0,338.6,338.6,312.2,365.0,365.0,"2019年式 / 2.0 リミテッドエディション / 24,000km / 埼玉県",2019年式,2.0 リミテッドエディション,"24,000km",埼玉県,manen
honda-civic-type-r,シビックタイプR,root,root,"26,000km",26000,26000,4,140.8,292.0,225.2,234.0,234.0,234.0,292.0,"2019年式 / 2.0 / 26,000km / 東京都",2019年式,2.0,"26,000km",東京都,manen
honda-civic-type-r,シビックタイプR,root,root,"27,000km",27000,27000,4,122.5,357.7,222.5,204.8,178.6,231.1,357.7,"2019年式 / 2.0 / 27,000km / 東京都",2019年式,2.0,"27,000km",東京都,manen
