model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
honda-civic-type-r,シビックタイプR,,2025,2025年式,root,root,7,469.4,540.5,506.1,494.3,489.8,529.8,540.5,"2025年式 / 2.0 無限 RR / 7,000km / 栃木県",2025年式,2.0 無限 RR,"7,000km",栃木県,manen
honda-civic-type-r,シビックタイプR,,2024,2024年式,root,root,9,475.2,542.0,501.1,492.0,485.2,520.0,542.0,"2024年式 / 2.0 無限 RR / 9,000km / 長野県",2024年式,2.0 無限 RR,"9,000km",長野県,manen
honda-civic-type-r,シビックタイプR,,2023,2023年式,root,root,3,436.9,512.5,476.7,480.7,436.9,512.5,512.5,2023年式 / 2.0 リミテッドエディション / 1万km / 神奈川県,2023年式,2.0 リミテッドエディション,1万km,神奈川県,manen
honda-civic-type-r,シビックタイプR,,2022,2022年式,root,root,4,424.2,537.0,505.7,530.8,525.4,536.1,537.0,"2022年式 / 2.0 無限 RR / 11,000km / 三重県",2022年式,2.0 無限 RR,"11,000km",三重県,manen
honda-civic-type-r,シビックタイプR,,2021,2021年式,root,root,6,370.9,454.2,424.6,428.6,412.4,453.0,454.2,"2021年式 / 2.0 / 13,000km / 栃木県",2021年式,2.0,"13,000km",栃木県,manen
honda-civic-type-r,シビックタイプR,,2020,2020年式,root,root,7,378.8,494.3,438.8,430.6,413.5,483.0,494.3,"2020年式 / 2.0 / 32,000km / 静岡県",2020年式,2.0,"32,000km",静岡県,manen
honda-civic-type-r,シビックタイプR,,2019,2019年式,root,root,16,252.6,387.6,329.1,337.1,294.0,357.7,387.6,"2019年式 / 2.0 / 29,000km / 北海道",2019年式,2.0,"29,000km",北海道,manen
honda-civic-type-r,シビックタイプR,,2018,2018年式,root,root,26,246.0,430.6,344.9,340.6,324.0,365.5,430.6,"2018年式 / 2.0 / 1,000km / 栃木県",2018年式,2.0,"1,000km",栃木県,manen
honda-civic-type-r,シビックタイプR,,2017,2017年式,root,root,16,193.7,432.0,361.2,361.3,353.1,409.5,432.0,"2017年式 / 2.0 / 3,000km / 香川県",2017年式,2.0,"3,000km",香川県,manen
honda-civic-type-r,シビックタイプR,,2016,2016年式,root,root,26,202.5,438.1,367.7,408.6,294.0,420.3,438.1,"2016年式 / 2.0 / 1,000km / 和歌山県",2016年式,2.0,"1,000km",和歌山県,manen
honda-civic-type-r,シビックタイプR,,2015,2015年式,root,root,18,302.0,345.0,321.3,323.5,314.0,327.5,345.0,"2015年式 / 2.0 無限 RR / 11,000km / 長野県",2015年式,2.0 無限 RR,"11,000km",長野県,manen
honda-civic-type-r,シビックタイプR,,2012,2012年式,root,root,18,62.6,386.0,131.2,127.2,87.0,156.0,386.0,"2012年式 / 2.0 無限 RR / 18,000km / 岩手県",2012年式,2.0 無限 RR,"18,000km",岩手県,manen
honda-civic-type-r,シビックタイプR,,2011,2011年式,root,root,80,28.6,180.6,112.5,116.2,83.9,147.0,180.6,"2011年式 / 2.0 ユーロ / 58,000km / 大分県",2011年式,2.0 ユーロ,"58,000km",大分県,manen
honda-civic-type-r,シビックタイプR,,2010,2010年式,root,root,131,45.0,326.0,121.2,109.0,82.5,145.7,326.0,2010年式 / 2.0 / 4万km / 東京都,2010年式,2.0,4万km,東京都,manen
honda-civic-type-r,シビックタイプR,,2009,2009年式,root,root,146,36.3,296.7,123.4,108.5,74.8,166.3,296.7,"2009年式 / 2.0 / 29,000km / 東京都",2009年式,2.0,"29,000km",東京都,manen
honda-civic-type-r,シビックタイプR,,2008,2008年式,root,root,123,41.0,375.6,140.3,138.9,99.0,175.4,375.6,2008年式 / 2.0 無限 RR / 13万km / 東京都,2008年式,2.0 無限 RR,13万km,東京都,manen
honda-civic-type-r,シビックタイプR,,2007,2007年式,root,root,87,51.8,361.0,167.8,165.0,129.7,189.1,361.0,"2007年式 / 2.0 無限 RR / 14,000km / 岩手県",2007年式,2.0 無限 RR,"14,000km",岩手県,manen
honda-civic-type-r,シビックタイプR,,2006,2006年式,root,root,35,16.2,353.5,140.7,127.9,111.0,163.5,353.5,"2006年式 / 2.0 無限 RR / 43,000km / 滋賀県",2006年式,2.0 無限 RR,"43,000km",滋賀県,manen
honda-civic-type-r,シビックタイプR,,2005,2005年式,root,root,8,37.9,248.0,135.3,142.3,103.0,175.1,248.0,"2005年式 / 2.0 無限 RR / 44,000km / 京都府",2005年式,2.0 無限 RR,"44,000km",京都府,manen
