model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
honda-cr-v,CR-V,,2023,2023年式,root,root,5,271.5,314.5,286.1,286.5,271.5,286.5,314.5,"2023年式 / 2.0 e:HEV EX ブラック エディション 4WD / 24,000km / 青森県",2023年式,2.0 e:HEV EX ブラック エディション 4WD,"24,000km",青森県,manen
honda-cr-v,CR-V,,2022,2022年式,root,root,104,156.3,429.5,296.1,296.0,261.0,322.1,429.5,"2022年式 / 1.5 EX ブラック エディション 4WD / 27,000km / 大分県",2022年式,1.5 EX ブラック エディション 4WD,"27,000km",大分県,manen
honda-cr-v,CR-V,,2021,2021年式,root,root,102,174.9,445.6,305.0,299.2,265.5,341.5,445.6,"2021年式 / 1.5 EX ブラック エディション 4WD / 14,000km / 東京都",2021年式,1.5 EX ブラック エディション 4WD,"14,000km",東京都,manen
honda-cr-v,CR-V,,2020,2020年式,root,root,124,131.2,390.8,261.2,258.2,208.5,310.4,390.8,"2020年式 / 1.5 EX 4WD / 28,000km / 山口県",2020年式,1.5 EX 4WD,"28,000km",山口県,manen
honda-cr-v,CR-V,,2019,2019年式,root,root,130,20.0,338.5,220.7,214.4,194.0,256.5,338.5,"2019年式 / 1.5 EX マスターピース 4WD / 58,000km / 石川県",2019年式,1.5 EX マスターピース 4WD,"58,000km",石川県,manen
honda-cr-v,CR-V,,2018,2018年式,root,root,89,102.0,328.1,225.2,224.4,191.5,255.0,328.1,"2018年式 / 1.5 EX マスターピース 4WD / 17,000km / 岐阜県",2018年式,1.5 EX マスターピース 4WD,"17,000km",岐阜県,manen
honda-cr-v,CR-V,,2017,2017年式,root,root,1,268.5,268.5,268.5,268.5,268.5,268.5,268.5,"2017年式 / 1.5 EX マスターピース / 53,000km / 山梨県",2017年式,1.5 EX マスターピース,"53,000km",山梨県,manen
honda-cr-v,CR-V,,2016,2016年式,root,root,9,7.8,120.3,90.1,95.0,84.0,114.5,120.3,"2016年式 / 2.4 24G レザーパッケージ 4WD / 86,000km / 静岡県",2016年式,2.4 24G レザーパッケージ 4WD,"86,000km",静岡県,manen
honda-cr-v,CR-V,,2015,2015年式,root,root,20,53.1,115.5,87.1,87.0,75.7,100.7,115.5,2015年式 / 2.0 20G / 10万km / 宮城県,2015年式,2.0 20G,10万km,宮城県,manen
honda-cr-v,CR-V,,2014,2014年式,root,root,31,32.0,90.8,60.6,56.5,51.2,69.0,90.8,"2014年式 / 2.0 20G レザーパッケージ / 28,000km / 兵庫県",2014年式,2.0 20G レザーパッケージ,"28,000km",兵庫県,manen
