model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
honda-fit,フィット,,2025,2025年式,root,root,11,32.0,174.6,139.4,148.9,133.4,155.3,174.6,"2025年式 / 1.5 e:HEV ホーム / 1,000km / 福島県",2025年式,1.5 e:HEV ホーム,"1,000km",福島県,manen
honda-fit,フィット,,2024,2024年式,root,root,43,73.0,185.0,148.3,150.0,132.3,166.7,185.0,"2024年式 / 1.5 e:HEV RS / 4,000km / 福井県",2024年式,1.5 e:HEV RS,"4,000km",福井県,manen
honda-fit,フィット,,2023,2023年式,root,root,58,89.6,181.0,133.9,135.2,119.6,150.0,181.0,"2023年式 / 1.5 e:HEV RS / 19,000km / 富山県",2023年式,1.5 e:HEV RS,"19,000km",富山県,manen
honda-fit,フィット,,2022,2022年式,root,root,61,65.4,183.9,130.8,131.6,111.0,153.0,183.9,"2022年式 / 1.5 ホーム / 18,000km / 高知県",2022年式,1.5 ホーム,"18,000km",高知県,manen
honda-fit,フィット,,2021,2021年式,root,root,65,10.7,168.0,109.5,105.9,93.2,129.4,168.0,"2021年式 / 1.5 ハイブリッド モデューロ スタイル ホンダセンシング / 16,000km / 愛知県",2021年式,1.5 ハイブリッド モデューロ スタイル ホンダセンシング,"16,000km",愛知県,manen
honda-fit,フィット,,2020,2020年式,root,root,78,27.2,160.0,95.6,99.8,72.0,111.0,160.0,"2020年式 / 1.3 クロスター / 22,000km / 奈良県",2020年式,1.3 クロスター,"22,000km",奈良県,manen
honda-fit,フィット,,2019,2019年式,root,root,76,37.1,128.5,74.6,73.3,60.2,84.9,128.5,"2019年式 / 1.5 RS ホンダセンシング / 18,000km / 島根県",2019年式,1.5 RS ホンダセンシング,"18,000km",島根県,manen
honda-fit,フィット,,2018,2018年式,root,root,78,8.7,115.3,68.3,65.6,53.7,81.0,115.3,"2018年式 / 1.5 RS ホンダセンシング / 97,000km / 大阪府",2018年式,1.5 RS ホンダセンシング,"97,000km",大阪府,manen
honda-fit,フィット,,2017,2017年式,root,root,86,19.5,118.0,61.2,58.0,50.5,72.0,118.0,"2017年式 / 1.5 ハイブリッド S ホンダセンシング / 13,000km / 青森県",2017年式,1.5 ハイブリッド S ホンダセンシング,"13,000km",青森県,manen
honda-fit,フィット,,2016,2016年式,root,root,70,17.4,65.4,45.5,46.6,41.5,54.6,65.4,"2016年式 / 1.3 13G Fパッケージ / 38,000km / 秋田県",2016年式,1.3 13G Fパッケージ,"38,000km",秋田県,manen
honda-fit,フィット,,2015,2015年式,root,root,80,5.0,97.1,33.4,31.7,22.9,40.3,97.1,"2015年式 / 1.5 RS / 49,000km / 千葉県",2015年式,1.5 RS,"49,000km",千葉県,manen
honda-fit,フィット,,2014,2014年式,root,root,89,5.0,76.1,29.7,27.0,21.1,37.5,76.1,"2014年式 / 1.5 RS / 76,000km / 千葉県",2014年式,1.5 RS,"76,000km",千葉県,manen
honda-fit,フィット,,2013,2013年式,root,root,62,5.0,109.6,27.0,24.0,19.2,31.5,109.6,"2013年式 / 1.5 RS / 122,000km / 奈良県",2013年式,1.5 RS,"122,000km",奈良県,manen
honda-fit,フィット,,2012,2012年式,root,root,37,5.0,80.0,23.9,23.6,17.1,29.4,80.0,"2012年式 / 1.5 RS / 59,000km / 大阪府",2012年式,1.5 RS,"59,000km",大阪府,manen
honda-fit,フィット,,2011,2011年式,root,root,37,5.0,60.3,19.6,21.5,5.0,26.4,60.3,"2011年式 / 1.5 RS / 47,000km / 埼玉県",2011年式,1.5 RS,"47,000km",埼玉県,manen
honda-fit,フィット,,2010,2010年式,root,root,21,1.7,59.5,19.7,19.2,5.0,26.0,59.5,"2010年式 / 1.5 RS / 56,000km / 佐賀県",2010年式,1.5 RS,"56,000km",佐賀県,manen
honda-fit,フィット,,2009,2009年式,root,root,14,5.0,32.2,12.8,14.1,5.0,17.5,32.2,"2009年式 / 1.5 RS ハイウェイエディション / 138,000km / 愛知県",2009年式,1.5 RS ハイウェイエディション,"138,000km",愛知県,manen
honda-fit,フィット,,2008,2008年式,root,root,16,5.0,29.5,8.8,5.0,5.0,5.0,29.5,"2008年式 / 1.5 RS / 74,000km / 滋賀県",2008年式,1.5 RS,"74,000km",滋賀県,manen
honda-fit,フィット,,2007,2007年式,root,root,7,5.0,61.0,19.4,16.7,7.0,19.8,61.0,2007年式 / 1.5 RS / 15万km / 奈良県,2007年式,1.5 RS,15万km,奈良県,manen
honda-fit,フィット,,2006,2006年式,root,root,2,16.4,22.0,19.2,19.2,16.4,22.0,22.0,"2006年式 / 1.5 S / 86,000km / 滋賀県",2006年式,1.5 S,"86,000km",滋賀県,manen
honda-fit,フィット,,2005,2005年式,root,root,4,5.0,19.6,11.8,11.3,5.0,17.6,19.6,"2005年式 / 1.5 S / 57,000km / 岡山県",2005年式,1.5 S,"57,000km",岡山県,manen
honda-fit,フィット,,2004,2004年式,root,root,4,5.0,27.6,16.4,16.6,16.2,17.0,27.6,"2004年式 / 1.5 S / 84,000km / 宮崎県",2004年式,1.5 S,"84,000km",宮崎県,manen
honda-fit,フィット,,2002,2002年式,root,root,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"2002年式 / 1.5 T 4WD / 35,000km / 長野県",2002年式,1.5 T 4WD,"35,000km",長野県,manen
