model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
honda-freed,フリード,,2026,2026年式,root,root,7,261.5,262.9,262.7,262.9,262.9,262.9,262.9,"2026年式 / 1.5 e:HEV エアー EX / 1,000km / 東京都",2026年式,1.5 e:HEV エアー EX,"1,000km",東京都,manen
honda-freed,フリード,,2025,2025年式,root,root,29,174.8,307.6,266.6,272.7,258.5,289.5,307.6,"2025年式 / 1.5 e:HEV エアー / 1,000km / 静岡県",2025年式,1.5 e:HEV エアー,"1,000km",静岡県,manen
honda-freed,フリード,,2024,2024年式,root,root,63,48.0,306.5,235.9,232.5,212.5,259.9,306.5,"2024年式 / 1.5 e:HEV クロスター / 3,000km / 愛知県",2024年式,1.5 e:HEV クロスター,"3,000km",愛知県,manen
honda-freed,フリード,,2023,2023年式,root,root,77,135.6,251.0,200.9,208.0,183.8,220.2,251.0,"2023年式 / 1.5 ハイブリッド クロスター ブラックスタイル / 15,000km / 福井県",2023年式,1.5 ハイブリッド クロスター ブラックスタイル,"15,000km",福井県,manen
honda-freed,フリード,,2022,2022年式,root,root,86,25.0,254.8,183.2,191.6,166.8,208.5,254.8,"2022年式 / 1.5 クロスター 4WD / 56,000km / 徳島県",2022年式,1.5 クロスター 4WD,"56,000km",徳島県,manen
honda-freed,フリード,,2021,2021年式,root,root,81,5.0,239.5,168.6,172.1,151.0,196.0,239.5,"2021年式 / 1.5 モデューロX ホンダセンシング / 17,000km / 徳島県",2021年式,1.5 モデューロX ホンダセンシング,"17,000km",徳島県,manen
honda-freed,フリード,,2020,2020年式,root,root,66,33.3,229.5,155.9,163.7,133.5,185.3,229.5,"2020年式 / 1.5 ハイブリッド モデューロX ホンダセンシング / 28,000km / 愛知県",2020年式,1.5 ハイブリッド モデューロX ホンダセンシング,"28,000km",愛知県,manen
honda-freed,フリード,,2019,2019年式,root,root,86,37.9,204.7,112.2,110.0,82.6,139.0,204.7,"2019年式 / 1.5 ハイブリッド クロスター ホンダセンシング / 34,000km / 山口県",2019年式,1.5 ハイブリッド クロスター ホンダセンシング,"34,000km",山口県,manen
honda-freed,フリード,,2018,2018年式,root,root,70,35.0,176.7,105.1,98.5,78.0,140.0,176.7,"2018年式 / 1.5 モデューロX ホンダセンシング / 31,000km / 佐賀県",2018年式,1.5 モデューロX ホンダセンシング,"31,000km",佐賀県,manen
honda-freed,フリード,,2017,2017年式,root,root,74,16.4,169.7,93.4,93.7,65.2,118.7,169.7,"2017年式 / 1.5 G ホンダセンシング 4WD / 28,000km / 岩手県",2017年式,1.5 G ホンダセンシング 4WD,"28,000km",岩手県,manen
honda-freed,フリード,,2016,2016年式,root,root,73,11.5,155.5,75.0,73.1,46.3,100.2,155.5,"2016年式 / 1.5 ハイブリッド G ホンダセンシング 4WD / 43,000km / 富山県",2016年式,1.5 ハイブリッド G ホンダセンシング 4WD,"43,000km",富山県,manen
honda-freed,フリード,,2015,2015年式,root,root,50,4.8,111.0,51.1,49.6,35.6,65.6,111.0,"2015年式 / 1.5 G ホンダセンシング 4WD / 85,000km / 埼玉県",2015年式,1.5 G ホンダセンシング 4WD,"85,000km",埼玉県,manen
honda-freed,フリード,,2014,2014年式,root,root,42,5.0,100.0,44.5,43.2,27.7,61.6,100.0,"2014年式 / 1.5 G 4WD / 71,000km / 茨城県",2014年式,1.5 G 4WD,"71,000km",茨城県,manen
honda-freed,フリード,,2013,2013年式,root,root,44,5.0,78.8,34.4,32.3,25.2,43.2,78.8,"2013年式 / 1.5 G エアロ / 27,000km / 茨城県",2013年式,1.5 G エアロ,"27,000km",茨城県,manen
honda-freed,フリード,,2012,2012年式,root,root,46,5.0,62.7,32.4,31.5,25.0,41.0,62.7,"2012年式 / 1.5 G サイドリフトアップシート 4WD / 98,000km / 奈良県",2012年式,1.5 G サイドリフトアップシート 4WD,"98,000km",奈良県,manen
honda-freed,フリード,,2011,2011年式,root,root,36,5.0,60.5,25.1,25.1,18.1,30.5,60.5,"2011年式 / 1.5 G エアロ 4WD / 68,000km / 山梨県",2011年式,1.5 G エアロ 4WD,"68,000km",山梨県,manen
honda-freed,フリード,,2010,2010年式,root,root,27,5.0,47.2,18.8,18.4,5.0,30.0,47.2,"2010年式 / 1.5 G エアロ ジャストセレクション / 102,000km / 香川県",2010年式,1.5 G エアロ ジャストセレクション,"102,000km",香川県,manen
honda-freed,フリード,,2009,2009年式,root,root,27,5.0,52.0,13.2,5.0,5.0,18.9,52.0,"2009年式 / 1.5 G エアロ ジャストセレクション 4WD / 55,000km / 大阪府",2009年式,1.5 G エアロ ジャストセレクション 4WD,"55,000km",大阪府,manen
honda-freed,フリード,,2008,2008年式,root,root,16,5.0,43.0,15.0,12.3,5.0,23.5,43.0,2008年式 / 1.5 G エアロ Lパッケージ / 5万km / 和歌山県,2008年式,1.5 G エアロ Lパッケージ,5万km,和歌山県,manen
