model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
honda-insight,インサイト,root,root,0万km,0,0,1,241.0,241.0,241.0,241.0,241.0,241.0,241.0,2019年式 / 1.5 EX ブラックスタイル / 0万km / 兵庫県,2019年式,1.5 EX ブラックスタイル,0万km,兵庫県,manen
honda-insight,インサイト,root,root,"3,000km",3000,3000,4,205.3,259.8,233.3,234.0,220.5,247.5,259.8,"2022年式 / 1.5 EX ブラックスタイル / 3,000km / 東京都",2022年式,1.5 EX ブラックスタイル,"3,000km",東京都,manen
honda-insight,インサイト,root,root,"4,000km",4000,4000,3,236.3,250.7,245.8,250.5,236.3,250.7,250.7,"2019年式 / 1.5 EX ブラックスタイル / 4,000km / 福島県",2019年式,1.5 EX ブラックスタイル,"4,000km",福島県,manen
honda-insight,インサイト,root,root,"5,000km",5000,5000,3,240.4,269.9,254.0,251.6,240.4,269.9,269.9,"2023年式 / 1.5 EX プライムスタイル / 5,000km / 東京都",2023年式,1.5 EX プライムスタイル,"5,000km",東京都,manen
honda-insight,インサイト,root,root,"7,000km",7000,7000,7,175.0,265.9,227.4,228.5,228.5,259.5,265.9,"2023年式 / 1.5 EX プライムスタイル / 7,000km / 鹿児島県",2023年式,1.5 EX プライムスタイル,"7,000km",鹿児島県,manen
honda-insight,インサイト,root,root,"8,000km",8000,8000,2,210.4,235.8,223.1,223.1,210.4,235.8,235.8,"2022年式 / 1.5 EX / 8,000km / 山梨県",2022年式,1.5 EX,"8,000km",山梨県,manen
honda-insight,インサイト,root,root,"9,000km",9000,9000,4,223.2,270.0,247.4,248.3,236.5,260.1,270.0,"2022年式 / 1.5 EX プライムスタイル / 9,000km / 神奈川県",2022年式,1.5 EX プライムスタイル,"9,000km",神奈川県,manen
honda-insight,インサイト,root,root,1万km,10000,10000,7,31.7,265.0,179.4,218.5,208.2,231.5,265.0,2022年式 / 1.5 EX / 1万km / 山梨県,2022年式,1.5 EX,1万km,山梨県,manen
honda-insight,インサイト,root,root,"11,000km",11000,11000,6,14.2,255.1,163.6,220.0,17.0,255.1,255.1,"2022年式 / 1.5 EX ブラックスタイル / 11,000km / 大分県",2022年式,1.5 EX ブラックスタイル,"11,000km",大分県,manen
honda-insight,インサイト,root,root,"12,000km",12000,12000,1,259.0,259.0,259.0,259.0,259.0,259.0,259.0,"2020年式 / 1.5 EX / 12,000km / 新潟県",2020年式,1.5 EX,"12,000km",新潟県,manen
honda-insight,インサイト,root,root,"13,000km",13000,13000,2,164.3,230.8,197.6,197.6,164.3,230.8,230.8,"2022年式 / 1.5 EX / 13,000km / 奈良県",2022年式,1.5 EX,"13,000km",奈良県,manen
honda-insight,インサイト,root,root,"14,000km",14000,14000,11,12.1,262.2,184.8,229.0,171.5,239.0,262.2,"2022年式 / 1.5 EX プライムスタイル / 14,000km / 京都府",2022年式,1.5 EX プライムスタイル,"14,000km",京都府,manen
honda-insight,インサイト,root,root,"15,000km",15000,15000,6,213.0,260.1,242.2,247.0,226.2,260.1,260.1,"2021年式 / 1.5 EX ブラックスタイル / 15,000km / 東京都",2021年式,1.5 EX ブラックスタイル,"15,000km",東京都,manen
honda-insight,インサイト,root,root,"16,000km",16000,16000,6,197.0,266.0,234.9,240.5,217.0,248.4,266.0,"2020年式 / 1.5 EX ブラックスタイル / 16,000km / 岡山県",2020年式,1.5 EX ブラックスタイル,"16,000km",岡山県,manen
honda-insight,インサイト,root,root,"17,000km",17000,17000,14,24.0,263.6,189.3,221.0,189.9,239.5,263.6,"2020年式 / 1.5 EX / 17,000km / 島根県",2020年式,1.5 EX,"17,000km",島根県,manen
honda-insight,インサイト,root,root,"18,000km",18000,18000,6,51.4,233.5,184.8,210.1,172.0,232.0,233.5,"2022年式 / 1.5 EX / 18,000km / 青森県",2022年式,1.5 EX,"18,000km",青森県,manen
honda-insight,インサイト,root,root,"19,000km",19000,19000,9,26.2,258.0,185.9,222.7,209.5,234.4,258.0,"2022年式 / 1.5 EX ブラックスタイル / 19,000km / 石川県",2022年式,1.5 EX ブラックスタイル,"19,000km",石川県,manen
honda-insight,インサイト,root,root,2万km,20000,20000,4,203.1,225.0,218.3,222.5,221.0,224.0,225.0,2021年式 / 1.5 EX ブラックスタイル / 2万km / 島根県,2021年式,1.5 EX ブラックスタイル,2万km,島根県,manen
honda-insight,インサイト,root,root,"21,000km",21000,21000,6,14.5,235.4,156.4,165.1,127.0,231.5,235.4,"2019年式 / 1.5 EX ブラックスタイル / 21,000km / 静岡県",2019年式,1.5 EX ブラックスタイル,"21,000km",静岡県,manen
honda-insight,インサイト,root,root,"22,000km",22000,22000,6,187.0,252.0,214.7,211.0,199.5,227.5,252.0,"2022年式 / 1.5 EX プライムスタイル / 22,000km / 岐阜県",2022年式,1.5 EX プライムスタイル,"22,000km",岐阜県,manen
honda-insight,インサイト,root,root,"23,000km",23000,23000,12,8.5,260.5,197.0,210.8,183.3,232.0,260.5,"2022年式 / 1.5 EX ブラックスタイル / 23,000km / 奈良県",2022年式,1.5 EX ブラックスタイル,"23,000km",奈良県,manen
honda-insight,インサイト,root,root,"24,000km",24000,24000,11,8.8,260.5,150.5,183.7,23.0,210.0,260.5,"2021年式 / 1.5 EX / 24,000km / 島根県",2021年式,1.5 EX,"24,000km",島根県,manen
honda-insight,インサイト,root,root,"25,000km",25000,25000,6,5.8,241.5,192.5,227.3,211.7,241.5,241.5,"2020年式 / 1.5 EX ブラックスタイル / 25,000km / 東京都",2020年式,1.5 EX ブラックスタイル,"25,000km",東京都,manen
honda-insight,インサイト,root,root,"26,000km",26000,26000,16,6.4,252.0,189.0,199.2,191.4,228.5,252.0,"2020年式 / 1.5 EX / 26,000km / 神奈川県",2020年式,1.5 EX,"26,000km",神奈川県,manen
honda-insight,インサイト,root,root,"27,000km",27000,27000,14,5.0,259.5,159.8,176.0,164.1,220.2,259.5,"2020年式 / 1.5 EX / 27,000km / 兵庫県",2020年式,1.5 EX,"27,000km",兵庫県,manen
honda-insight,インサイト,root,root,"28,000km",28000,28000,7,5.0,250.6,126.6,150.8,27.6,211.0,250.6,"2020年式 / 1.5 EX / 28,000km / 秋田県",2020年式,1.5 EX,"28,000km",秋田県,manen
honda-insight,インサイト,root,root,"29,000km",29000,29000,10,7.6,225.3,102.3,54.0,39.0,197.5,225.3,"2022年式 / 1.5 EX / 29,000km / 秋田県",2022年式,1.5 EX,"29,000km",秋田県,manen
honda-insight,インサイト,root,root,3万km,30000,30000,9,22.9,229.5,127.8,168.0,27.4,228.0,229.5,2022年式 / 1.5 EX ブラックスタイル / 3万km / 千葉県,2022年式,1.5 EX ブラックスタイル,3万km,千葉県,manen
honda-insight,インサイト,root,root,"31,000km",31000,31000,10,5.0,244.5,173.0,216.2,143.5,240.0,244.5,"2021年式 / 1.5 EX / 31,000km / 岐阜県",2021年式,1.5 EX,"31,000km",岐阜県,manen
honda-insight,インサイト,root,root,"32,000km",32000,32000,9,11.0,229.8,118.5,181.9,15.3,195.0,229.8,"2020年式 / 1.5 EX ブラックスタイル / 32,000km / 山梨県",2020年式,1.5 EX ブラックスタイル,"32,000km",山梨県,manen
honda-insight,インサイト,root,root,"33,000km",33000,33000,7,15.4,204.7,114.9,177.0,35.5,177.0,204.7,"2021年式 / 1.5 EX / 33,000km / 広島県",2021年式,1.5 EX,"33,000km",広島県,manen
honda-insight,インサイト,root,root,"34,000km",34000,34000,9,26.5,235.5,143.8,170.6,75.0,180.5,235.5,"2020年式 / 1.5 EX / 34,000km / 青森県",2020年式,1.5 EX,"34,000km",青森県,manen
honda-insight,インサイト,root,root,"35,000km",35000,35000,15,15.8,219.0,132.0,145.8,42.0,199.2,219.0,"2021年式 / 1.5 EX / 35,000km / 秋田県",2021年式,1.5 EX,"35,000km",秋田県,manen
