model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
honda-insight,インサイト,,2023,2023年式,root,root,7,168.0,269.9,232.8,249.0,229.8,252.0,269.9,"2023年式 / 1.5 EX プライムスタイル / 5,000km / 東京都",2023年式,1.5 EX プライムスタイル,"5,000km",東京都,manen
honda-insight,インサイト,,2022,2022年式,root,root,44,150.8,270.0,225.8,232.2,209.0,245.0,270.0,"2022年式 / 1.5 EX プライムスタイル / 9,000km / 神奈川県",2022年式,1.5 EX プライムスタイル,"9,000km",神奈川県,manen
honda-insight,インサイト,,2021,2021年式,root,root,71,14.0,260.5,213.5,223.2,202.0,236.5,260.5,"2021年式 / 1.5 EX / 24,000km / 島根県",2021年式,1.5 EX,"24,000km",島根県,manen
honda-insight,インサイト,,2020,2020年式,root,root,92,112.5,266.0,202.8,204.9,185.0,224.5,266.0,"2020年式 / 1.5 EX ブラックスタイル / 16,000km / 岡山県",2020年式,1.5 EX ブラックスタイル,"16,000km",岡山県,manen
honda-insight,インサイト,,2019,2019年式,root,root,112,14.0,250.7,169.5,178.8,145.5,201.4,250.7,"2019年式 / 1.5 EX ブラックスタイル / 4,000km / 福島県",2019年式,1.5 EX ブラックスタイル,"4,000km",福島県,manen
honda-insight,インサイト,,2018,2018年式,root,root,45,56.4,224.0,170.1,177.0,143.5,205.8,224.0,"2018年式 / 1.5 EX / 43,000km / 石川県",2018年式,1.5 EX,"43,000km",石川県,manen
honda-insight,インサイト,,2017,2017年式,root,root,1,22.6,22.6,22.6,22.6,22.6,22.6,22.6,"2017年式 / 1.5 エクスクルーシブ XL / 164,000km / 長野県",2017年式,1.5 エクスクルーシブ XL,"164,000km",長野県,manen
honda-insight,インサイト,,2014,2014年式,root,root,11,5.0,183.9,43.6,27.0,22.2,38.5,183.9,"2014年式 / 1.5 EX / 53,000km / 大阪府",2014年式,1.5 EX,"53,000km",大阪府,manen
honda-insight,インサイト,,2013,2013年式,root,root,83,5.0,58.4,29.9,29.0,22.0,38.0,58.4,2013年式 / 1.5 エクスクルーシブ XG / 1万km / 和歌山県,2013年式,1.5 エクスクルーシブ XG,1万km,和歌山県,manen
honda-insight,インサイト,,2012,2012年式,root,root,159,5.0,59.6,28.6,27.5,21.4,34.5,59.6,"2012年式 / 1.5 エクスクルーシブ XL / 17,000km / 滋賀県",2012年式,1.5 エクスクルーシブ XL,"17,000km",滋賀県,manen
honda-insight,インサイト,,2011,2011年式,root,root,133,2.1,55.2,21.6,20.6,15.9,26.8,55.2,"2011年式 / 1.5 エクスクルーシブ XL / 54,000km / 岩手県",2011年式,1.5 エクスクルーシブ XL,"54,000km",岩手県,manen
honda-insight,インサイト,,2010,2010年式,root,root,98,5.0,31.5,15.8,15.9,11.5,19.5,31.5,"2010年式 / 1.3 G HDDナビスペシャルエディション / 19,000km / 栃木県",2010年式,1.3 G HDDナビスペシャルエディション,"19,000km",栃木県,manen
honda-insight,インサイト,,2009,2009年式,root,root,142,5.0,37.9,12.5,11.6,5.0,16.5,37.9,"2009年式 / 1.3 LS / 58,000km / 東京都",2009年式,1.3 LS,"58,000km",東京都,manen
honda-insight,インサイト,,2008,2008年式,root,root,1,17.3,17.3,17.3,17.3,17.3,17.3,17.3,"2008年式 / 1.3 LS / 56,000km / 鹿児島県",2008年式,1.3 LS,"56,000km",鹿児島県,manen
honda-insight,インサイト,,1946,1946年式,root,root,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"1946年式 / 1.3 G / 102,000km / 静岡県",1946年式,1.3 G,"102,000km",静岡県,manen
