model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
honda-n-van,N-VAN,root,root,0万km,0,0,11,50.5,176.5,132.8,142.0,98.6,156.0,176.5,2024年式 / +スタイル ファン ターボ  4WD / 0万km / 岡山県,2024年式,+スタイル ファン ターボ  4WD,0万km,岡山県,manen
honda-n-van,N-VAN,root,root,"1,000km",1000,1000,24,93.1,161.0,134.8,142.8,112.3,154.5,161.0,"2024年式 / ファン ターボ 4WD / 1,000km / 長野県",2024年式,ファン ターボ 4WD,"1,000km",長野県,manen
honda-n-van,N-VAN,root,root,"2,000km",2000,2000,11,68.1,168.5,135.1,145.5,130.5,153.5,168.5,"2025年式 / ファン ターボ 4WD / 2,000km / 千葉県",2025年式,ファン ターボ 4WD,"2,000km",千葉県,manen
honda-n-van,N-VAN,root,root,"3,000km",3000,3000,19,61.6,172.5,123.2,131.5,107.3,144.3,172.5,"2023年式 / +スタイル ファン ターボ  4WD / 3,000km / 秋田県",2023年式,+スタイル ファン ターボ  4WD,"3,000km",秋田県,manen
honda-n-van,N-VAN,root,root,"4,000km",4000,4000,10,68.4,155.9,123.0,130.2,95.1,145.2,155.9,"2023年式 / +スタイル ファン ターボ / 4,000km / 鳥取県",2023年式,+スタイル ファン ターボ,"4,000km",鳥取県,manen
honda-n-van,N-VAN,root,root,"5,000km",5000,5000,12,55.2,169.0,138.0,142.1,140.5,145.7,169.0,"2023年式 / ファン 4WD / 5,000km / 奈良県",2023年式,ファン 4WD,"5,000km",奈良県,manen
honda-n-van,N-VAN,root,root,"6,000km",6000,6000,13,65.6,168.0,121.6,130.3,96.8,145.5,168.0,"2022年式 / +スタイル ファン ターボ  4WD / 6,000km / 大阪府",2022年式,+スタイル ファン ターボ  4WD,"6,000km",大阪府,manen
honda-n-van,N-VAN,root,root,"7,000km",7000,7000,20,84.5,166.6,122.6,125.2,106.4,139.4,166.6,"2024年式 / ファン ターボ 4WD / 7,000km / 香川県",2024年式,ファン ターボ 4WD,"7,000km",香川県,manen
honda-n-van,N-VAN,root,root,"8,000km",8000,8000,11,80.3,160.4,112.2,103.1,91.5,144.2,160.4,"2024年式 / ファン ターボ 4WD / 8,000km / 島根県",2024年式,ファン ターボ 4WD,"8,000km",島根県,manen
honda-n-van,N-VAN,root,root,"9,000km",9000,9000,10,22.1,154.5,110.4,127.7,95.2,137.5,154.5,"2024年式 / ファン ターボ / 9,000km / 埼玉県",2024年式,ファン ターボ,"9,000km",埼玉県,manen
honda-n-van,N-VAN,root,root,1万km,10000,10000,15,88.5,163.6,130.8,136.5,124.0,143.5,163.6,2022年式 / +スタイル ファン ターボ  4WD / 1万km / 沖縄県,2022年式,+スタイル ファン ターボ  4WD,1万km,沖縄県,manen
honda-n-van,N-VAN,root,root,"11,000km",11000,11000,11,59.8,162.5,123.9,127.0,114.3,138.0,162.5,"2023年式 / +スタイル ファン ターボ  4WD / 11,000km / 香川県",2023年式,+スタイル ファン ターボ  4WD,"11,000km",香川県,manen
honda-n-van,N-VAN,root,root,"12,000km",12000,12000,9,74.8,166.5,135.7,145.3,137.0,161.0,166.5,"2021年式 / +スタイル ファン ターボ  4WD / 12,000km / 青森県",2021年式,+スタイル ファン ターボ  4WD,"12,000km",青森県,manen
honda-n-van,N-VAN,root,root,"13,000km",13000,13000,13,65.6,154.5,112.5,115.0,102.3,118.2,154.5,"2021年式 / +スタイル ファン ターボ / 13,000km / 東京都",2021年式,+スタイル ファン ターボ,"13,000km",東京都,manen
honda-n-van,N-VAN,root,root,"14,000km",14000,14000,9,99.5,163.1,134.9,140.0,123.3,145.5,163.1,"2023年式 / +スタイル ファン ターボ  4WD / 14,000km / 和歌山県",2023年式,+スタイル ファン ターボ  4WD,"14,000km",和歌山県,manen
honda-n-van,N-VAN,root,root,"15,000km",15000,15000,11,84.3,143.5,112.0,109.4,90.0,133.2,143.5,"2023年式 / +スタイル ファン ターボ / 15,000km / 福島県",2023年式,+スタイル ファン ターボ,"15,000km",福島県,manen
honda-n-van,N-VAN,root,root,"16,000km",16000,16000,10,72.0,145.7,114.8,120.4,77.9,139.5,145.7,"2021年式 / +スタイル ファン ターボ / 16,000km / 宮城県",2021年式,+スタイル ファン ターボ,"16,000km",宮城県,manen
honda-n-van,N-VAN,root,root,"17,000km",17000,17000,7,68.9,127.0,98.2,92.7,85.5,110.7,127.0,"2024年式 / ファン / 17,000km / 神奈川県",2024年式,ファン,"17,000km",神奈川県,manen
honda-n-van,N-VAN,root,root,"18,000km",18000,18000,13,61.8,149.5,109.2,117.6,98.6,121.0,149.5,"2020年式 / +スタイル ファン ターボ ホンダセンシング 4WD / 18,000km / 佐賀県",2020年式,+スタイル ファン ターボ ホンダセンシング 4WD,"18,000km",佐賀県,manen
honda-n-van,N-VAN,root,root,"19,000km",19000,19000,11,68.3,149.8,122.8,125.0,117.5,134.5,149.8,"2024年式 / +スタイル ファン ターボ  4WD / 19,000km / 愛媛県",2024年式,+スタイル ファン ターボ  4WD,"19,000km",愛媛県,manen
honda-n-van,N-VAN,root,root,2万km,20000,20000,6,63.3,136.9,97.4,92.1,80.0,119.8,136.9,2022年式 / ファン 4WD / 2万km / 長野県,2022年式,ファン 4WD,2万km,長野県,manen
honda-n-van,N-VAN,root,root,"21,000km",21000,21000,10,56.4,147.4,116.5,128.0,90.8,142.0,147.4,"2021年式 / +スタイル ファン ターボ ホンダセンシング 4WD / 21,000km / 岐阜県",2021年式,+スタイル ファン ターボ ホンダセンシング 4WD,"21,000km",岐阜県,manen
honda-n-van,N-VAN,root,root,"22,000km",22000,22000,9,78.4,155.6,112.9,121.4,93.1,124.7,155.6,"2022年式 / ファン ターボ / 22,000km / 岡山県",2022年式,ファン ターボ,"22,000km",岡山県,manen
honda-n-van,N-VAN,root,root,"23,000km",23000,23000,11,65.5,135.5,101.0,111.4,70.0,118.3,135.5,"2021年式 / +スタイル ファン ターボ  4WD / 23,000km / 和歌山県",2021年式,+スタイル ファン ターボ  4WD,"23,000km",和歌山県,manen
honda-n-van,N-VAN,root,root,"24,000km",24000,24000,16,60.2,183.0,101.8,88.2,87.5,125.5,183.0,"2022年式 / +スタイル ファン ターボ  4WD / 24,000km / 滋賀県",2022年式,+スタイル ファン ターボ  4WD,"24,000km",滋賀県,manen
honda-n-van,N-VAN,root,root,"25,000km",25000,25000,10,79.5,141.5,113.3,108.9,102.1,139.0,141.5,"2018年式 / +スタイル ファン ホンダセンシング 4WD / 25,000km / 大分県",2018年式,+スタイル ファン ホンダセンシング 4WD,"25,000km",大分県,manen
honda-n-van,N-VAN,root,root,"26,000km",26000,26000,14,44.0,135.7,105.6,109.0,96.5,131.5,135.7,"2021年式 / ファン ターボ 4WD / 26,000km / 山口県",2021年式,ファン ターボ 4WD,"26,000km",山口県,manen
honda-n-van,N-VAN,root,root,"27,000km",27000,27000,13,5.0,157.0,111.9,125.0,90.5,138.9,157.0,"2019年式 / +スタイル ファン ターボ / 27,000km / 滋賀県",2019年式,+スタイル ファン ターボ,"27,000km",滋賀県,manen
honda-n-van,N-VAN,root,root,"28,000km",28000,28000,9,83.0,146.7,112.3,114.0,108.5,121.5,146.7,"2022年式 / +スタイル ファン ターボ  4WD / 28,000km / 徳島県",2022年式,+スタイル ファン ターボ  4WD,"28,000km",徳島県,manen
honda-n-van,N-VAN,root,root,"29,000km",29000,29000,5,95.2,144.0,116.1,108.4,98.2,134.5,144.0,"2024年式 / ファン ターボ / 29,000km / 広島県",2024年式,ファン ターボ,"29,000km",広島県,manen
