model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
honda-n-wgn,N-WGN,root,root,0万km,0,0,4,104.0,122.5,112.2,111.2,104.0,118.4,122.5,2023年式 / L スタイルプラス ビター / 0万km / 徳島県,2023年式,L スタイルプラス ビター,0万km,徳島県,manen
honda-n-wgn,N-WGN,root,root,"1,000km",1000,1000,10,101.2,125.5,113.5,115.2,110.8,115.8,125.5,"2023年式 / L スタイルプラス ビター / 1,000km / 広島県",2023年式,L スタイルプラス ビター,"1,000km",広島県,manen
honda-n-wgn,N-WGN,root,root,"2,000km",2000,2000,10,76.9,127.0,114.8,120.0,110.5,124.8,127.0,"2024年式 / L 4WD / 2,000km / 山形県",2024年式,L 4WD,"2,000km",山形県,manen
honda-n-wgn,N-WGN,root,root,"3,000km",3000,3000,10,43.1,119.5,97.7,101.7,85.5,118.5,119.5,"2023年式 / L スタイルプラス ビター / 3,000km / 福島県",2023年式,L スタイルプラス ビター,"3,000km",福島県,manen
honda-n-wgn,N-WGN,root,root,"4,000km",4000,4000,8,8.4,114.0,83.6,92.8,75.0,98.3,114.0,"2023年式 / L スタイルプラス ビター / 4,000km / 徳島県",2023年式,L スタイルプラス ビター,"4,000km",徳島県,manen
honda-n-wgn,N-WGN,root,root,"5,000km",5000,5000,9,80.6,121.5,105.0,99.9,92.9,120.3,121.5,"2024年式 / L 4WD / 5,000km / 千葉県",2024年式,L 4WD,"5,000km",千葉県,manen
honda-n-wgn,N-WGN,root,root,"6,000km",6000,6000,11,5.0,121.3,90.2,103.7,74.2,107.3,121.3,"2023年式 / L スタイルプラス ビター 4WD / 6,000km / 山口県",2023年式,L スタイルプラス ビター 4WD,"6,000km",山口県,manen
honda-n-wgn,N-WGN,root,root,"7,000km",7000,7000,9,56.5,123.0,97.4,99.3,92.8,103.9,123.0,"2023年式 / L スタイルプラス ビター 4WD / 7,000km / 京都府",2023年式,L スタイルプラス ビター 4WD,"7,000km",京都府,manen
honda-n-wgn,N-WGN,root,root,"8,000km",8000,8000,11,64.8,109.4,85.5,81.5,71.5,100.8,109.4,"2023年式 / L / 8,000km / 東京都",2023年式,L,"8,000km",東京都,manen
honda-n-wgn,N-WGN,root,root,"9,000km",9000,9000,10,21.4,120.5,83.5,100.8,43.0,106.0,120.5,"2023年式 / G ホンダ センシング 4WD / 9,000km / 石川県",2023年式,G ホンダ センシング 4WD,"9,000km",石川県,manen
honda-n-wgn,N-WGN,root,root,1万km,10000,10000,5,38.4,117.9,91.7,100.0,90.7,111.6,117.9,2024年式 / L / 1万km / 宮城県,2024年式,L,1万km,宮城県,manen
honda-n-wgn,N-WGN,root,root,"11,000km",11000,11000,10,37.7,95.9,78.1,84.0,66.9,88.9,95.9,"2022年式 / L ホンダ センシング 4WD / 11,000km / 福岡県",2022年式,L ホンダ センシング 4WD,"11,000km",福岡県,manen
honda-n-wgn,N-WGN,root,root,"12,000km",12000,12000,11,28.6,120.9,69.3,64.6,55.5,79.3,120.9,"2024年式 / L 4WD / 12,000km / 鳥取県",2024年式,L 4WD,"12,000km",鳥取県,manen
honda-n-wgn,N-WGN,root,root,"13,000km",13000,13000,13,64.2,116.0,83.6,81.8,79.8,84.5,116.0,"2021年式 / L ホンダ センシング 4WD / 13,000km / 熊本県",2021年式,L ホンダ センシング 4WD,"13,000km",熊本県,manen
honda-n-wgn,N-WGN,root,root,"14,000km",14000,14000,11,27.7,114.0,92.3,94.2,89.5,110.0,114.0,"2024年式 / L 4WD / 14,000km / 鳥取県",2024年式,L 4WD,"14,000km",鳥取県,manen
honda-n-wgn,N-WGN,root,root,"15,000km",15000,15000,12,22.1,84.8,52.1,45.4,44.0,60.5,84.8,"2022年式 / L ホンダ センシング / 15,000km / 大分県",2022年式,L ホンダ センシング,"15,000km",大分県,manen
honda-n-wgn,N-WGN,root,root,"16,000km",16000,16000,12,20.5,115.2,78.5,78.2,67.0,99.6,115.2,"2022年式 / L スタイルプラス ビター / 16,000km / 福井県",2022年式,L スタイルプラス ビター,"16,000km",福井県,manen
honda-n-wgn,N-WGN,root,root,"17,000km",17000,17000,11,29.2,123.3,82.9,87.5,75.5,100.1,123.3,"2023年式 / L スタイルプラス ビター / 17,000km / 静岡県",2023年式,L スタイルプラス ビター,"17,000km",静岡県,manen
honda-n-wgn,N-WGN,root,root,"18,000km",18000,18000,13,25.7,107.5,75.8,74.9,71.0,91.5,107.5,"2021年式 / L ホンダ センシング / 18,000km / 岐阜県",2021年式,L ホンダ センシング,"18,000km",岐阜県,manen
honda-n-wgn,N-WGN,root,root,"19,000km",19000,19000,15,43.5,110.3,79.2,79.0,70.3,96.5,110.3,"2023年式 / L スタイルプラス ビター / 19,000km / 茨城県",2023年式,L スタイルプラス ビター,"19,000km",茨城県,manen
honda-n-wgn,N-WGN,root,root,2万km,20000,20000,16,20.5,90.5,60.2,58.9,44.2,82.4,90.5,2018年式 / G Lパッケージ 4WD / 2万km / 岐阜県,2018年式,G Lパッケージ 4WD,2万km,岐阜県,manen
honda-n-wgn,N-WGN,root,root,"21,000km",21000,21000,11,49.9,99.5,73.3,70.5,53.5,90.0,99.5,"2023年式 / L / 21,000km / 福井県",2023年式,L,"21,000km",福井県,manen
honda-n-wgn,N-WGN,root,root,"22,000km",22000,22000,5,23.1,100.0,65.3,66.1,61.3,75.8,100.0,"2021年式 / G ホンダ センシング 4WD / 22,000km / 兵庫県",2021年式,G ホンダ センシング 4WD,"22,000km",兵庫県,manen
honda-n-wgn,N-WGN,root,root,"23,000km",23000,23000,10,25.3,103.0,70.0,74.0,62.6,83.5,103.0,"2023年式 / L 4WD / 23,000km / 島根県",2023年式,L 4WD,"23,000km",島根県,manen
honda-n-wgn,N-WGN,root,root,"24,000km",24000,24000,10,29.4,115.5,75.9,73.8,56.1,95.0,115.5,"2022年式 / L ホンダ センシング 4WD / 24,000km / 神奈川県",2022年式,L ホンダ センシング 4WD,"24,000km",神奈川県,manen
honda-n-wgn,N-WGN,root,root,"25,000km",25000,25000,14,17.8,98.1,71.6,84.4,50.5,90.0,98.1,"2022年式 / L ホンダ センシング / 25,000km / 三重県",2022年式,L ホンダ センシング,"25,000km",三重県,manen
