model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
honda-nsx,NSX,,2020,2020年式,root,root,1,644.5,644.5,644.5,644.5,644.5,644.5,644.5,"2020年式 / 3.0 / 51,000km / 愛知県",2020年式,3.0,"51,000km",愛知県,manen
honda-nsx,NSX,,2018,2018年式,root,root,3,1665.0,2085.1,1937.4,2062.0,1665.0,2085.1,2085.1,"2018年式 / 3.5 4WD / 5,000km / 兵庫県",2018年式,3.5 4WD,"5,000km",兵庫県,manen
honda-nsx,NSX,,2017,2017年式,root,root,2,1594.5,2222.5,1908.5,1908.5,1594.5,2222.5,2222.5,"2017年式 / 3.5 4WD / 6,000km / 東京都",2017年式,3.5 4WD,"6,000km",東京都,manen
honda-nsx,NSX,,2016,2016年式,root,root,3,1745.3,2100.0,1863.5,1745.3,1745.3,2100.0,2100.0,"2016年式 / 3.5 4WD / 1,000km / 東京都",2016年式,3.5 4WD,"1,000km",東京都,manen
honda-nsx,NSX,,2004,2004年式,root,root,1,1750.5,1750.5,1750.5,1750.5,1750.5,1750.5,1750.5,"2004年式 / 3.0 タイプT / 2,000km / 山口県",2004年式,3.0 タイプT,"2,000km",山口県,manen
honda-nsx,NSX,,2003,2003年式,root,root,1,2286.2,2286.2,2286.2,2286.2,2286.2,2286.2,2286.2,"2003年式 / 3.2 タイプS / 41,000km / 北海道",2003年式,3.2 タイプS,"41,000km",北海道,manen
honda-nsx,NSX,,2002,2002年式,root,root,2,1601.0,2424.0,2012.5,2012.5,1601.0,2424.0,2424.0,"2002年式 / 3.2 タイプT / 31,000km / 山形県",2002年式,3.2 タイプT,"31,000km",山形県,manen
honda-nsx,NSX,,2001,2001年式,root,root,1,1080.5,1080.5,1080.5,1080.5,1080.5,1080.5,1080.5,"2001年式 / 3.2 タイプT / 34,000km / 大分県",2001年式,3.2 タイプT,"34,000km",大分県,manen
honda-nsx,NSX,,2000,2000年式,root,root,2,780.0,800.5,790.2,790.2,780.0,800.5,800.5,"2000年式 / 3.0 タイプT / 81,000km / 徳島県",2000年式,3.0 タイプT,"81,000km",徳島県,manen
honda-nsx,NSX,,1999,1999年式,root,root,1,630.0,630.0,630.0,630.0,630.0,630.0,630.0,"1999年式 / 3.0 タイプT / 76,000km / 大阪府",1999年式,3.0 タイプT,"76,000km",大阪府,manen
honda-nsx,NSX,,1998,1998年式,root,root,2,901.0,953.0,927.0,927.0,901.0,953.0,953.0,"1998年式 / 3.0 タイプT / 73,000km / 岡山県",1998年式,3.0 タイプT,"73,000km",岡山県,manen
honda-nsx,NSX,,1997,1997年式,root,root,2,80.2,2701.0,1390.6,1390.6,80.2,2701.0,2701.0,"1997年式 / 3.2 タイプS / 34,000km / 福島県",1997年式,3.2 タイプS,"34,000km",福島県,manen
honda-nsx,NSX,,1996,1996年式,root,root,8,696.5,1701.0,1204.4,1263.0,1058.5,1364.0,1701.0,"1996年式 / 3.0 タイプT / 54,000km / 東京都",1996年式,3.0 タイプT,"54,000km",東京都,manen
honda-nsx,NSX,,1995,1995年式,root,root,7,506.5,1225.4,858.1,771.0,760.5,1001.0,1225.4,"1995年式 / 3.0 / 86,000km / 新潟県",1995年式,3.0,"86,000km",新潟県,manen
honda-nsx,NSX,,1994,1994年式,root,root,2,833.5,1991.0,1412.2,1412.2,833.5,1991.0,1991.0,"1994年式 / 3.0 タイプT / 13,000km / 佐賀県",1994年式,3.0 タイプT,"13,000km",佐賀県,manen
honda-nsx,NSX,,1992,1992年式,root,root,1,1467.5,1467.5,1467.5,1467.5,1467.5,1467.5,1467.5,"1992年式 / 3.0 / 93,000km / 神奈川県",1992年式,3.0,"93,000km",神奈川県,manen
honda-nsx,NSX,,1991,1991年式,root,root,3,434.2,1067.0,728.3,683.6,434.2,1067.0,1067.0,"1991年式 / 3.0 タイプT / 48,000km / 広島県",1991年式,3.0 タイプT,"48,000km",広島県,manen
honda-nsx,NSX,,1990,1990年式,root,root,1,933.0,933.0,933.0,933.0,933.0,933.0,933.0,"1990年式 / 3.0 タイプT / 55,000km / 山口県",1990年式,3.0 タイプT,"55,000km",山口県,manen
