model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
honda-prelude,プレリュード,root,root,0万km,0,0,6,12.2,24.5,16.2,13.8,12.8,20.2,24.5,1994年式 / 2.2 Si / 0万km / 高知県,1994年式,2.2 Si,0万km,高知県,manen
honda-prelude,プレリュード,root,root,"5,000km",5000,5000,1,63.0,63.0,63.0,63.0,63.0,63.0,63.0,"1997年式 / 2.2 SiR / 5,000km / 島根県",1997年式,2.2 SiR,"5,000km",島根県,manen
honda-prelude,プレリュード,root,root,"6,000km",6000,6000,1,76.0,76.0,76.0,76.0,76.0,76.0,76.0,"1998年式 / 2.2 SiR Sスペック / 6,000km / 福岡県",1998年式,2.2 SiR Sスペック,"6,000km",福岡県,manen
honda-prelude,プレリュード,root,root,1万km,10000,10000,1,64.0,64.0,64.0,64.0,64.0,64.0,64.0,1997年式 / 2.2 SiR / 1万km / 東京都,1997年式,2.2 SiR,1万km,東京都,manen
honda-prelude,プレリュード,root,root,"14,000km",14000,14000,1,25.5,25.5,25.5,25.5,25.5,25.5,25.5,"1997年式 / 2.2 Xi / 14,000km / 福島県",1997年式,2.2 Xi,"14,000km",福島県,manen
honda-prelude,プレリュード,root,root,"15,000km",15000,15000,1,118.0,118.0,118.0,118.0,118.0,118.0,118.0,"1996年式 / 2.2 スポーツステージ R / 15,000km / 鹿児島県",1996年式,2.2 スポーツステージ R,"15,000km",鹿児島県,manen
honda-prelude,プレリュード,root,root,"22,000km",22000,22000,3,15.3,107.5,47.4,19.5,15.3,107.5,107.5,"1996年式 / 2.2 タイプS / 22,000km / 静岡県",1996年式,2.2 タイプS,"22,000km",静岡県,manen
honda-prelude,プレリュード,root,root,"24,000km",24000,24000,3,48.0,106.8,83.6,96.0,48.0,106.8,106.8,"1991年式 / 2.0 Si TCV 4WS / 24,000km / 山梨県",1991年式,2.0 Si TCV 4WS,"24,000km",山梨県,manen
honda-prelude,プレリュード,root,root,"25,000km",25000,25000,1,98.5,98.5,98.5,98.5,98.5,98.5,98.5,"1992年式 / 2.2 Si / 25,000km / 岐阜県",1992年式,2.2 Si,"25,000km",岐阜県,manen
honda-prelude,プレリュード,root,root,"27,000km",27000,27000,2,23.7,30.0,26.9,26.9,23.7,30.0,30.0,"1996年式 / 2.2 SiR / 27,000km / 石川県",1996年式,2.2 SiR,"27,000km",石川県,manen
honda-prelude,プレリュード,root,root,"28,000km",28000,28000,3,5.0,86.5,39.9,28.3,5.0,86.5,86.5,"1998年式 / 2.2 SiR Sスペック / 28,000km / 大阪府",1998年式,2.2 SiR Sスペック,"28,000km",大阪府,manen
honda-prelude,プレリュード,root,root,3万km,30000,30000,2,10.8,20.7,15.8,15.8,10.8,20.7,20.7,1991年式 / 2.2 Si / 3万km / 大分県,1991年式,2.2 Si,3万km,大分県,manen
honda-prelude,プレリュード,root,root,"31,000km",31000,31000,1,118.0,118.0,118.0,118.0,118.0,118.0,118.0,"1990年式 / 2.0 XX / 31,000km / 富山県",1990年式,2.0 XX,"31,000km",富山県,manen
honda-prelude,プレリュード,root,root,"32,000km",32000,32000,1,52.7,52.7,52.7,52.7,52.7,52.7,52.7,"1999年式 / 2.2 SiR / 32,000km / 東京都",1999年式,2.2 SiR,"32,000km",東京都,manen
honda-prelude,プレリュード,root,root,"34,000km",34000,34000,1,95.2,95.2,95.2,95.2,95.2,95.2,95.2,"1989年式 / 2.0 Si / 34,000km / 神奈川県",1989年式,2.0 Si,"34,000km",神奈川県,manen
honda-prelude,プレリュード,root,root,"35,000km",35000,35000,4,30.6,38.5,33.6,32.7,31.2,34.2,38.5,"1996年式 / 2.2 SiR / 35,000km / 高知県",1996年式,2.2 SiR,"35,000km",高知県,manen
honda-prelude,プレリュード,root,root,"37,000km",37000,37000,2,18.5,20.8,19.6,19.6,18.5,20.8,20.8,"1996年式 / 2.2 Si / 37,000km / 徳島県",1996年式,2.2 Si,"37,000km",徳島県,manen
honda-prelude,プレリュード,root,root,"39,000km",39000,39000,2,31.6,46.0,38.8,38.8,31.6,46.0,46.0,"1991年式 / 2.2 Si / 39,000km / 静岡県",1991年式,2.2 Si,"39,000km",静岡県,manen
honda-prelude,プレリュード,root,root,4万km,40000,40000,2,51.5,67.5,59.5,59.5,51.5,67.5,67.5,1996年式 / 2.2 SiR / 4万km / 長野県,1996年式,2.2 SiR,4万km,長野県,manen
honda-prelude,プレリュード,root,root,"43,000km",43000,43000,1,76.5,76.5,76.5,76.5,76.5,76.5,76.5,"1997年式 / 2.2 SiR / 43,000km / 福島県",1997年式,2.2 SiR,"43,000km",福島県,manen
honda-prelude,プレリュード,root,root,"44,000km",44000,44000,3,10.8,63.5,41.9,51.3,10.8,63.5,63.5,"1998年式 / 2.2 SiR / 44,000km / 秋田県",1998年式,2.2 SiR,"44,000km",秋田県,manen
honda-prelude,プレリュード,root,root,"45,000km",45000,45000,2,16.5,40.5,28.5,28.5,16.5,40.5,40.5,"1996年式 / 2.2 SiR / 45,000km / 福井県",1996年式,2.2 SiR,"45,000km",福井県,manen
honda-prelude,プレリュード,root,root,"46,000km",46000,46000,1,35.4,35.4,35.4,35.4,35.4,35.4,35.4,"1988年式 / 2.0 XX / 46,000km / 栃木県",1988年式,2.0 XX,"46,000km",栃木県,manen
honda-prelude,プレリュード,root,root,"47,000km",47000,47000,2,83.9,133.0,108.5,108.5,83.9,133.0,133.0,"1988年式 / 2.0 Si / 47,000km / 宮崎県",1988年式,2.0 Si,"47,000km",宮崎県,manen
honda-prelude,プレリュード,root,root,"51,000km",51000,51000,3,20.0,60.5,43.2,49.0,20.0,60.5,60.5,"1997年式 / 2.2 SiR / 51,000km / 大分県",1997年式,2.2 SiR,"51,000km",大分県,manen
honda-prelude,プレリュード,root,root,"52,000km",52000,52000,1,21.0,21.0,21.0,21.0,21.0,21.0,21.0,"1999年式 / 2.2 SiR / 52,000km / 熊本県",1999年式,2.2 SiR,"52,000km",熊本県,manen
honda-prelude,プレリュード,root,root,"53,000km",53000,53000,6,5.0,51.7,32.3,38.5,13.6,46.5,51.7,"1996年式 / 2.2 タイプS / 53,000km / 神奈川県",1996年式,2.2 タイプS,"53,000km",神奈川県,manen
honda-prelude,プレリュード,root,root,"54,000km",54000,54000,1,59.0,59.0,59.0,59.0,59.0,59.0,59.0,"1989年式 / 2.0 Si / 54,000km / 岡山県",1989年式,2.0 Si,"54,000km",岡山県,manen
honda-prelude,プレリュード,root,root,"55,000km",55000,55000,2,31.4,49.8,40.6,40.6,31.4,49.8,49.8,"1999年式 / 2.2 SiR / 55,000km / 長崎県",1999年式,2.2 SiR,"55,000km",長崎県,manen
honda-prelude,プレリュード,root,root,"56,000km",56000,56000,5,13.7,47.7,34.0,31.2,29.7,47.7,47.7,"1997年式 / 2.2 タイプS / 56,000km / 岐阜県",1997年式,2.2 タイプS,"56,000km",岐阜県,manen
honda-prelude,プレリュード,root,root,"57,000km",57000,57000,4,8.4,14.3,11.0,10.7,9.0,12.4,14.3,"1996年式 / 2.2 SiR / 57,000km / 和歌山県",1996年式,2.2 SiR,"57,000km",和歌山県,manen
honda-prelude,プレリュード,root,root,"58,000km",58000,58000,7,9.9,42.5,24.9,20.4,20.4,28.7,42.5,"1997年式 / 2.2 SiR 4WS / 58,000km / 東京都",1997年式,2.2 SiR 4WS,"58,000km",東京都,manen
honda-prelude,プレリュード,root,root,"59,000km",59000,59000,5,10.5,21.8,16.0,18.5,10.5,18.8,21.8,"1992年式 / 2.2 Si / 59,000km / 山形県",1992年式,2.2 Si,"59,000km",山形県,manen
honda-prelude,プレリュード,root,root,6万km,60000,60000,3,19.4,51.6,36.7,39.1,19.4,51.6,51.6,1992年式 / 2.2 Si / 6万km / 山形県,1992年式,2.2 Si,6万km,山形県,manen
honda-prelude,プレリュード,root,root,"61,000km",61000,61000,5,23.5,40.1,31.2,29.0,23.5,40.1,40.1,"1996年式 / 2.2 SiR / 61,000km / 東京都",1996年式,2.2 SiR,"61,000km",東京都,manen
honda-prelude,プレリュード,root,root,"62,000km",62000,62000,1,58.5,58.5,58.5,58.5,58.5,58.5,58.5,"1996年式 / 2.2 タイプS / 62,000km / 高知県",1996年式,2.2 タイプS,"62,000km",高知県,manen
honda-prelude,プレリュード,root,root,"63,000km",63000,63000,3,30.0,65.0,49.3,52.8,30.0,65.0,65.0,"1994年式 / 2.2 Si / 63,000km / 岩手県",1994年式,2.2 Si,"63,000km",岩手県,manen
honda-prelude,プレリュード,root,root,"64,000km",64000,64000,4,12.3,61.5,34.2,31.5,25.4,37.6,61.5,"1998年式 / 2.2 SiR Sスペック / 64,000km / 山形県",1998年式,2.2 SiR Sスペック,"64,000km",山形県,manen
honda-prelude,プレリュード,root,root,"65,000km",65000,65000,4,29.6,86.6,56.3,54.5,54.5,54.5,86.6,"1996年式 / 2.2 SiR タイプS / 65,000km / 茨城県",1996年式,2.2 SiR タイプS,"65,000km",茨城県,manen
honda-prelude,プレリュード,root,root,"66,000km",66000,66000,4,24.8,63.5,51.1,58.0,58.0,58.0,63.5,"1992年式 / 2.2 Si / 66,000km / 岩手県",1992年式,2.2 Si,"66,000km",岩手県,manen
honda-prelude,プレリュード,root,root,"67,000km",67000,67000,3,46.5,57.9,50.3,46.5,46.5,57.9,57.9,"1993年式 / 2.2 Si / 67,000km / 広島県",1993年式,2.2 Si,"67,000km",広島県,manen
honda-prelude,プレリュード,root,root,"68,000km",68000,68000,2,12.9,30.0,21.4,21.4,12.9,30.0,30.0,"2000年式 / 2.0 Si / 68,000km / 大阪府",2000年式,2.0 Si,"68,000km",大阪府,manen
honda-prelude,プレリュード,root,root,"69,000km",69000,69000,3,13.4,51.9,33.6,35.5,13.4,51.9,51.9,"1999年式 / 2.2 SiR / 69,000km / 山形県",1999年式,2.2 SiR,"69,000km",山形県,manen
honda-prelude,プレリュード,root,root,7万km,70000,70000,5,11.6,45.0,21.5,16.0,15.0,20.0,45.0,1999年式 / 2.2 SiR / 7万km / 奈良県,1999年式,2.2 SiR,7万km,奈良県,manen
honda-prelude,プレリュード,root,root,"71,000km",71000,71000,2,13.5,59.0,36.2,36.2,13.5,59.0,59.0,"1997年式 / 2.2 SiR / 71,000km / 滋賀県",1997年式,2.2 SiR,"71,000km",滋賀県,manen
honda-prelude,プレリュード,root,root,"72,000km",72000,72000,1,87.6,87.6,87.6,87.6,87.6,87.6,87.6,"1995年式 / 2.2 Si VTEC スポーツステージ / 72,000km / 長崎県",1995年式,2.2 Si VTEC スポーツステージ,"72,000km",長崎県,manen
honda-prelude,プレリュード,root,root,"73,000km",73000,73000,5,10.1,78.1,45.4,50.0,16.9,72.0,78.1,"1998年式 / 2.2 SiR / 73,000km / 岡山県",1998年式,2.2 SiR,"73,000km",岡山県,manen
honda-prelude,プレリュード,root,root,"74,000km",74000,74000,3,60.0,76.5,70.7,75.5,60.0,76.5,76.5,"1999年式 / 2.2 SiR / 74,000km / 山梨県",1999年式,2.2 SiR,"74,000km",山梨県,manen
honda-prelude,プレリュード,root,root,"75,000km",75000,75000,2,5.4,13.3,9.3,9.3,5.4,13.3,13.3,"1995年式 / 2.2 SiR / 75,000km / 和歌山県",1995年式,2.2 SiR,"75,000km",和歌山県,manen
honda-prelude,プレリュード,root,root,"77,000km",77000,77000,3,30.3,48.6,41.8,46.5,30.3,48.6,48.6,"1996年式 / 2.2 タイプS / 77,000km / 宮崎県",1996年式,2.2 タイプS,"77,000km",宮崎県,manen
honda-prelude,プレリュード,root,root,"78,000km",78000,78000,6,12.3,98.0,31.2,18.8,15.2,24.3,98.0,"1996年式 / 2.2 SiR タイプS / 78,000km / 福島県",1996年式,2.2 SiR タイプS,"78,000km",福島県,manen
honda-prelude,プレリュード,root,root,"79,000km",79000,79000,3,51.0,69.0,57.0,51.0,51.0,69.0,69.0,"1999年式 / 2.2 SiR / 79,000km / 和歌山県",1999年式,2.2 SiR,"79,000km",和歌山県,manen
honda-prelude,プレリュード,root,root,8万km,80000,80000,4,42.7,130.0,76.5,66.7,49.9,83.4,130.0,1987年式 / 2.0 Si / 8万km / 岡山県,1987年式,2.0 Si,8万km,岡山県,manen
