model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
honda-stream,ストリーム,,2015,2015年式,root,root,1,57.0,57.0,57.0,57.0,57.0,57.0,57.0,"2015年式 / 1.8 RSZ / 99,000km / 富山県",2015年式,1.8 RSZ,"99,000km",富山県,manen
honda-stream,ストリーム,,2014,2014年式,root,root,26,13.4,61.0,43.8,49.8,27.1,55.3,61.0,"2014年式 / 1.8 RSZ / 138,000km / 秋田県",2014年式,1.8 RSZ,"138,000km",秋田県,manen
honda-stream,ストリーム,,2013,2013年式,root,root,82,5.0,71.3,38.8,38.7,24.1,51.0,71.3,2013年式 / 1.8 RSZ 4WD / 8万km / 岡山県,2013年式,1.8 RSZ 4WD,8万km,岡山県,manen
honda-stream,ストリーム,,2012,2012年式,root,root,123,5.0,70.9,31.9,29.8,18.4,43.5,70.9,"2012年式 / 1.8 RSZ Sパッケージ / 83,000km / 秋田県",2012年式,1.8 RSZ Sパッケージ,"83,000km",秋田県,manen
honda-stream,ストリーム,,2011,2011年式,root,root,131,5.0,71.4,27.7,23.2,15.9,36.6,71.4,"2011年式 / 1.8 RSZ HDDナビパッケージ / 49,000km / 富山県",2011年式,1.8 RSZ HDDナビパッケージ,"49,000km",富山県,manen
honda-stream,ストリーム,,2010,2010年式,root,root,141,5.0,71.2,24.7,21.3,16.2,30.6,71.2,"2010年式 / 1.8 RSZ HDDナビパッケージ / 86,000km / 千葉県",2010年式,1.8 RSZ HDDナビパッケージ,"86,000km",千葉県,manen
honda-stream,ストリーム,,2009,2009年式,root,root,115,5.0,54.2,20.1,17.1,10.0,26.1,54.2,"2009年式 / 1.8 RSZ HDDナビパッケージ / 39,000km / 岐阜県",2009年式,1.8 RSZ HDDナビパッケージ,"39,000km",岐阜県,manen
honda-stream,ストリーム,,2008,2008年式,root,root,69,5.0,57.0,14.1,11.5,9.3,18.4,57.0,"2008年式 / 1.8 RSZ HDDナビパッケージ / 95,000km / 山口県",2008年式,1.8 RSZ HDDナビパッケージ,"95,000km",山口県,manen
honda-stream,ストリーム,,2007,2007年式,root,root,56,5.0,25.5,11.5,10.0,9.1,14.2,25.5,"2007年式 / 2.0 RSZ / 44,000km / 熊本県",2007年式,2.0 RSZ,"44,000km",熊本県,manen
honda-stream,ストリーム,,2006,2006年式,root,root,49,5.0,27.7,13.9,15.3,10.0,18.3,27.7,2006年式 / 1.8 X スタイルエディション / 7万km / 岩手県,2006年式,1.8 X スタイルエディション,7万km,岩手県,manen
honda-stream,ストリーム,,2005,2005年式,root,root,20,5.0,22.5,17.1,18.1,16.2,18.7,22.5,"2005年式 / 1.7 アブソルート HDDナビエディション / 19,000km / 佐賀県",2005年式,1.7 アブソルート HDDナビエディション,"19,000km",佐賀県,manen
honda-stream,ストリーム,,2004,2004年式,root,root,28,2.0,21.3,16.1,16.6,15.3,18.3,21.3,"2004年式 / 1.7 S Sパッケージ 4WD / 143,000km / 山梨県",2004年式,1.7 S Sパッケージ 4WD,"143,000km",山梨県,manen
honda-stream,ストリーム,,2003,2003年式,root,root,46,5.0,22.7,16.5,16.8,15.6,19.2,22.7,"2003年式 / 1.7 L スタイルA / 63,000km / 秋田県",2003年式,1.7 L スタイルA,"63,000km",秋田県,manen
honda-stream,ストリーム,,2002,2002年式,root,root,53,5.0,22.6,15.2,15.9,12.8,17.9,22.6,"2002年式 / 1.7 L スタイルS / 83,000km / 福岡県",2002年式,1.7 L スタイルS,"83,000km",福岡県,manen
honda-stream,ストリーム,,2001,2001年式,root,root,38,5.0,28.2,15.3,14.4,12.6,17.3,28.2,"2001年式 / 1.7 L Sパッケージ 4WD / 118,000km / 鹿児島県",2001年式,1.7 L Sパッケージ 4WD,"118,000km",鹿児島県,manen
honda-stream,ストリーム,,2000,2000年式,root,root,19,10.8,20.2,15.7,15.3,13.0,18.3,20.2,"2000年式 / 1.7 L Sパッケージ / 183,000km / 宮崎県",2000年式,1.7 L Sパッケージ,"183,000km",宮崎県,manen
honda-stream,ストリーム,,1992,1992年式,root,root,1,17.2,17.2,17.2,17.2,17.2,17.2,17.2,"1992年式 / 1.7 L / 194,000km / 広島県",1992年式,1.7 L,"194,000km",広島県,manen
honda-stream,ストリーム,,1991,1991年式,root,root,2,13.5,13.8,13.7,13.7,13.5,13.8,13.8,"1991年式 / 2.0 iS / 79,000km / 山口県",1991年式,2.0 iS,"79,000km",山口県,manen
