model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mazda-atenza-sedan,アテンザセダン,root,root,"8,000km",8000,8000,1,74.9,74.9,74.9,74.9,74.9,74.9,74.9,"2014年式 / 2.0 20S / 8,000km / 愛知県",2014年式,2.0 20S,"8,000km",愛知県,manen
mazda-atenza-sedan,アテンザセダン,root,root,"11,000km",11000,11000,1,24.9,24.9,24.9,24.9,24.9,24.9,24.9,"2009年式 / 2.0 スタイルエディション / 11,000km / 静岡県",2009年式,2.0 スタイルエディション,"11,000km",静岡県,manen
mazda-atenza-sedan,アテンザセダン,root,root,"15,000km",15000,15000,1,148.3,148.3,148.3,148.3,148.3,148.3,148.3,"2018年式 / 2.2 XD Lパッケージ / 15,000km / 鹿児島県",2018年式,2.2 XD Lパッケージ,"15,000km",鹿児島県,manen
mazda-atenza-sedan,アテンザセダン,root,root,"16,000km",16000,16000,5,28.0,151.8,94.5,97.0,80.5,115.3,151.8,"2016年式 / 2.2 XD Lパッケージ 4WD / 16,000km / 埼玉県",2016年式,2.2 XD Lパッケージ 4WD,"16,000km",埼玉県,manen
mazda-atenza-sedan,アテンザセダン,root,root,"17,000km",17000,17000,1,53.7,53.7,53.7,53.7,53.7,53.7,53.7,"2013年式 / 2.2 XD Lパッケージ / 17,000km / 埼玉県",2013年式,2.2 XD Lパッケージ,"17,000km",埼玉県,manen
mazda-atenza-sedan,アテンザセダン,root,root,"18,000km",18000,18000,2,63.1,89.2,76.2,76.2,63.1,89.2,89.2,"2016年式 / 2.5 25S Lパッケージ / 18,000km / 佐賀県",2016年式,2.5 25S Lパッケージ,"18,000km",佐賀県,manen
mazda-atenza-sedan,アテンザセダン,root,root,2万km,20000,20000,1,51.3,51.3,51.3,51.3,51.3,51.3,51.3,2013年式 / 2.2 XD Lパッケージ / 2万km / 広島県,2013年式,2.2 XD Lパッケージ,2万km,広島県,manen
mazda-atenza-sedan,アテンザセダン,root,root,"21,000km",21000,21000,5,15.7,138.6,93.3,104.9,77.5,130.0,138.6,"2019年式 / 2.0 20S / 21,000km / 東京都",2019年式,2.0 20S,"21,000km",東京都,manen
mazda-atenza-sedan,アテンザセダン,root,root,"22,000km",22000,22000,2,52.2,53.8,53.0,53.0,52.2,53.8,53.8,"2014年式 / 2.2 XD / 22,000km / 香川県",2014年式,2.2 XD,"22,000km",香川県,manen
mazda-atenza-sedan,アテンザセダン,root,root,"23,000km",23000,23000,5,93.5,151.2,120.1,114.8,100.0,141.0,151.2,"2019年式 / 2.2 XD Lパッケージ / 23,000km / 神奈川県",2019年式,2.2 XD Lパッケージ,"23,000km",神奈川県,manen
mazda-atenza-sedan,アテンザセダン,root,root,"24,000km",24000,24000,2,57.3,68.0,62.6,62.6,57.3,68.0,68.0,"2017年式 / 2.5 25S Lパッケージ / 24,000km / 徳島県",2017年式,2.5 25S Lパッケージ,"24,000km",徳島県,manen
mazda-atenza-sedan,アテンザセダン,root,root,"25,000km",25000,25000,2,20.4,92.5,56.5,56.5,20.4,92.5,92.5,"2016年式 / 2.5 25S Lパッケージ / 25,000km / 秋田県",2016年式,2.5 25S Lパッケージ,"25,000km",秋田県,manen
mazda-atenza-sedan,アテンザセダン,root,root,"26,000km",26000,26000,3,110.1,150.0,129.2,127.5,110.1,150.0,150.0,"2019年式 / 2.2 XD Lパッケージ / 26,000km / 大阪府",2019年式,2.2 XD Lパッケージ,"26,000km",大阪府,manen
mazda-atenza-sedan,アテンザセダン,root,root,"27,000km",27000,27000,3,48.4,113.2,71.4,52.6,48.4,113.2,113.2,"2016年式 / 2.5 25S Lパッケージ / 27,000km / 三重県",2016年式,2.5 25S Lパッケージ,"27,000km",三重県,manen
mazda-atenza-sedan,アテンザセダン,root,root,"28,000km",28000,28000,3,98.0,147.0,122.2,121.5,98.0,147.0,147.0,"2018年式 / 2.2 XD Lパッケージ / 28,000km / 長崎県",2018年式,2.2 XD Lパッケージ,"28,000km",長崎県,manen
mazda-atenza-sedan,アテンザセダン,root,root,"29,000km",29000,29000,2,20.3,95.5,57.9,57.9,20.3,95.5,95.5,"2018年式 / 2.2 XD プロアクティブ / 29,000km / 東京都",2018年式,2.2 XD プロアクティブ,"29,000km",東京都,manen
mazda-atenza-sedan,アテンザセダン,root,root,3万km,30000,30000,4,73.0,155.0,98.7,83.5,79.2,87.7,155.0,2018年式 / 2.2 XD Lパッケージ / 3万km / 東京都,2018年式,2.2 XD Lパッケージ,3万km,東京都,manen
mazda-atenza-sedan,アテンザセダン,root,root,"31,000km",31000,31000,7,12.3,146.0,88.9,97.5,73.0,126.0,146.0,"2019年式 / 2.0 20S / 31,000km / 東京都",2019年式,2.0 20S,"31,000km",東京都,manen
mazda-atenza-sedan,アテンザセダン,root,root,"32,000km",32000,32000,5,28.5,130.1,97.7,111.0,90.4,128.4,130.1,"2018年式 / 2.5 25S Lパッケージ / 32,000km / 石川県",2018年式,2.5 25S Lパッケージ,"32,000km",石川県,manen
