model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mazda-atenza-sport-wagon,アテンザスポーツワゴン,root,root,0万km,0,0,1,24.3,24.3,24.3,24.3,24.3,24.3,24.3,2010年式 / 2.0 20S / 0万km / 栃木県,2010年式,2.0 20S,0万km,栃木県,manen
mazda-atenza-sport-wagon,アテンザスポーツワゴン,root,root,"6,000km",6000,6000,2,5.0,24.9,14.9,14.9,5.0,24.9,24.9,"2011年式 / 2.5 25S / 6,000km / 鳥取県",2011年式,2.5 25S,"6,000km",鳥取県,manen
mazda-atenza-sport-wagon,アテンザスポーツワゴン,root,root,"9,000km",9000,9000,1,12.4,12.4,12.4,12.4,12.4,12.4,12.4,"2003年式 / 2.3 23S レザーリミテッド / 9,000km / 熊本県",2003年式,2.3 23S レザーリミテッド,"9,000km",熊本県,manen
mazda-atenza-sport-wagon,アテンザスポーツワゴン,root,root,1万km,10000,10000,1,45.7,45.7,45.7,45.7,45.7,45.7,45.7,2011年式 / 2.5 25S / 1万km / 大阪府,2011年式,2.5 25S,1万km,大阪府,manen
mazda-atenza-sport-wagon,アテンザスポーツワゴン,root,root,"13,000km",13000,13000,1,28.0,28.0,28.0,28.0,28.0,28.0,28.0,"2010年式 / 2.0 20C / 13,000km / 千葉県",2010年式,2.0 20C,"13,000km",千葉県,manen
mazda-atenza-sport-wagon,アテンザスポーツワゴン,root,root,"17,000km",17000,17000,1,33.6,33.6,33.6,33.6,33.6,33.6,33.6,"2009年式 / 2.5 25S / 17,000km / 石川県",2009年式,2.5 25S,"17,000km",石川県,manen
mazda-atenza-sport-wagon,アテンザスポーツワゴン,root,root,"19,000km",19000,19000,1,30.5,30.5,30.5,30.5,30.5,30.5,30.5,"2011年式 / 2.0 20S / 19,000km / 佐賀県",2011年式,2.0 20S,"19,000km",佐賀県,manen
mazda-atenza-sport-wagon,アテンザスポーツワゴン,root,root,2万km,20000,20000,1,36.0,36.0,36.0,36.0,36.0,36.0,36.0,2011年式 / 2.0 20S / 2万km / 兵庫県,2011年式,2.0 20S,2万km,兵庫県,manen
mazda-atenza-sport-wagon,アテンザスポーツワゴン,root,root,"21,000km",21000,21000,1,49.3,49.3,49.3,49.3,49.3,49.3,49.3,"2007年式 / 2.5 25S / 21,000km / 静岡県",2007年式,2.5 25S,"21,000km",静岡県,manen
mazda-atenza-sport-wagon,アテンザスポーツワゴン,root,root,"22,000km",22000,22000,1,52.7,52.7,52.7,52.7,52.7,52.7,52.7,"2009年式 / 2.0 20S / 22,000km / 熊本県",2009年式,2.0 20S,"22,000km",熊本県,manen
mazda-atenza-sport-wagon,アテンザスポーツワゴン,root,root,"23,000km",23000,23000,2,28.4,47.2,37.8,37.8,28.4,47.2,47.2,"2009年式 / 2.5 25S / 23,000km / 岡山県",2009年式,2.5 25S,"23,000km",岡山県,manen
mazda-atenza-sport-wagon,アテンザスポーツワゴン,root,root,"25,000km",25000,25000,1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,"2006年式 / 2.0 20C / 25,000km / 神奈川県",2006年式,2.0 20C,"25,000km",神奈川県,manen
