model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mazda-atenza-wagon,アテンザワゴン,,2019,2019年式,root,root,46,7.1,171.0,121.7,126.8,109.0,148.0,171.0,"2019年式 / 2.5 25S Lパッケージ / 25,000km / 茨城県",2019年式,2.5 25S Lパッケージ,"25,000km",茨城県,manen
mazda-atenza-wagon,アテンザワゴン,,2018,2018年式,root,root,96,11.5,176.5,112.6,120.0,87.4,144.5,176.5,"2018年式 / 2.2 XD Lパッケージ 4WD / 38,000km / 石川県",2018年式,2.2 XD Lパッケージ 4WD,"38,000km",石川県,manen
mazda-atenza-wagon,アテンザワゴン,,2017,2017年式,root,root,111,20.5,161.5,79.8,77.0,49.7,108.5,161.5,"2017年式 / 2.2 XD Lパッケージ / 41,000km / 滋賀県",2017年式,2.2 XD Lパッケージ,"41,000km",滋賀県,manen
mazda-atenza-wagon,アテンザワゴン,,2016,2016年式,root,root,149,12.7,166.0,70.9,64.2,38.0,98.7,166.0,"2016年式 / 2.2 XD Lパッケージ 4WD / 67,000km / 大阪府",2016年式,2.2 XD Lパッケージ 4WD,"67,000km",大阪府,manen
mazda-atenza-wagon,アテンザワゴン,,2015,2015年式,root,root,167,3.0,146.5,50.6,40.0,25.9,70.5,146.5,"2015年式 / 2.2 XD Lパッケージ 4WD / 62,000km / 徳島県",2015年式,2.2 XD Lパッケージ 4WD,"62,000km",徳島県,manen
mazda-atenza-wagon,アテンザワゴン,,2014,2014年式,root,root,158,5.0,99.2,34.6,29.0,20.3,49.0,99.2,"2014年式 / 2.5 25S Lパッケージ / 26,000km / 北海道",2014年式,2.5 25S Lパッケージ,"26,000km",北海道,manen
mazda-atenza-wagon,アテンザワゴン,,2013,2013年式,root,root,192,5.0,109.4,30.5,25.2,17.1,41.5,109.4,"2013年式 / 2.2 XD / 21,000km / 群馬県",2013年式,2.2 XD,"21,000km",群馬県,manen
mazda-atenza-wagon,アテンザワゴン,,2012,2012年式,root,root,75,5.1,67.1,30.7,27.6,20.6,37.5,67.1,"2012年式 / 2.5 25S Lパッケージ / 58,000km / 福岡県",2012年式,2.5 25S Lパッケージ,"58,000km",福岡県,manen
mazda-atenza-wagon,アテンザワゴン,,2011,2011年式,root,root,2,29.1,40.8,35.0,35.0,29.1,40.8,40.8,2011年式 / 2.0 20S / 10万km / 青森県,2011年式,2.0 20S,10万km,青森県,manen
mazda-atenza-wagon,アテンザワゴン,,2010,2010年式,root,root,3,15.1,22.5,18.8,18.9,15.1,22.5,22.5,"2010年式 / 2.0 20S / 48,000km / 愛媛県",2010年式,2.0 20S,"48,000km",愛媛県,manen
mazda-atenza-wagon,アテンザワゴン,,2007,2007年式,root,root,1,18.6,18.6,18.6,18.6,18.6,18.6,18.6,"2007年式 / 2.5 25S Lパッケージ / 87,000km / 宮崎県",2007年式,2.5 25S Lパッケージ,"87,000km",宮崎県,manen
