model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mazda-axela-sport,アクセラスポーツ,root,root,0万km,0,0,11,17.1,72.6,31.1,28.4,24.0,31.6,72.6,2015年式 / 1.5 15S ツーリング / 0万km / 佐賀県,2015年式,1.5 15S ツーリング,0万km,佐賀県,manen
mazda-axela-sport,アクセラスポーツ,root,root,"1,000km",1000,1000,1,8.6,8.6,8.6,8.6,8.6,8.6,8.6,"2009年式 / 1.5 15C / 1,000km / 埼玉県",2009年式,1.5 15C,"1,000km",埼玉県,manen
mazda-axela-sport,アクセラスポーツ,root,root,"2,000km",2000,2000,1,67.3,67.3,67.3,67.3,67.3,67.3,67.3,"2014年式 / 2.0 20S ツーリング Lパッケージ / 2,000km / 新潟県",2014年式,2.0 20S ツーリング Lパッケージ,"2,000km",新潟県,manen
mazda-axela-sport,アクセラスポーツ,root,root,"3,000km",3000,3000,1,19.8,19.8,19.8,19.8,19.8,19.8,19.8,"2011年式 / 1.5 15S / 3,000km / 鳥取県",2011年式,1.5 15S,"3,000km",鳥取県,manen
mazda-axela-sport,アクセラスポーツ,root,root,"6,000km",6000,6000,1,120.5,120.5,120.5,120.5,120.5,120.5,120.5,"2017年式 / 1.5 15S / 6,000km / 栃木県",2017年式,1.5 15S,"6,000km",栃木県,manen
mazda-axela-sport,アクセラスポーツ,root,root,"7,000km",7000,7000,1,80.3,80.3,80.3,80.3,80.3,80.3,80.3,"2015年式 / 2.0 20S / 7,000km / 石川県",2015年式,2.0 20S,"7,000km",石川県,manen
mazda-axela-sport,アクセラスポーツ,root,root,"8,000km",8000,8000,1,102.4,102.4,102.4,102.4,102.4,102.4,102.4,"2018年式 / 1.5 15S / 8,000km / 奈良県",2018年式,1.5 15S,"8,000km",奈良県,manen
mazda-axela-sport,アクセラスポーツ,root,root,"9,000km",9000,9000,1,14.5,14.5,14.5,14.5,14.5,14.5,14.5,"2017年式 / 1.5 15S / 9,000km / 東京都",2017年式,1.5 15S,"9,000km",東京都,manen
mazda-axela-sport,アクセラスポーツ,root,root,1万km,10000,10000,1,77.7,77.7,77.7,77.7,77.7,77.7,77.7,2016年式 / 1.5 15S / 1万km / 鳥取県,2016年式,1.5 15S,1万km,鳥取県,manen
mazda-axela-sport,アクセラスポーツ,root,root,"13,000km",13000,13000,2,24.0,69.3,46.6,46.6,24.0,69.3,69.3,"2015年式 / 1.5 15S / 13,000km / 青森県",2015年式,1.5 15S,"13,000km",青森県,manen
mazda-axela-sport,アクセラスポーツ,root,root,"14,000km",14000,14000,2,106.0,109.1,107.5,107.5,106.0,109.1,109.1,"2019年式 / 1.5 15S プロアクティブ / 14,000km / 石川県",2019年式,1.5 15S プロアクティブ,"14,000km",石川県,manen
mazda-axela-sport,アクセラスポーツ,root,root,"15,000km",15000,15000,2,93.0,118.9,106.0,106.0,93.0,118.9,118.9,"2018年式 / 1.5 15S プロアクティブ / 15,000km / 愛知県",2018年式,1.5 15S プロアクティブ,"15,000km",愛知県,manen
mazda-axela-sport,アクセラスポーツ,root,root,"16,000km",16000,16000,1,111.0,111.0,111.0,111.0,111.0,111.0,111.0,"2016年式 / 1.5 15XD プロアクティブ / 16,000km / 東京都",2016年式,1.5 15XD プロアクティブ,"16,000km",東京都,manen
mazda-axela-sport,アクセラスポーツ,root,root,"19,000km",19000,19000,2,28.7,108.5,68.6,68.6,28.7,108.5,108.5,"2017年式 / 1.5 15S プロアクティブ / 19,000km / 岡山県",2017年式,1.5 15S プロアクティブ,"19,000km",岡山県,manen
mazda-axela-sport,アクセラスポーツ,root,root,2万km,20000,20000,4,5.4,121.0,63.3,63.4,52.0,74.8,121.0,2017年式 / 1.5 15S Lパッケージ / 2万km / 鹿児島県,2017年式,1.5 15S Lパッケージ,2万km,鹿児島県,manen
