model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mazda-az-wagon,AZ-ワゴン,root,root,"1,000km",1000,1000,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"2010年式 / カスタムスタイル XT-L 4WD / 1,000km / 滋賀県",2010年式,カスタムスタイル XT-L 4WD,"1,000km",滋賀県,manen
mazda-az-wagon,AZ-ワゴン,root,root,"6,000km",6000,6000,2,23.5,23.5,23.5,23.5,23.5,23.5,23.5,"2012年式 / XG 4WD / 6,000km / 岐阜県",2012年式,XG 4WD,"6,000km",岐阜県,manen
mazda-az-wagon,AZ-ワゴン,root,root,1万km,10000,10000,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2010年式 / XG 4WD / 1万km / 北海道,2010年式,XG 4WD,1万km,北海道,manen
mazda-az-wagon,AZ-ワゴン,root,root,"11,000km",11000,11000,2,29.0,29.0,29.0,29.0,29.0,29.0,29.0,"2012年式 / XS スペシャル / 11,000km / 長野県",2012年式,XS スペシャル,"11,000km",長野県,manen
mazda-az-wagon,AZ-ワゴン,root,root,"12,000km",12000,12000,2,18.0,18.0,18.0,18.0,18.0,18.0,18.0,"2012年式 / XG / 12,000km / 岐阜県",2012年式,XG,"12,000km",岐阜県,manen
mazda-az-wagon,AZ-ワゴン,root,root,"13,000km",13000,13000,2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,"2010年式 / XG / 13,000km / 山梨県",2010年式,XG,"13,000km",山梨県,manen
mazda-az-wagon,AZ-ワゴン,root,root,"14,000km",14000,14000,6,14.2,20.2,17.2,17.2,14.2,20.2,20.2,"2011年式 / XG 4WD / 14,000km / 静岡県",2011年式,XG 4WD,"14,000km",静岡県,manen
mazda-az-wagon,AZ-ワゴン,root,root,"15,000km",15000,15000,2,25.6,25.6,25.6,25.6,25.6,25.6,25.6,"2012年式 / XS スペシャル / 15,000km / 千葉県",2012年式,XS スペシャル,"15,000km",千葉県,manen
mazda-az-wagon,AZ-ワゴン,root,root,"16,000km",16000,16000,8,5.0,32.5,20.0,21.2,18.0,24.5,32.5,"2012年式 / XS リミテッド / 16,000km / 神奈川県",2012年式,XS リミテッド,"16,000km",神奈川県,manen
mazda-az-wagon,AZ-ワゴン,root,root,"17,000km",17000,17000,10,14.5,27.5,22.8,24.1,22.2,25.8,27.5,"2012年式 / XS / 17,000km / 山梨県",2012年式,XS,"17,000km",山梨県,manen
mazda-az-wagon,AZ-ワゴン,root,root,"18,000km",18000,18000,8,13.0,25.5,19.1,19.1,16.6,21.5,25.5,"2011年式 / XG / 18,000km / 富山県",2011年式,XG,"18,000km",富山県,manen
mazda-az-wagon,AZ-ワゴン,root,root,"19,000km",19000,19000,2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,"2010年式 / XS スペシャル / 19,000km / 長崎県",2010年式,XS スペシャル,"19,000km",長崎県,manen
mazda-az-wagon,AZ-ワゴン,root,root,2万km,20000,20000,4,16.9,26.9,21.9,21.9,16.9,26.9,26.9,2012年式 / XS リミテッド 4WD / 2万km / 徳島県,2012年式,XS リミテッド 4WD,2万km,徳島県,manen
mazda-az-wagon,AZ-ワゴン,root,root,"21,000km",21000,21000,6,22.3,22.7,22.4,22.3,22.3,22.7,22.7,"2011年式 / XS スペシャル / 21,000km / 福井県",2011年式,XS スペシャル,"21,000km",福井県,manen
mazda-az-wagon,AZ-ワゴン,root,root,"22,000km",22000,22000,2,34.0,34.0,34.0,34.0,34.0,34.0,34.0,"2015年式 / XS / 22,000km / 京都府",2015年式,XS,"22,000km",京都府,manen
mazda-az-wagon,AZ-ワゴン,root,root,"23,000km",23000,23000,2,18.5,18.5,18.5,18.5,18.5,18.5,18.5,"2011年式 / XS スペシャル / 23,000km / 静岡県",2011年式,XS スペシャル,"23,000km",静岡県,manen
mazda-az-wagon,AZ-ワゴン,root,root,"24,000km",24000,24000,10,9.8,19.0,15.6,16.8,14.2,18.3,19.0,"2010年式 / XS スペシャル / 24,000km / 大阪府",2010年式,XS スペシャル,"24,000km",大阪府,manen
mazda-az-wagon,AZ-ワゴン,root,root,"25,000km",25000,25000,2,21.9,21.9,21.9,21.9,21.9,21.9,21.9,"2010年式 / XS スペシャル / 25,000km / 群馬県",2010年式,XS スペシャル,"25,000km",群馬県,manen
mazda-az-wagon,AZ-ワゴン,root,root,"26,000km",26000,26000,4,17.4,27.7,22.6,22.6,17.4,27.7,27.7,"2009年式 / XG / 26,000km / 熊本県",2009年式,XG,"26,000km",熊本県,manen
mazda-az-wagon,AZ-ワゴン,root,root,"27,000km",27000,27000,4,21.0,22.0,21.5,21.5,21.0,22.0,22.0,"2009年式 / XG / 27,000km / 福島県",2009年式,XG,"27,000km",福島県,manen
mazda-az-wagon,AZ-ワゴン,root,root,"28,000km",28000,28000,10,5.0,28.7,14.3,13.0,10.5,14.1,28.7,"2009年式 / カスタムスタイル XT 4WD / 28,000km / 愛知県",2009年式,カスタムスタイル XT 4WD,"28,000km",愛知県,manen
mazda-az-wagon,AZ-ワゴン,root,root,"29,000km",29000,29000,6,12.6,16.5,15.1,16.2,12.6,16.5,16.5,"2009年式 / XS スペシャル / 29,000km / 秋田県",2009年式,XS スペシャル,"29,000km",秋田県,manen
mazda-az-wagon,AZ-ワゴン,root,root,3万km,30000,30000,8,5.0,35.4,20.8,21.3,18.1,24.5,35.4,2011年式 / カスタムスタイル XT / 3万km / 山梨県,2011年式,カスタムスタイル XT,3万km,山梨県,manen
mazda-az-wagon,AZ-ワゴン,root,root,"31,000km",31000,31000,6,13.2,41.0,23.5,16.2,13.2,41.0,41.0,"2011年式 / XT / 31,000km / 宮城県",2011年式,XT,"31,000km",宮城県,manen
mazda-az-wagon,AZ-ワゴン,root,root,"32,000km",32000,32000,4,22.0,29.9,25.9,25.9,22.0,29.9,29.9,"2012年式 / カスタムスタイル XSリミテッド / 32,000km / 愛媛県",2012年式,カスタムスタイル XSリミテッド,"32,000km",愛媛県,manen
mazda-az-wagon,AZ-ワゴン,root,root,"33,000km",33000,33000,4,17.8,20.7,19.2,19.2,17.8,20.7,20.7,"2009年式 / XS スペシャル / 33,000km / 東京都",2009年式,XS スペシャル,"33,000km",東京都,manen
mazda-az-wagon,AZ-ワゴン,root,root,"34,000km",34000,34000,8,15.7,40.2,28.1,28.4,26.1,30.6,40.2,"2012年式 / XS スペシャル / 34,000km / 滋賀県",2012年式,XS スペシャル,"34,000km",滋賀県,manen
