model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mazda-carol-eco,キャロルエコ,root,root,"1,000km",1000,1000,1,55.7,55.7,55.7,55.7,55.7,55.7,55.7,"2012年式 / S / 1,000km / 香川県",2012年式,S,"1,000km",香川県,manen
mazda-carol-eco,キャロルエコ,root,root,"3,000km",3000,3000,6,50.3,53.5,51.6,51.5,50.5,52.5,53.5,"2013年式 / L / 3,000km / 青森県",2013年式,L,"3,000km",青森県,manen
mazda-carol-eco,キャロルエコ,root,root,"4,000km",4000,4000,9,31.0,56.0,49.3,51.6,48.0,55.2,56.0,"2012年式 / X 4WD / 4,000km / 栃木県",2012年式,X 4WD,"4,000km",栃木県,manen
mazda-carol-eco,キャロルエコ,root,root,"5,000km",5000,5000,5,28.5,52.4,36.8,31.5,29.7,42.0,52.4,"2012年式 / L / 5,000km / 長野県",2012年式,L,"5,000km",長野県,manen
mazda-carol-eco,キャロルエコ,root,root,"6,000km",6000,6000,5,16.9,55.5,45.7,51.9,49.5,54.6,55.5,"2013年式 / X / 6,000km / 宮城県",2013年式,X,"6,000km",宮城県,manen
mazda-carol-eco,キャロルエコ,root,root,"7,000km",7000,7000,7,30.0,54.0,43.1,47.5,42.0,47.5,54.0,"2013年式 / L / 7,000km / 沖縄県",2013年式,L,"7,000km",沖縄県,manen
mazda-carol-eco,キャロルエコ,root,root,"8,000km",8000,8000,6,34.7,59.3,46.3,44.4,41.0,53.8,59.3,"2013年式 / X 4WD / 8,000km / 佐賀県",2013年式,X 4WD,"8,000km",佐賀県,manen
mazda-carol-eco,キャロルエコ,root,root,"9,000km",9000,9000,8,8.2,57.5,45.6,53.0,40.9,55.8,57.5,"2013年式 / X / 9,000km / 山形県",2013年式,X,"9,000km",山形県,manen
mazda-carol-eco,キャロルエコ,root,root,1万km,10000,10000,4,30.1,59.7,45.5,46.1,43.0,49.3,59.7,2013年式 / X / 1万km / 香川県,2013年式,X,1万km,香川県,manen
mazda-carol-eco,キャロルエコ,root,root,"11,000km",11000,11000,7,21.3,57.0,41.4,43.0,40.8,52.9,57.0,"2013年式 / X / 11,000km / 愛媛県",2013年式,X,"11,000km",愛媛県,manen
