model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mazda-cx-60,CX-60,root,root,0万km,0,0,3,269.6,352.5,312.0,314.0,269.6,352.5,352.5,2023年式 / 3.3 XD エクスクルーシブモード ディーゼル / 0万km / 沖縄県,2023年式,3.3 XD エクスクルーシブモード ディーゼル,0万km,沖縄県,manen
mazda-cx-60,CX-60,root,root,"1,000km",1000,1000,17,261.4,438.0,351.9,359.8,336.0,379.1,438.0,"2022年式 / 3.3 XD ハイブリッド プレミアムモダン ディーゼル 4WD / 1,000km / 大阪府",2022年式,3.3 XD ハイブリッド プレミアムモダン ディーゼル 4WD,"1,000km",大阪府,manen
mazda-cx-60,CX-60,root,root,"2,000km",2000,2000,28,241.0,399.0,337.2,346.0,308.6,379.8,399.0,"2022年式 / 2.5 PHEV プレミアムスポーツ 4WD / 2,000km / 高知県",2022年式,2.5 PHEV プレミアムスポーツ 4WD,"2,000km",高知県,manen
mazda-cx-60,CX-60,root,root,"3,000km",3000,3000,11,246.0,409.0,332.3,338.0,311.3,354.5,409.0,"2023年式 / 3.3 XD ハイブリッド プレミアムスポーツ ディーゼル 4WD / 3,000km / 奈良県",2023年式,3.3 XD ハイブリッド プレミアムスポーツ ディーゼル 4WD,"3,000km",奈良県,manen
mazda-cx-60,CX-60,root,root,"4,000km",4000,4000,21,245.5,407.0,332.2,330.1,300.0,381.5,407.0,"2023年式 / 3.3 XD ハイブリッド プレミアムスポーツ ディーゼル 4WD / 4,000km / 宮崎県",2023年式,3.3 XD ハイブリッド プレミアムスポーツ ディーゼル 4WD,"4,000km",宮崎県,manen
mazda-cx-60,CX-60,root,root,"5,000km",5000,5000,16,257.0,410.7,328.6,319.5,309.5,354.0,410.7,"2023年式 / 3.3 XD ハイブリッド プレミアムスポーツ ディーゼル 4WD / 5,000km / 岩手県",2023年式,3.3 XD ハイブリッド プレミアムスポーツ ディーゼル 4WD,"5,000km",岩手県,manen
mazda-cx-60,CX-60,root,root,"6,000km",6000,6000,11,244.4,383.2,320.1,338.5,278.1,355.1,383.2,"2022年式 / 3.3 XD ハイブリッド プレミアムモダン ディーゼル 4WD / 6,000km / 長崎県",2022年式,3.3 XD ハイブリッド プレミアムモダン ディーゼル 4WD,"6,000km",長崎県,manen
mazda-cx-60,CX-60,root,root,"7,000km",7000,7000,15,220.0,407.2,320.8,328.5,290.4,356.5,407.2,"2022年式 / 3.3 XD ハイブリッド プレミアムスポーツ ディーゼル 4WD / 7,000km / 佐賀県",2022年式,3.3 XD ハイブリッド プレミアムスポーツ ディーゼル 4WD,"7,000km",佐賀県,manen
mazda-cx-60,CX-60,root,root,"8,000km",8000,8000,12,220.1,393.6,324.7,336.7,322.0,353.0,393.6,"2022年式 / 3.3 XD ハイブリッド エクスクルーシブスポーツ ディーゼル 4WD / 8,000km / 福島県",2022年式,3.3 XD ハイブリッド エクスクルーシブスポーツ ディーゼル 4WD,"8,000km",福島県,manen
mazda-cx-60,CX-60,root,root,"9,000km",9000,9000,10,210.8,344.5,303.8,310.1,305.5,332.0,344.5,"2022年式 / 3.3 XD ハイブリッド プレミアムスポーツ ディーゼル 4WD / 9,000km / 滋賀県",2022年式,3.3 XD ハイブリッド プレミアムスポーツ ディーゼル 4WD,"9,000km",滋賀県,manen
