model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mazda-familia-sedan,ファミリアセダン,root,root,"28,000km",28000,28000,1,18.9,18.9,18.9,18.9,18.9,18.9,18.9,"2001年式 / 1.5 LS / 28,000km / 栃木県",2001年式,1.5 LS,"28,000km",栃木県,manen
mazda-familia-sedan,ファミリアセダン,root,root,"29,000km",29000,29000,1,93.0,93.0,93.0,93.0,93.0,93.0,93.0,"1990年式 / 1.8 GT-X 4WD / 29,000km / 高知県",1990年式,1.8 GT-X 4WD,"29,000km",高知県,manen
mazda-familia-sedan,ファミリアセダン,root,root,"32,000km",32000,32000,1,7.4,7.4,7.4,7.4,7.4,7.4,7.4,"2002年式 / 1.5 LS / 32,000km / 熊本県",2002年式,1.5 LS,"32,000km",熊本県,manen
mazda-familia-sedan,ファミリアセダン,root,root,"44,000km",44000,44000,1,21.6,21.6,21.6,21.6,21.6,21.6,21.6,"2003年式 / 2.0 スポルト20 / 44,000km / 香川県",2003年式,2.0 スポルト20,"44,000km",香川県,manen
mazda-familia-sedan,ファミリアセダン,root,root,"47,000km",47000,47000,1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,"2000年式 / 1.5 LS / 47,000km / 福岡県",2000年式,1.5 LS,"47,000km",福岡県,manen
mazda-familia-sedan,ファミリアセダン,root,root,5万km,50000,50000,1,37.5,37.5,37.5,37.5,37.5,37.5,37.5,2001年式 / 2.0 スポルト20 / 5万km / 静岡県,2001年式,2.0 スポルト20,5万km,静岡県,manen
mazda-familia-sedan,ファミリアセダン,root,root,6万km,60000,60000,3,9.3,26.0,19.6,23.5,9.3,26.0,26.0,2000年式 / 2.0 マツダスピードファミリア / 6万km / 沖縄県,2000年式,2.0 マツダスピードファミリア,6万km,沖縄県,manen
mazda-familia-sedan,ファミリアセダン,root,root,"63,000km",63000,63000,1,87.0,87.0,87.0,87.0,87.0,87.0,87.0,"1990年式 / 1.8 GT-X 4WD / 63,000km / 千葉県",1990年式,1.8 GT-X 4WD,"63,000km",千葉県,manen
mazda-familia-sedan,ファミリアセダン,root,root,"66,000km",66000,66000,1,23.0,23.0,23.0,23.0,23.0,23.0,23.0,"2002年式 / 1.5 LS / 66,000km / 愛知県",2002年式,1.5 LS,"66,000km",愛知県,manen
mazda-familia-sedan,ファミリアセダン,root,root,"72,000km",72000,72000,2,8.2,22.0,15.1,15.1,8.2,22.0,22.0,"2000年式 / 2.0 マツダスピードファミリア / 72,000km / 福岡県",2000年式,2.0 マツダスピードファミリア,"72,000km",福岡県,manen
mazda-familia-sedan,ファミリアセダン,root,root,"77,000km",77000,77000,2,9.9,19.8,14.8,14.8,9.9,19.8,19.8,"1998年式 / 1.5 GS / 77,000km / 福岡県",1998年式,1.5 GS,"77,000km",福岡県,manen
mazda-familia-sedan,ファミリアセダン,root,root,"78,000km",78000,78000,1,10.9,10.9,10.9,10.9,10.9,10.9,10.9,"2003年式 / 1.5 LS / 78,000km / 茨城県",2003年式,1.5 LS,"78,000km",茨城県,manen
mazda-familia-sedan,ファミリアセダン,root,root,8万km,80000,80000,2,32.0,32.0,32.0,32.0,32.0,32.0,32.0,2000年式 / 2.0 マツダスピードファミリア / 8万km / 京都府,2000年式,2.0 マツダスピードファミリア,8万km,京都府,manen
mazda-familia-sedan,ファミリアセダン,root,root,"83,000km",83000,83000,1,67.5,67.5,67.5,67.5,67.5,67.5,67.5,"2001年式 / 2.0 マツダスピードファミリア / 83,000km / 埼玉県",2001年式,2.0 マツダスピードファミリア,"83,000km",埼玉県,manen
mazda-familia-sedan,ファミリアセダン,root,root,"101,000km",101000,101000,2,5.3,15.0,10.2,10.2,5.3,15.0,15.0,"2000年式 / 2.0 マツダスピードファミリア / 101,000km / 鳥取県",2000年式,2.0 マツダスピードファミリア,"101,000km",鳥取県,manen
mazda-familia-sedan,ファミリアセダン,root,root,"103,000km",103000,103000,1,4.9,4.9,4.9,4.9,4.9,4.9,4.9,"2000年式 / 1.5 LS / 103,000km / 広島県",2000年式,1.5 LS,"103,000km",広島県,manen
mazda-familia-sedan,ファミリアセダン,root,root,"107,000km",107000,107000,1,6.4,6.4,6.4,6.4,6.4,6.4,6.4,"1997年式 / 1.5 LS / 107,000km / 愛媛県",1997年式,1.5 LS,"107,000km",愛媛県,manen
mazda-familia-sedan,ファミリアセダン,root,root,13万km,130000,130000,1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,2001年式 / 1.5 LS 4WD / 13万km / 愛媛県,2001年式,1.5 LS 4WD,13万km,愛媛県,manen
mazda-familia-sedan,ファミリアセダン,root,root,"137,000km",137000,137000,1,11.3,11.3,11.3,11.3,11.3,11.3,11.3,"2000年式 / 2.0 マツダスピードファミリア / 137,000km / 埼玉県",2000年式,2.0 マツダスピードファミリア,"137,000km",埼玉県,manen
mazda-familia-sedan,ファミリアセダン,root,root,"141,000km",141000,141000,1,14.7,14.7,14.7,14.7,14.7,14.7,14.7,"2002年式 / 1.5 LS 4WD / 141,000km / 長野県",2002年式,1.5 LS 4WD,"141,000km",長野県,manen
mazda-familia-sedan,ファミリアセダン,root,root,"165,000km",165000,165000,1,11.5,11.5,11.5,11.5,11.5,11.5,11.5,"2004年式 / 2.0 スポルト20 / 165,000km / 大阪府",2004年式,2.0 スポルト20,"165,000km",大阪府,manen
mazda-familia-sedan,ファミリアセダン,root,root,"226,000km",226000,226000,1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,"2001年式 / 1.5 LS / 226,000km / 静岡県",2001年式,1.5 LS,"226,000km",静岡県,manen
