model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mazda-familia-van,ファミリアバン,,2024,2024年式,root,root,1,54.0,54.0,54.0,54.0,54.0,54.0,54.0,"2024年式 / 1.5 GX / 98,000km / 沖縄県",2024年式,1.5 GX,"98,000km",沖縄県,manen
mazda-familia-van,ファミリアバン,,2022,2022年式,root,root,1,83.5,83.5,83.5,83.5,83.5,83.5,83.5,2022年式 / 1.5 VE / 3万km / 沖縄県,2022年式,1.5 VE,3万km,沖縄県,manen
mazda-familia-van,ファミリアバン,,2021,2021年式,root,root,1,62.0,62.0,62.0,62.0,62.0,62.0,62.0,"2021年式 / 1.5 VE / 104,000km / 島根県",2021年式,1.5 VE,"104,000km",島根県,manen
mazda-familia-van,ファミリアバン,,2020,2020年式,root,root,6,31.0,79.7,61.4,65.0,57.5,70.1,79.7,2020年式 / 1.5 VE / 4万km / 京都府,2020年式,1.5 VE,4万km,京都府,manen
mazda-familia-van,ファミリアバン,,2019,2019年式,root,root,27,28.6,80.0,53.0,52.2,39.1,67.9,80.0,"2019年式 / 1.5 VE / 53,000km / 愛媛県",2019年式,1.5 VE,"53,000km",愛媛県,manen
mazda-familia-van,ファミリアバン,,2018,2018年式,root,root,32,19.0,73.5,40.7,35.2,27.8,53.2,73.5,2018年式 / 1.5 GX / 3万km / 愛媛県,2018年式,1.5 GX,3万km,愛媛県,manen
mazda-familia-van,ファミリアバン,,2017,2017年式,root,root,24,15.4,72.7,32.6,30.4,23.9,36.2,72.7,2017年式 / 1.5 VE / 2万km / 神奈川県,2017年式,1.5 VE,2万km,神奈川県,manen
mazda-familia-van,ファミリアバン,,2016,2016年式,root,root,36,7.6,82.4,32.2,25.2,19.1,40.5,82.4,"2016年式 / 1.5 VE / 4,000km / 広島県",2016年式,1.5 VE,"4,000km",広島県,manen
mazda-familia-van,ファミリアバン,,2015,2015年式,root,root,27,10.3,65.3,27.5,23.5,18.4,36.5,65.3,"2015年式 / 1.5 VE / 17,000km / 宮城県",2015年式,1.5 VE,"17,000km",宮城県,manen
mazda-familia-van,ファミリアバン,,2014,2014年式,root,root,39,5.1,64.5,25.8,22.3,15.9,34.0,64.5,"2014年式 / 1.5 GX / 18,000km / 沖縄県",2014年式,1.5 GX,"18,000km",沖縄県,manen
mazda-familia-van,ファミリアバン,,2013,2013年式,root,root,41,5.0,36.5,19.2,19.6,12.6,26.5,36.5,"2013年式 / 1.5 VE / 51,000km / 東京都",2013年式,1.5 VE,"51,000km",東京都,manen
mazda-familia-van,ファミリアバン,,2012,2012年式,root,root,43,4.6,51.6,18.8,19.3,8.4,25.8,51.6,"2012年式 / 1.6 VE 4WD / 19,000km / 愛媛県",2012年式,1.6 VE 4WD,"19,000km",愛媛県,manen
mazda-familia-van,ファミリアバン,,2011,2011年式,root,root,56,0.9,38.5,16.2,11.1,7.3,24.5,38.5,2011年式 / 1.2 DX / 2万km / 熊本県,2011年式,1.2 DX,2万km,熊本県,manen
mazda-familia-van,ファミリアバン,,2010,2010年式,root,root,28,4.3,34.0,12.7,9.6,6.1,16.7,34.0,"2010年式 / 1.5 VE / 58,000km / 佐賀県",2010年式,1.5 VE,"58,000km",佐賀県,manen
mazda-familia-van,ファミリアバン,,2009,2009年式,root,root,17,4.9,29.0,14.6,13.5,6.9,21.1,29.0,"2009年式 / 1.5 GX / 26,000km / 大分県",2009年式,1.5 GX,"26,000km",大分県,manen
mazda-familia-van,ファミリアバン,,2008,2008年式,root,root,9,5.0,38.0,15.0,8.2,6.6,21.5,38.0,"2008年式 / 1.6 DX 4WD / 29,000km / 埼玉県",2008年式,1.6 DX 4WD,"29,000km",埼玉県,manen
mazda-familia-van,ファミリアバン,,2007,2007年式,root,root,4,5.5,29.0,12.1,7.0,6.1,7.9,29.0,"2007年式 / 1.8 LX / 55,000km / 広島県",2007年式,1.8 LX,"55,000km",広島県,manen
mazda-familia-van,ファミリアバン,,2006,2006年式,root,root,3,5.0,6.2,5.6,5.5,5.0,6.2,6.2,"2006年式 / 1.5 VE / 135,000km / 岡山県",2006年式,1.5 VE,"135,000km",岡山県,manen
mazda-familia-van,ファミリアバン,,2002,2002年式,root,root,3,7.3,19.9,11.5,7.3,7.3,19.9,19.9,"2002年式 / 1.6 GX 4WD / 84,000km / 岡山県",2002年式,1.6 GX 4WD,"84,000km",岡山県,manen
mazda-familia-van,ファミリアバン,,1986,1986年式,root,root,1,18.0,18.0,18.0,18.0,18.0,18.0,18.0,"1986年式 / 1.5 XL / 95,000km / 富山県",1986年式,1.5 XL,"95,000km",富山県,manen
