model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mazda-familia,ファミリア,,2012,2012年式,root,root,1,28.8,28.8,28.8,28.8,28.8,28.8,28.8,"2012年式 / 1.5 クレア / 64,000km / 京都府",2012年式,1.5 クレア,"64,000km",京都府,manen
mazda-familia,ファミリア,,2010,2010年式,root,root,1,13.6,13.6,13.6,13.6,13.6,13.6,13.6,"2010年式 / 1.5 クレア / 62,000km / 大阪府",2010年式,1.5 クレア,"62,000km",大阪府,manen
mazda-familia,ファミリア,,2009,2009年式,root,root,2,7.2,23.7,15.4,15.4,7.2,23.7,23.7,"2009年式 / 1.3 クレア / 47,000km / 奈良県",2009年式,1.3 クレア,"47,000km",奈良県,manen
mazda-familia,ファミリア,,2008,2008年式,root,root,1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,2008年式 / 1.3 クレア / 12万km / 和歌山県,2008年式,1.3 クレア,12万km,和歌山県,manen
mazda-familia,ファミリア,,2006,2006年式,root,root,1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,"2006年式 / 1.3 クレア / 53,000km / 鳥取県",2006年式,1.3 クレア,"53,000km",鳥取県,manen
mazda-familia,ファミリア,,1997,1997年式,root,root,2,6.8,6.8,6.8,6.8,6.8,6.8,6.8,1997年式 / 1.3 クレア / 5万km / 東京都,1997年式,1.3 クレア,5万km,東京都,manen
mazda-familia,ファミリア,,1995,1995年式,root,root,1,5.2,5.2,5.2,5.2,5.2,5.2,5.2,"1995年式 / 1.3 クレア / 28,000km / 島根県",1995年式,1.3 クレア,"28,000km",島根県,manen
mazda-familia,ファミリア,,1994,1994年式,root,root,1,17.3,17.3,17.3,17.3,17.3,17.3,17.3,"1994年式 / 1.5 インタープレー / 69,000km / 滋賀県",1994年式,1.5 インタープレー,"69,000km",滋賀県,manen
mazda-familia,ファミリア,,1993,1993年式,root,root,3,4.5,69.6,36.5,35.4,4.5,69.6,69.6,"1993年式 / 1.8 GT-R 4WD / 145,000km / 岩手県",1993年式,1.8 GT-R 4WD,"145,000km",岩手県,manen
mazda-familia,ファミリア,,1992,1992年式,root,root,4,20.8,95.4,50.4,42.8,41.0,44.5,95.4,"1992年式 / 1.8 GT-R 4WD / 47,000km / 三重県",1992年式,1.8 GT-R 4WD,"47,000km",三重県,manen
mazda-familia,ファミリア,,1991,1991年式,root,root,6,40.2,138.5,61.2,47.2,41.0,53.0,138.5,1991年式 / 1.8 GT-X 4WD / 2万km / 石川県,1991年式,1.8 GT-X 4WD,2万km,石川県,manen
mazda-familia,ファミリア,,1990,1990年式,root,root,3,67.5,129.5,90.4,74.3,67.5,129.5,129.5,"1990年式 / 1.8 GT-X 4WD / 59,000km / 東京都",1990年式,1.8 GT-X 4WD,"59,000km",東京都,manen
mazda-familia,ファミリア,,1989,1989年式,root,root,5,15.1,52.5,30.7,27.5,16.4,41.8,52.5,"1989年式 / 1.8 GT-X 4WD / 36,000km / 福島県",1989年式,1.8 GT-X 4WD,"36,000km",福島県,manen
