model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mazda-flare-crossover,フレアクロスオーバー,,2025,2025年式,root,root,4,104.5,153.5,129.2,129.3,124.6,134.1,153.5,2025年式 / ハイブリッド XT 4WD / 0万km / 高知県,2025年式,ハイブリッド XT 4WD,0万km,高知県,manen
mazda-flare-crossover,フレアクロスオーバー,,2024,2024年式,root,root,22,88.5,142.4,122.2,123.0,112.5,131.5,142.4,"2024年式 / ZS 4WD / 1,000km / 愛媛県",2024年式,ZS 4WD,"1,000km",愛媛県,manen
mazda-flare-crossover,フレアクロスオーバー,,2023,2023年式,root,root,45,75.2,139.5,116.1,115.3,107.5,125.6,139.5,"2023年式 / ハイブリッド XSスペシャル / 1,000km / 栃木県",2023年式,ハイブリッド XSスペシャル,"1,000km",栃木県,manen
mazda-flare-crossover,フレアクロスオーバー,,2022,2022年式,root,root,65,7.0,143.4,107.3,110.7,100.4,120.5,143.4,"2022年式 / ハイブリッド XT / 5,000km / 東京都",2022年式,ハイブリッド XT,"5,000km",東京都,manen
mazda-flare-crossover,フレアクロスオーバー,,2021,2021年式,root,root,80,65.3,150.9,104.4,105.7,90.0,119.3,150.9,"2021年式 / ハイブリッド XT 4WD / 6,000km / 滋賀県",2021年式,ハイブリッド XT 4WD,"6,000km",滋賀県,manen
mazda-flare-crossover,フレアクロスオーバー,,2020,2020年式,root,root,109,12.1,141.8,97.2,101.8,86.7,113.4,141.8,"2020年式 / ハイブリッド XT / 32,000km / 長崎県",2020年式,ハイブリッド XT,"32,000km",長崎県,manen
mazda-flare-crossover,フレアクロスオーバー,,2019,2019年式,root,root,76,28.1,109.5,73.5,73.5,64.1,88.0,109.5,"2019年式 / XS / 28,000km / 愛知県",2019年式,XS,"28,000km",愛知県,manen
mazda-flare-crossover,フレアクロスオーバー,,2018,2018年式,root,root,80,18.9,108.9,63.0,64.0,50.5,77.5,108.9,"2018年式 / XG 4WD / 14,000km / 埼玉県",2018年式,XG 4WD,"14,000km",埼玉県,manen
mazda-flare-crossover,フレアクロスオーバー,,2017,2017年式,root,root,101,16.8,121.0,58.4,58.5,42.0,72.7,121.0,2017年式 / XT 4WD / 6万km / 東京都,2017年式,XT 4WD,6万km,東京都,manen
mazda-flare-crossover,フレアクロスオーバー,,2016,2016年式,root,root,131,3.8,110.1,50.6,46.1,32.8,67.4,110.1,"2016年式 / XS 4WD / 51,000km / 愛媛県",2016年式,XS 4WD,"51,000km",愛媛県,manen
mazda-flare-crossover,フレアクロスオーバー,,2015,2015年式,root,root,150,6.0,104.5,44.7,44.9,30.6,57.9,104.5,"2015年式 / XS 4WD / 46,000km / 島根県",2015年式,XS 4WD,"46,000km",島根県,manen
mazda-flare-crossover,フレアクロスオーバー,,2014,2014年式,root,root,131,5.8,93.5,38.3,35.9,23.4,49.0,93.5,"2014年式 / XS 4WD / 19,000km / 熊本県",2014年式,XS 4WD,"19,000km",熊本県,manen
mazda-flare-crossover,フレアクロスオーバー,,2013,2013年式,root,root,6,23.1,64.0,39.4,34.1,24.3,56.4,64.0,"2013年式 / XS / 84,000km / 高知県",2013年式,XS,"84,000km",高知県,manen
