model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mazda-flare-wagon,フレアワゴン,root,root,0万km,0,0,2,105.4,115.5,110.5,110.5,105.4,115.5,115.5,2025年式 / ハイブリッド XG / 0万km / 長崎県,2025年式,ハイブリッド XG,0万km,長崎県,manen
mazda-flare-wagon,フレアワゴン,root,root,"1,000km",1000,1000,4,83.4,161.4,128.8,135.2,127.9,142.5,161.4,"2024年式 / カスタムスタイル ハイブリッド XS 4WD / 1,000km / 大分県",2024年式,カスタムスタイル ハイブリッド XS 4WD,"1,000km",大分県,manen
mazda-flare-wagon,フレアワゴン,root,root,"2,000km",2000,2000,5,100.0,125.0,109.2,105.8,101.3,114.0,125.0,"2023年式 / ハイブリッド XS / 2,000km / 三重県",2023年式,ハイブリッド XS,"2,000km",三重県,manen
mazda-flare-wagon,フレアワゴン,root,root,"3,000km",3000,3000,8,94.0,142.3,121.3,121.0,112.7,137.0,142.3,"2024年式 / タフスタイル XS / 3,000km / 東京都",2024年式,タフスタイル XS,"3,000km",東京都,manen
mazda-flare-wagon,フレアワゴン,root,root,"4,000km",4000,4000,5,92.0,134.2,116.2,114.2,113.5,127.0,134.2,"2023年式 / ハイブリッド XG 4WD / 4,000km / 山口県",2023年式,ハイブリッド XG 4WD,"4,000km",山口県,manen
mazda-flare-wagon,フレアワゴン,root,root,"5,000km",5000,5000,5,101.6,130.3,118.2,119.5,113.5,126.2,130.3,"2025年式 / ハイブリッド XS / 5,000km / 兵庫県",2025年式,ハイブリッド XS,"5,000km",兵庫県,manen
mazda-flare-wagon,フレアワゴン,root,root,"6,000km",6000,6000,3,73.2,135.8,97.4,83.3,73.2,135.8,135.8,"2023年式 / タフスタイル ハイブリッド XT / 6,000km / 徳島県",2023年式,タフスタイル ハイブリッド XT,"6,000km",徳島県,manen
mazda-flare-wagon,フレアワゴン,root,root,"7,000km",7000,7000,6,91.8,144.6,117.9,115.2,98.0,142.5,144.6,"2023年式 / タフスタイル ハイブリッド XT / 7,000km / 佐賀県",2023年式,タフスタイル ハイブリッド XT,"7,000km",佐賀県,manen
mazda-flare-wagon,フレアワゴン,root,root,"8,000km",8000,8000,2,24.0,156.5,90.2,90.2,24.0,156.5,156.5,"2023年式 / タフスタイル ハイブリッド XT 4WD / 8,000km / 大阪府",2023年式,タフスタイル ハイブリッド XT 4WD,"8,000km",大阪府,manen
mazda-flare-wagon,フレアワゴン,root,root,"9,000km",9000,9000,3,68.6,117.0,94.8,98.7,68.6,117.0,117.0,"2019年式 / タフスタイル ハイブリッド XS / 9,000km / 静岡県",2019年式,タフスタイル ハイブリッド XS,"9,000km",静岡県,manen
mazda-flare-wagon,フレアワゴン,root,root,1万km,10000,10000,5,76.7,140.0,108.3,114.0,96.0,114.8,140.0,2023年式 / タフスタイル ハイブリッド XS / 1万km / 佐賀県,2023年式,タフスタイル ハイブリッド XS,1万km,佐賀県,manen
mazda-flare-wagon,フレアワゴン,root,root,"11,000km",11000,11000,8,92.5,140.0,119.2,119.7,110.6,133.5,140.0,"2022年式 / タフスタイル ハイブリッド XT / 11,000km / 高知県",2022年式,タフスタイル ハイブリッド XT,"11,000km",高知県,manen
mazda-flare-wagon,フレアワゴン,root,root,"12,000km",12000,12000,7,27.6,145.5,101.9,106.0,96.7,120.0,145.5,"2024年式 / タフスタイル ハイブリッド XS / 12,000km / 熊本県",2024年式,タフスタイル ハイブリッド XS,"12,000km",熊本県,manen
mazda-flare-wagon,フレアワゴン,root,root,"13,000km",13000,13000,5,80.0,132.3,105.7,109.5,84.6,122.0,132.3,"2021年式 / カスタムスタイル ハイブリッド XT / 13,000km / 岩手県",2021年式,カスタムスタイル ハイブリッド XT,"13,000km",岩手県,manen
mazda-flare-wagon,フレアワゴン,root,root,"14,000km",14000,14000,6,70.4,117.0,95.3,93.1,85.3,113.0,117.0,"2018年式 / カスタムスタイル ハイブリッド XT / 14,000km / 神奈川県",2018年式,カスタムスタイル ハイブリッド XT,"14,000km",神奈川県,manen
mazda-flare-wagon,フレアワゴン,root,root,"15,000km",15000,15000,17,26.5,128.2,95.0,104.1,92.0,113.0,128.2,"2022年式 / タフスタイル ハイブリッド XS / 15,000km / 長崎県",2022年式,タフスタイル ハイブリッド XS,"15,000km",長崎県,manen
mazda-flare-wagon,フレアワゴン,root,root,"16,000km",16000,16000,12,80.5,134.0,109.0,109.0,97.7,121.0,134.0,"2024年式 / ハイブリッド XS 4WD / 16,000km / 山形県",2024年式,ハイブリッド XS 4WD,"16,000km",山形県,manen
mazda-flare-wagon,フレアワゴン,root,root,"17,000km",17000,17000,8,16.1,136.9,88.4,102.8,92.3,111.5,136.9,"2020年式 / カスタムスタイル ハイブリッド XT 4WD / 17,000km / 宮城県",2020年式,カスタムスタイル ハイブリッド XT 4WD,"17,000km",宮城県,manen
mazda-flare-wagon,フレアワゴン,root,root,"18,000km",18000,18000,11,37.9,130.2,97.0,101.5,91.1,107.0,130.2,"2020年式 / カスタムスタイル ハイブリッド XT / 18,000km / 奈良県",2020年式,カスタムスタイル ハイブリッド XT,"18,000km",奈良県,manen
mazda-flare-wagon,フレアワゴン,root,root,"19,000km",19000,19000,13,41.6,141.0,109.9,118.0,104.3,125.5,141.0,"2020年式 / カスタムスタイル XT 4WD / 19,000km / 岡山県",2020年式,カスタムスタイル XT 4WD,"19,000km",岡山県,manen
mazda-flare-wagon,フレアワゴン,root,root,2万km,20000,20000,16,16.4,136.0,99.3,112.5,88.5,123.7,136.0,2022年式 / カスタムスタイル ハイブリッド XS / 2万km / 山形県,2022年式,カスタムスタイル ハイブリッド XS,2万km,山形県,manen
mazda-flare-wagon,フレアワゴン,root,root,"21,000km",21000,21000,10,24.0,132.0,94.2,106.0,82.0,118.1,132.0,"2021年式 / カスタムスタイル ハイブリッド XS 4WD / 21,000km / 千葉県",2021年式,カスタムスタイル ハイブリッド XS 4WD,"21,000km",千葉県,manen
mazda-flare-wagon,フレアワゴン,root,root,"22,000km",22000,22000,10,25.3,114.0,75.8,84.7,44.5,104.8,114.0,"2020年式 / タフスタイル ハイブリッド XS / 22,000km / 新潟県",2020年式,タフスタイル ハイブリッド XS,"22,000km",新潟県,manen
mazda-flare-wagon,フレアワゴン,root,root,"23,000km",23000,23000,14,30.0,135.3,98.4,103.5,86.2,120.5,135.3,"2022年式 / カスタムスタイル ハイブリッド XT / 23,000km / 埼玉県",2022年式,カスタムスタイル ハイブリッド XT,"23,000km",埼玉県,manen
mazda-flare-wagon,フレアワゴン,root,root,"24,000km",24000,24000,19,23.7,129.5,101.8,109.5,93.5,120.5,129.5,"2023年式 / タフスタイル ハイブリッド XT / 24,000km / 徳島県",2023年式,タフスタイル ハイブリッド XT,"24,000km",徳島県,manen
mazda-flare-wagon,フレアワゴン,root,root,"25,000km",25000,25000,10,64.1,134.8,99.6,97.0,85.5,117.5,134.8,"2020年式 / カスタムスタイル ハイブリッド XT / 25,000km / 秋田県",2020年式,カスタムスタイル ハイブリッド XT,"25,000km",秋田県,manen
mazda-flare-wagon,フレアワゴン,root,root,"26,000km",26000,26000,10,35.4,120.5,87.4,88.5,81.1,100.7,120.5,"2020年式 / タフスタイル XT / 26,000km / 山梨県",2020年式,タフスタイル XT,"26,000km",山梨県,manen
mazda-flare-wagon,フレアワゴン,root,root,"27,000km",27000,27000,15,5.0,141.5,103.4,109.9,101.0,120.3,141.5,"2022年式 / カスタムスタイル ハイブリッド XT / 27,000km / 東京都",2022年式,カスタムスタイル ハイブリッド XT,"27,000km",東京都,manen
mazda-flare-wagon,フレアワゴン,root,root,"28,000km",28000,28000,16,32.5,135.0,84.4,91.5,52.8,106.2,135.0,"2019年式 / カスタムスタイル ハイブリッド XT 4WD / 28,000km / 埼玉県",2019年式,カスタムスタイル ハイブリッド XT 4WD,"28,000km",埼玉県,manen
mazda-flare-wagon,フレアワゴン,root,root,"29,000km",29000,29000,16,20.2,122.5,85.9,87.0,71.0,118.5,122.5,"2020年式 / カスタムスタイル XS 4WD / 29,000km / 長崎県",2020年式,カスタムスタイル XS 4WD,"29,000km",長崎県,manen
mazda-flare-wagon,フレアワゴン,root,root,3万km,30000,30000,11,31.1,136.5,86.2,102.7,37.6,108.5,136.5,2021年式 / タフスタイル ハイブリッド XS 4WD / 3万km / 石川県,2021年式,タフスタイル ハイブリッド XS 4WD,3万km,石川県,manen
mazda-flare-wagon,フレアワゴン,root,root,"31,000km",31000,31000,12,25.2,147.0,88.5,92.9,71.0,108.9,147.0,"2024年式 / タフスタイル ハイブリッド XT / 31,000km / 愛媛県",2024年式,タフスタイル ハイブリッド XT,"31,000km",愛媛県,manen
mazda-flare-wagon,フレアワゴン,root,root,"32,000km",32000,32000,5,47.0,120.5,87.1,99.0,49.5,119.3,120.5,"2018年式 / タフスタイル ハイブリッド XS 4WD / 32,000km / 石川県",2018年式,タフスタイル ハイブリッド XS 4WD,"32,000km",石川県,manen
mazda-flare-wagon,フレアワゴン,root,root,"33,000km",33000,33000,12,19.0,142.6,89.3,93.5,81.0,110.5,142.6,"2021年式 / カスタムスタイル ハイブリッド XS 4WD / 33,000km / 栃木県",2021年式,カスタムスタイル ハイブリッド XS 4WD,"33,000km",栃木県,manen
mazda-flare-wagon,フレアワゴン,root,root,"34,000km",34000,34000,11,18.4,125.0,92.1,98.6,73.0,115.0,125.0,"2022年式 / ハイブリッド XS / 34,000km / 福島県",2022年式,ハイブリッド XS,"34,000km",福島県,manen
mazda-flare-wagon,フレアワゴン,root,root,"35,000km",35000,35000,11,34.4,130.5,85.1,85.5,62.8,112.2,130.5,"2021年式 / タフスタイル ハイブリッド XT / 35,000km / 長野県",2021年式,タフスタイル ハイブリッド XT,"35,000km",長野県,manen
mazda-flare-wagon,フレアワゴン,root,root,"36,000km",36000,36000,15,28.7,130.9,94.1,100.5,75.0,117.0,130.9,"2023年式 / カスタムスタイル ハイブリッド XT / 36,000km / 秋田県",2023年式,カスタムスタイル ハイブリッド XT,"36,000km",秋田県,manen
