model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mazda-flare,フレア,,2025,2025年式,root,root,1,93.0,93.0,93.0,93.0,93.0,93.0,93.0,2025年式 / ハイブリッド XG / 0万km / 滋賀県,2025年式,ハイブリッド XG,0万km,滋賀県,manen
mazda-flare,フレア,,2024,2024年式,root,root,1,91.0,91.0,91.0,91.0,91.0,91.0,91.0,"2024年式 / ハイブリッド XG / 3,000km / 徳島県",2024年式,ハイブリッド XG,"3,000km",徳島県,manen
mazda-flare,フレア,,2023,2023年式,root,root,11,80.5,91.7,87.6,89.7,85.2,90.9,91.7,"2023年式 / ハイブリッド XG / 39,000km / 奈良県",2023年式,ハイブリッド XG,"39,000km",奈良県,manen
mazda-flare,フレア,,2022,2022年式,root,root,28,10.0,93.1,73.5,77.5,69.2,83.5,93.1,"2022年式 / ハイブリッド XS / 12,000km / 和歌山県",2022年式,ハイブリッド XS,"12,000km",和歌山県,manen
mazda-flare,フレア,,2021,2021年式,root,root,51,22.1,92.1,65.7,69.5,56.4,78.5,92.1,"2021年式 / ハイブリッド XS 4WD / 44,000km / 長崎県",2021年式,ハイブリッド XS 4WD,"44,000km",長崎県,manen
mazda-flare,フレア,,2020,2020年式,root,root,53,25.5,86.5,55.7,55.5,40.5,69.3,86.5,"2020年式 / ハイブリッド XS 4WD / 44,000km / 埼玉県",2020年式,ハイブリッド XS 4WD,"44,000km",埼玉県,manen
mazda-flare,フレア,,2019,2019年式,root,root,76,19.6,94.7,52.5,53.5,40.9,63.2,94.7,"2019年式 / XS / 19,000km / 埼玉県",2019年式,XS,"19,000km",埼玉県,manen
mazda-flare,フレア,,2018,2018年式,root,root,89,10.8,78.0,44.8,44.6,33.9,58.5,78.0,"2018年式 / ハイブリッド XG / 32,000km / 香川県",2018年式,ハイブリッド XG,"32,000km",香川県,manen
mazda-flare,フレア,,2017,2017年式,root,root,108,5.0,84.5,42.1,41.5,30.1,51.2,84.5,2017年式 / XS / 3万km / 石川県,2017年式,XS,3万km,石川県,manen
mazda-flare,フレア,,2016,2016年式,root,root,102,5.0,62.0,33.3,35.0,26.8,40.4,62.0,"2016年式 / カスタムスタイル HS / 31,000km / 沖縄県",2016年式,カスタムスタイル HS,"31,000km",沖縄県,manen
mazda-flare,フレア,,2015,2015年式,root,root,122,5.0,59.5,28.0,28.0,20.1,35.3,59.5,"2015年式 / カスタムスタイル HS / 29,000km / 茨城県",2015年式,カスタムスタイル HS,"29,000km",茨城県,manen
mazda-flare,フレア,,2014,2014年式,root,root,150,5.0,67.6,24.4,24.1,18.5,29.3,67.6,"2014年式 / カスタムスタイル XT 4WD / 28,000km / 香川県",2014年式,カスタムスタイル XT 4WD,"28,000km",香川県,manen
mazda-flare,フレア,,2013,2013年式,root,root,156,5.0,52.8,20.5,21.4,14.2,26.0,52.8,"2013年式 / カスタムスタイル XS 4WD / 54,000km / 富山県",2013年式,カスタムスタイル XS 4WD,"54,000km",富山県,manen
mazda-flare,フレア,,2012,2012年式,root,root,52,5.0,44.8,19.5,19.2,16.4,23.0,44.8,"2012年式 / カスタムスタイル XT 4WD / 46,000km / 福岡県",2012年式,カスタムスタイル XT 4WD,"46,000km",福岡県,manen
