model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mazda-mazda2,MAZDA2,root,root,0万km,0,0,19,117.0,163.0,144.3,150.4,132.5,156.0,163.0,2019年式 / 1.5 XD Lパッケージ / 0万km / 秋田県,2019年式,1.5 XD Lパッケージ,0万km,秋田県,manen
mazda-mazda2,MAZDA2,root,root,"1,000km",1000,1000,28,87.1,177.6,142.7,147.8,131.4,156.5,177.6,"2023年式 / 1.5 XD スポルトプラス / 1,000km / 愛知県",2023年式,1.5 XD スポルトプラス,"1,000km",愛知県,manen
mazda-mazda2,MAZDA2,root,root,"2,000km",2000,2000,21,94.1,170.0,131.6,133.5,111.0,152.5,170.0,"2020年式 / 1.5 XD プロアクティブ Sパッケージ 4WD / 2,000km / 宮城県",2020年式,1.5 XD プロアクティブ Sパッケージ 4WD,"2,000km",宮城県,manen
mazda-mazda2,MAZDA2,root,root,"3,000km",3000,3000,22,91.1,149.9,122.7,124.5,112.0,138.0,149.9,"2021年式 / 1.5 15S プロアクティブ スマートエディションII / 3,000km / 大分県",2021年式,1.5 15S プロアクティブ スマートエディションII,"3,000km",大分県,manen
mazda-mazda2,MAZDA2,root,root,"4,000km",4000,4000,20,103.0,154.2,132.7,129.2,123.5,147.2,154.2,"2023年式 / 1.5 15BD / 4,000km / 福島県",2023年式,1.5 15BD,"4,000km",福島県,manen
mazda-mazda2,MAZDA2,root,root,"5,000km",5000,5000,24,62.8,150.0,122.8,123.2,115.5,133.9,150.0,"2022年式 / 1.5 15S ブラックトーンエディション / 5,000km / 鹿児島県",2022年式,1.5 15S ブラックトーンエディション,"5,000km",鹿児島県,manen
mazda-mazda2,MAZDA2,root,root,"6,000km",6000,6000,24,92.5,175.8,139.8,145.5,131.4,149.5,175.8,"2020年式 / 1.5 15S 100周年特別記念車 / 6,000km / 千葉県",2020年式,1.5 15S 100周年特別記念車,"6,000km",千葉県,manen
mazda-mazda2,MAZDA2,root,root,"7,000km",7000,7000,28,87.1,151.8,124.8,124.8,116.5,135.8,151.8,"2023年式 / 1.5 XD スポルトプラス / 7,000km / 茨城県",2023年式,1.5 XD スポルトプラス,"7,000km",茨城県,manen
mazda-mazda2,MAZDA2,root,root,"8,000km",8000,8000,23,94.2,172.5,127.5,128.7,117.7,138.2,172.5,"2023年式 / 1.5 XD スポルトプラス / 8,000km / 茨城県",2023年式,1.5 XD スポルトプラス,"8,000km",茨城県,manen
mazda-mazda2,MAZDA2,root,root,"9,000km",9000,9000,39,81.0,173.0,127.7,125.8,116.7,137.5,173.0,"2023年式 / 1.5 XD スポルトプラス 4WD / 9,000km / 兵庫県",2023年式,1.5 XD スポルトプラス 4WD,"9,000km",兵庫県,manen
mazda-mazda2,MAZDA2,root,root,1万km,10000,10000,29,88.0,153.0,122.8,122.1,118.0,130.7,153.0,2022年式 / 1.5 15S ブラックトーンエディション / 1万km / 福岡県,2022年式,1.5 15S ブラックトーンエディション,1万km,福岡県,manen
mazda-mazda2,MAZDA2,root,root,"11,000km",11000,11000,14,83.9,153.5,120.6,121.8,106.2,134.5,153.5,"2023年式 / 1.5 XD スポルトプラス / 11,000km / 福島県",2023年式,1.5 XD スポルトプラス,"11,000km",福島県,manen
mazda-mazda2,MAZDA2,root,root,"12,000km",12000,12000,23,87.7,142.5,114.2,117.8,103.2,122.0,142.5,"2023年式 / 1.5 15BD / 12,000km / 岡山県",2023年式,1.5 15BD,"12,000km",岡山県,manen
mazda-mazda2,MAZDA2,root,root,"13,000km",13000,13000,20,89.1,168.9,128.2,131.6,113.7,141.5,168.9,"2024年式 / 1.5 XD スポルトプラス / 13,000km / 神奈川県",2024年式,1.5 XD スポルトプラス,"13,000km",神奈川県,manen
mazda-mazda2,MAZDA2,root,root,"14,000km",14000,14000,24,74.8,156.8,118.5,120.2,110.5,127.5,156.8,"2024年式 / 1.5 15BD / 14,000km / 広島県",2024年式,1.5 15BD,"14,000km",広島県,manen
mazda-mazda2,MAZDA2,root,root,"15,000km",15000,15000,26,71.1,154.5,117.4,118.2,106.5,130.6,154.5,"2023年式 / 1.5 15 スポルト / 15,000km / 福岡県",2023年式,1.5 15 スポルト,"15,000km",福岡県,manen
mazda-mazda2,MAZDA2,root,root,"16,000km",16000,16000,17,72.1,156.5,113.8,118.0,108.5,128.3,156.5,"2024年式 / 1.5 15 スポルト / 16,000km / 栃木県",2024年式,1.5 15 スポルト,"16,000km",栃木県,manen
mazda-mazda2,MAZDA2,root,root,"17,000km",17000,17000,27,86.2,146.5,116.2,116.0,106.7,124.5,146.5,"2023年式 / 1.5 XD スポルトプラス / 17,000km / 愛知県",2023年式,1.5 XD スポルトプラス,"17,000km",愛知県,manen
mazda-mazda2,MAZDA2,root,root,"18,000km",18000,18000,29,66.1,150.8,113.7,116.2,105.7,125.4,150.8,"2024年式 / 1.5 XD スポルトプラス / 18,000km / 愛知県",2024年式,1.5 XD スポルトプラス,"18,000km",愛知県,manen
mazda-mazda2,MAZDA2,root,root,"19,000km",19000,19000,19,48.0,157.0,110.4,117.0,103.8,125.3,157.0,"2023年式 / 1.5 XD スポルトプラス / 19,000km / 徳島県",2023年式,1.5 XD スポルトプラス,"19,000km",徳島県,manen
