model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mazda-mazda6-sedan,MAZDA6セダン,root,root,0万km,0,0,1,256.9,256.9,256.9,256.9,256.9,256.9,256.9,2019年式 / 2.2 XD Lパッケージ / 0万km / 埼玉県,2019年式,2.2 XD Lパッケージ,0万km,埼玉県,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,"1,000km",1000,1000,1,285.2,285.2,285.2,285.2,285.2,285.2,285.2,"2021年式 / 2.5 25T ブラックトーンエディション / 1,000km / 滋賀県",2021年式,2.5 25T ブラックトーンエディション,"1,000km",滋賀県,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,"2,000km",2000,2000,2,194.2,268.0,231.1,231.1,194.2,268.0,268.0,"2020年式 / 2.0 20S ブラックトーンエディション / 2,000km / 大分県",2020年式,2.0 20S ブラックトーンエディション,"2,000km",大分県,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,"3,000km",3000,3000,1,257.0,257.0,257.0,257.0,257.0,257.0,257.0,"2019年式 / 2.5 25T Sパッケージ / 3,000km / 岐阜県",2019年式,2.5 25T Sパッケージ,"3,000km",岐阜県,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,"4,000km",4000,4000,8,180.5,275.0,246.8,254.7,246.5,259.6,275.0,"2020年式 / 2.2 XD Lパッケージ / 4,000km / 大阪府",2020年式,2.2 XD Lパッケージ,"4,000km",大阪府,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,"5,000km",5000,5000,1,215.0,215.0,215.0,215.0,215.0,215.0,215.0,"2020年式 / 2.2 XD Lパッケージ / 5,000km / 秋田県",2020年式,2.2 XD Lパッケージ,"5,000km",秋田県,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,"6,000km",6000,6000,4,235.5,266.5,248.2,245.5,240.5,250.5,266.5,"2024年式 / 2.5 25S Lパッケージ / 6,000km / 鳥取県",2024年式,2.5 25S Lパッケージ,"6,000km",鳥取県,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,"7,000km",7000,7000,4,113.3,225.6,188.7,208.0,208.0,208.0,225.6,"2020年式 / 2.5 25S Lパッケージ / 7,000km / 山梨県",2020年式,2.5 25S Lパッケージ,"7,000km",山梨県,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,"8,000km",8000,8000,6,159.5,268.0,221.5,240.2,166.0,255.0,268.0,"2019年式 / 2.2 XD Lパッケージ / 8,000km / 和歌山県",2019年式,2.2 XD Lパッケージ,"8,000km",和歌山県,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,"9,000km",9000,9000,2,204.5,255.0,229.8,229.8,204.5,255.0,255.0,"2020年式 / 2.5 25T Sパッケージ / 9,000km / 宮崎県",2020年式,2.5 25T Sパッケージ,"9,000km",宮崎県,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,1万km,10000,10000,3,200.5,277.5,240.1,242.4,200.5,277.5,277.5,2020年式 / 2.2 XD Lパッケージ / 1万km / 滋賀県,2020年式,2.2 XD Lパッケージ,1万km,滋賀県,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,"12,000km",12000,12000,4,171.5,260.0,208.1,200.5,185.0,216.0,260.0,"2020年式 / 2.5 25S 100周年特別記念車 / 12,000km / 福井県",2020年式,2.5 25S 100周年特別記念車,"12,000km",福井県,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,"13,000km",13000,13000,5,172.5,242.0,219.7,227.5,227.0,229.5,242.0,"2019年式 / 2.2 XD Lパッケージ / 13,000km / 栃木県",2019年式,2.2 XD Lパッケージ,"13,000km",栃木県,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,"14,000km",14000,14000,2,193.7,227.6,210.7,210.7,193.7,227.6,227.6,"2019年式 / 2.2 XD プロアクティブ / 14,000km / 静岡県",2019年式,2.2 XD プロアクティブ,"14,000km",静岡県,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,"15,000km",15000,15000,1,203.6,203.6,203.6,203.6,203.6,203.6,203.6,"2021年式 / 2.2 XD プロアクティブ / 15,000km / 愛知県",2021年式,2.2 XD プロアクティブ,"15,000km",愛知県,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,"16,000km",16000,16000,4,196.0,247.7,218.2,214.4,207.9,221.0,247.7,"2021年式 / 2.0 20S ブラックトーンエディション / 16,000km / 愛媛県",2021年式,2.0 20S ブラックトーンエディション,"16,000km",愛媛県,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,"17,000km",17000,17000,3,169.2,238.6,195.6,179.0,169.2,238.6,238.6,"2020年式 / 2.5 25S Lパッケージ / 17,000km / 京都府",2020年式,2.5 25S Lパッケージ,"17,000km",京都府,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,"18,000km",18000,18000,5,184.5,286.5,226.9,225.0,200.6,237.7,286.5,"2023年式 / 2.2 XD 20thアニバーサリー エディション / 18,000km / 徳島県",2023年式,2.2 XD 20thアニバーサリー エディション,"18,000km",徳島県,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,2万km,20000,20000,4,190.0,289.0,247.6,255.7,252.9,258.5,289.0,2022年式 / 2.2 XD 20thアニバーサリー エディション / 2万km / 群馬県,2022年式,2.2 XD 20thアニバーサリー エディション,2万km,群馬県,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,"21,000km",21000,21000,10,144.3,235.0,186.8,179.8,172.0,205.6,235.0,"2022年式 / 2.2 XD Lパッケージ / 21,000km / 和歌山県",2022年式,2.2 XD Lパッケージ,"21,000km",和歌山県,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,"22,000km",22000,22000,10,115.5,268.0,203.2,206.2,191.5,220.6,268.0,"2019年式 / 2.2 XD Lパッケージ 4WD / 22,000km / 宮崎県",2019年式,2.2 XD Lパッケージ 4WD,"22,000km",宮崎県,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,"23,000km",23000,23000,2,218.5,232.4,225.4,225.4,218.5,232.4,232.4,"2020年式 / 2.2 XD Lパッケージ 4WD / 23,000km / 香川県",2020年式,2.2 XD Lパッケージ 4WD,"23,000km",香川県,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,"24,000km",24000,24000,4,133.4,268.0,216.3,232.0,225.5,238.5,268.0,"2022年式 / 2.2 XD プロアクティブ 4WD / 24,000km / 鹿児島県",2022年式,2.2 XD プロアクティブ 4WD,"24,000km",鹿児島県,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,"25,000km",25000,25000,8,139.5,259.0,187.5,184.8,158.3,203.5,259.0,"2020年式 / 2.2 XD Lパッケージ / 25,000km / 奈良県",2020年式,2.2 XD Lパッケージ,"25,000km",奈良県,manen
mazda-mazda6-sedan,MAZDA6セダン,root,root,"26,000km",26000,26000,2,207.2,230.0,218.6,218.6,207.2,230.0,230.0,"2021年式 / 2.5 25T Sパッケージ / 26,000km / 兵庫県",2021年式,2.5 25T Sパッケージ,"26,000km",兵庫県,manen
