model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mazda-mazda6-wagon,MAZDA6ワゴン,root,root,0万km,0,0,7,273.0,294.0,281.4,280.0,274.0,285.1,294.0,2023年式 / 2.2 XD スポーツ アピアランス / 0万km / 香川県,2023年式,2.2 XD スポーツ アピアランス,0万km,香川県,manen
mazda-mazda6-wagon,MAZDA6ワゴン,root,root,"1,000km",1000,1000,2,261.0,297.8,279.4,279.4,261.0,297.8,297.8,"2022年式 / 2.2 XD スポーツ アピアランス / 1,000km / 熊本県",2022年式,2.2 XD スポーツ アピアランス,"1,000km",熊本県,manen
mazda-mazda6-wagon,MAZDA6ワゴン,root,root,"4,000km",4000,4000,4,254.1,280.1,262.1,257.2,255.9,258.5,280.1,"2019年式 / 2.2 XD Lパッケージ / 4,000km / 千葉県",2019年式,2.2 XD Lパッケージ,"4,000km",千葉県,manen
mazda-mazda6-wagon,MAZDA6ワゴン,root,root,"5,000km",5000,5000,2,270.9,286.0,278.4,278.4,270.9,286.0,286.0,"2019年式 / 2.2 XD Lパッケージ 4WD / 5,000km / 滋賀県",2019年式,2.2 XD Lパッケージ 4WD,"5,000km",滋賀県,manen
mazda-mazda6-wagon,MAZDA6ワゴン,root,root,"6,000km",6000,6000,3,210.8,280.2,248.8,255.3,210.8,280.2,280.2,"2019年式 / 2.5 25T Sパッケージ / 6,000km / 埼玉県",2019年式,2.5 25T Sパッケージ,"6,000km",埼玉県,manen
mazda-mazda6-wagon,MAZDA6ワゴン,root,root,"7,000km",7000,7000,3,216.7,281.1,256.1,270.4,216.7,281.1,281.1,"2023年式 / 2.2 XD 20thアニバーサリー エディション / 7,000km / 和歌山県",2023年式,2.2 XD 20thアニバーサリー エディション,"7,000km",和歌山県,manen
mazda-mazda6-wagon,MAZDA6ワゴン,root,root,"8,000km",8000,8000,2,200.4,256.0,228.2,228.2,200.4,256.0,256.0,"2022年式 / 2.0 20S ブラックトーンエディション / 8,000km / 宮崎県",2022年式,2.0 20S ブラックトーンエディション,"8,000km",宮崎県,manen
mazda-mazda6-wagon,MAZDA6ワゴン,root,root,"9,000km",9000,9000,1,206.0,206.0,206.0,206.0,206.0,206.0,206.0,"2020年式 / 2.2 XD プロアクティブ / 9,000km / 三重県",2020年式,2.2 XD プロアクティブ,"9,000km",三重県,manen
mazda-mazda6-wagon,MAZDA6ワゴン,root,root,1万km,10000,10000,2,257.5,264.6,261.1,261.1,257.5,264.6,264.6,2022年式 / 2.2 XD Lパッケージ 4WD / 1万km / 岡山県,2022年式,2.2 XD Lパッケージ 4WD,1万km,岡山県,manen
mazda-mazda6-wagon,MAZDA6ワゴン,root,root,"11,000km",11000,11000,1,154.3,154.3,154.3,154.3,154.3,154.3,154.3,"2020年式 / 2.0 20S / 11,000km / 長崎県",2020年式,2.0 20S,"11,000km",長崎県,manen
mazda-mazda6-wagon,MAZDA6ワゴン,root,root,"12,000km",12000,12000,6,218.0,251.7,233.7,232.8,219.0,248.0,251.7,"2019年式 / 2.2 XD Lパッケージ / 12,000km / 和歌山県",2019年式,2.2 XD Lパッケージ,"12,000km",和歌山県,manen
mazda-mazda6-wagon,MAZDA6ワゴン,root,root,"13,000km",13000,13000,6,204.8,292.5,237.1,221.1,207.0,276.0,292.5,"2022年式 / 2.2 XD プロアクティブ 4WD / 13,000km / 茨城県",2022年式,2.2 XD プロアクティブ 4WD,"13,000km",茨城県,manen
mazda-mazda6-wagon,MAZDA6ワゴン,root,root,"14,000km",14000,14000,8,195.0,276.0,232.2,219.8,214.6,263.3,276.0,"2021年式 / 2.2 XD ブラックトーンエディション / 14,000km / 埼玉県",2021年式,2.2 XD ブラックトーンエディション,"14,000km",埼玉県,manen
mazda-mazda6-wagon,MAZDA6ワゴン,root,root,"15,000km",15000,15000,5,195.3,265.5,228.9,217.0,205.7,261.0,265.5,"2022年式 / 2.5 25T ブラックトーンエディション / 15,000km / 愛媛県",2022年式,2.5 25T ブラックトーンエディション,"15,000km",愛媛県,manen
mazda-mazda6-wagon,MAZDA6ワゴン,root,root,"16,000km",16000,16000,5,205.5,258.0,231.1,226.0,217.9,248.0,258.0,"2021年式 / 2.2 XD ブラックトーンエディション 4WD / 16,000km / 山口県",2021年式,2.2 XD ブラックトーンエディション 4WD,"16,000km",山口県,manen
mazda-mazda6-wagon,MAZDA6ワゴン,root,root,"17,000km",17000,17000,6,160.5,267.0,226.8,228.2,210.5,266.5,267.0,"2019年式 / 2.2 XD Lパッケージ / 17,000km / 岡山県",2019年式,2.2 XD Lパッケージ,"17,000km",岡山県,manen
