model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mazda-mpv,MPV,root,root,0万km,0,0,1,20.0,20.0,20.0,20.0,20.0,20.0,20.0,2008年式 / 2.3 23T / 0万km / 兵庫県,2008年式,2.3 23T,0万km,兵庫県,manen
mazda-mpv,MPV,root,root,"5,000km",5000,5000,2,20.5,20.5,20.5,20.5,20.5,20.5,20.5,"2012年式 / 2.3 23S / 5,000km / 神奈川県",2012年式,2.3 23S,"5,000km",神奈川県,manen
mazda-mpv,MPV,root,root,"8,000km",8000,8000,1,13.3,13.3,13.3,13.3,13.3,13.3,13.3,"2009年式 / 2.3 23T 4WD / 8,000km / 徳島県",2009年式,2.3 23T 4WD,"8,000km",徳島県,manen
mazda-mpv,MPV,root,root,"18,000km",18000,18000,2,37.0,49.5,43.2,43.2,37.0,49.5,49.5,"2011年式 / 2.3 23S Lパッケージ / 18,000km / 佐賀県",2011年式,2.3 23S Lパッケージ,"18,000km",佐賀県,manen
mazda-mpv,MPV,root,root,"19,000km",19000,19000,1,15.5,15.5,15.5,15.5,15.5,15.5,15.5,"2008年式 / 2.3 23T Lパッケージ / 19,000km / 愛媛県",2008年式,2.3 23T Lパッケージ,"19,000km",愛媛県,manen
mazda-mpv,MPV,root,root,"25,000km",25000,25000,1,44.0,44.0,44.0,44.0,44.0,44.0,44.0,"2009年式 / 2.3 23S / 25,000km / 埼玉県",2009年式,2.3 23S,"25,000km",埼玉県,manen
mazda-mpv,MPV,root,root,"26,000km",26000,26000,1,30.7,30.7,30.7,30.7,30.7,30.7,30.7,"2005年式 / 2.3 23C / 26,000km / 岡山県",2005年式,2.3 23C,"26,000km",岡山県,manen
mazda-mpv,MPV,root,root,"27,000km",27000,27000,2,9.6,49.0,29.3,29.3,9.6,49.0,49.0,"2009年式 / 2.3 23T / 27,000km / 埼玉県",2009年式,2.3 23T,"27,000km",埼玉県,manen
mazda-mpv,MPV,root,root,"28,000km",28000,28000,1,52.2,52.2,52.2,52.2,52.2,52.2,52.2,"2013年式 / 2.3 23S / 28,000km / 埼玉県",2013年式,2.3 23S,"28,000km",埼玉県,manen
mazda-mpv,MPV,root,root,3万km,30000,30000,3,22.8,36.1,31.4,35.4,22.8,36.1,36.1,2010年式 / 2.3 23T Lパッケージ / 3万km / 富山県,2010年式,2.3 23T Lパッケージ,3万km,富山県,manen
mazda-mpv,MPV,root,root,"31,000km",31000,31000,3,21.2,42.1,29.7,25.8,21.2,42.1,42.1,"2012年式 / 2.3 23S Lパッケージ / 31,000km / 埼玉県",2012年式,2.3 23S Lパッケージ,"31,000km",埼玉県,manen
mazda-mpv,MPV,root,root,"32,000km",32000,32000,1,35.5,35.5,35.5,35.5,35.5,35.5,35.5,"1999年式 / 2.5 グランツタイプG-L ディーゼル 4WD / 32,000km / 石川県",1999年式,2.5 グランツタイプG-L ディーゼル 4WD,"32,000km",石川県,manen
mazda-mpv,MPV,root,root,"33,000km",33000,33000,4,6.0,31.3,19.0,19.3,16.9,21.7,31.3,"2008年式 / 2.3 23S 4WD / 33,000km / 埼玉県",2008年式,2.3 23S 4WD,"33,000km",埼玉県,manen
mazda-mpv,MPV,root,root,"34,000km",34000,34000,3,8.0,28.2,15.3,9.6,8.0,28.2,28.2,"2008年式 / 2.3 23S / 34,000km / 埼玉県",2008年式,2.3 23S,"34,000km",埼玉県,manen
mazda-mpv,MPV,root,root,"35,000km",35000,35000,5,10.8,32.8,19.6,10.8,10.8,32.8,32.8,"1996年式 / 2.5 タイプR ディーゼル / 35,000km / 山形県",1996年式,2.5 タイプR ディーゼル,"35,000km",山形県,manen
mazda-mpv,MPV,root,root,"37,000km",37000,37000,4,10.8,52.5,24.5,17.4,11.6,23.1,52.5,"2011年式 / 2.3 23S 4WD / 37,000km / 京都府",2011年式,2.3 23S 4WD,"37,000km",京都府,manen
mazda-mpv,MPV,root,root,"38,000km",38000,38000,5,6.9,55.7,34.5,36.8,33.7,39.5,55.7,"2015年式 / 2.3 23S / 38,000km / 群馬県",2015年式,2.3 23S,"38,000km",群馬県,manen
mazda-mpv,MPV,root,root,"39,000km",39000,39000,1,10.5,10.5,10.5,10.5,10.5,10.5,10.5,"2010年式 / 2.3 23S / 39,000km / 石川県",2010年式,2.3 23S,"39,000km",石川県,manen
mazda-mpv,MPV,root,root,4万km,40000,40000,5,19.8,32.5,26.5,25.8,22.5,32.1,32.5,2011年式 / 2.3 23S / 4万km / 香川県,2011年式,2.3 23S,4万km,香川県,manen
mazda-mpv,MPV,root,root,"41,000km",41000,41000,6,5.0,48.0,30.1,35.3,9.1,48.0,48.0,"2013年式 / 2.3 23S / 41,000km / 静岡県",2013年式,2.3 23S,"41,000km",静岡県,manen
mazda-mpv,MPV,root,root,"42,000km",42000,42000,4,22.5,49.5,35.1,34.2,22.5,46.0,49.5,"2011年式 / 2.3 23S / 42,000km / 東京都",2011年式,2.3 23S,"42,000km",東京都,manen
mazda-mpv,MPV,root,root,"43,000km",43000,43000,3,5.0,30.5,19.2,22.2,5.0,30.5,30.5,"2009年式 / 2.3 23T / 43,000km / 島根県",2009年式,2.3 23T,"43,000km",島根県,manen
mazda-mpv,MPV,root,root,"44,000km",44000,44000,3,19.2,26.5,21.7,19.5,19.2,26.5,26.5,"2011年式 / 2.3 23S / 44,000km / 新潟県",2011年式,2.3 23S,"44,000km",新潟県,manen
mazda-mpv,MPV,root,root,"45,000km",45000,45000,6,11.5,42.5,22.4,18.9,16.3,26.3,42.5,"2012年式 / 2.3 23S / 45,000km / 岩手県",2012年式,2.3 23S,"45,000km",岩手県,manen
