model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mazda-roadster,ロードスター,root,root,0万km,0,0,16,22.3,288.5,89.4,50.0,33.1,78.6,288.5,2024年式 / 1.5 S レザーパッケージ V セレクション / 0万km / 熊本県,2024年式,1.5 S レザーパッケージ V セレクション,0万km,熊本県,manen
mazda-roadster,ロードスター,root,root,"1,000km",1000,1000,3,236.5,249.5,242.0,240.0,236.5,249.5,249.5,"2024年式 / 1.5 S レザーパッケージ V セレクション / 1,000km / 島根県",2024年式,1.5 S レザーパッケージ V セレクション,"1,000km",島根県,manen
mazda-roadster,ロードスター,root,root,"2,000km",2000,2000,8,72.5,267.9,223.3,238.0,228.6,251.5,267.9,"2024年式 / 1.5 S レザーパッケージ V セレクション / 2,000km / 石川県",2024年式,1.5 S レザーパッケージ V セレクション,"2,000km",石川県,manen
mazda-roadster,ロードスター,root,root,"3,000km",3000,3000,5,221.0,272.5,240.9,237.4,232.5,241.0,272.5,"2024年式 / 1.5 S レザーパッケージ V セレクション / 3,000km / 岩手県",2024年式,1.5 S レザーパッケージ V セレクション,"3,000km",岩手県,manen
mazda-roadster,ロードスター,root,root,"4,000km",4000,4000,10,203.0,292.0,237.2,229.0,225.0,237.0,292.0,"2024年式 / 1.5 S レザーパッケージ V セレクション / 4,000km / 埼玉県",2024年式,1.5 S レザーパッケージ V セレクション,"4,000km",埼玉県,manen
mazda-roadster,ロードスター,root,root,"5,000km",5000,5000,8,199.0,295.0,237.5,229.5,216.0,234.8,295.0,"2024年式 / 1.5 S レザーパッケージ V セレクション / 5,000km / 群馬県",2024年式,1.5 S レザーパッケージ V セレクション,"5,000km",群馬県,manen
mazda-roadster,ロードスター,root,root,"6,000km",6000,6000,10,80.0,289.5,206.9,229.0,154.5,255.0,289.5,"2025年式 / 1.5 S レザーパッケージ V セレクション / 6,000km / 東京都",2025年式,1.5 S レザーパッケージ V セレクション,"6,000km",東京都,manen
mazda-roadster,ロードスター,root,root,"7,000km",7000,7000,5,200.5,254.0,225.8,234.0,201.1,239.5,254.0,"2023年式 / 1.5 ブラウン トップ / 7,000km / 山梨県",2023年式,1.5 ブラウン トップ,"7,000km",山梨県,manen
mazda-roadster,ロードスター,root,root,"8,000km",8000,8000,4,158.5,219.5,197.1,205.2,204.0,206.5,219.5,"2019年式 / 1.5 S レザーパッケージ / 8,000km / 宮崎県",2019年式,1.5 S レザーパッケージ,"8,000km",宮崎県,manen
mazda-roadster,ロードスター,root,root,"9,000km",9000,9000,8,157.0,271.5,221.2,222.1,216.0,230.5,271.5,"2022年式 / 1.5 RS / 9,000km / 徳島県",2022年式,1.5 RS,"9,000km",徳島県,manen
