model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mazda-rx-7,RX-7,root,root,0万km,0,0,85,33.5,473.0,192.0,179.0,101.5,250.0,473.0,1994年式 / タイプRZ / 0万km / 山口県,1994年式,タイプRZ,0万km,山口県,manen
mazda-rx-7,RX-7,root,root,"1,000km",1000,1000,1,193.7,193.7,193.7,193.7,193.7,193.7,193.7,"1997年式 / タイプRB / 1,000km / 大阪府",1997年式,タイプRB,"1,000km",大阪府,manen
mazda-rx-7,RX-7,root,root,"5,000km",5000,5000,1,300.0,300.0,300.0,300.0,300.0,300.0,300.0,"1995年式 / タイプRS / 5,000km / 徳島県",1995年式,タイプRS,"5,000km",徳島県,manen
mazda-rx-7,RX-7,root,root,"9,000km",9000,9000,1,98.5,98.5,98.5,98.5,98.5,98.5,98.5,"1991年式 / タイプR / 9,000km / 香川県",1991年式,タイプR,"9,000km",香川県,manen
mazda-rx-7,RX-7,root,root,"11,000km",11000,11000,1,428.0,428.0,428.0,428.0,428.0,428.0,428.0,"1995年式 / タイプR バサースト / 11,000km / 宮城県",1995年式,タイプR バサースト,"11,000km",宮城県,manen
mazda-rx-7,RX-7,root,root,"12,000km",12000,12000,2,260.5,317.5,289.0,289.0,260.5,317.5,317.5,"1998年式 / タイプR / 12,000km / 東京都",1998年式,タイプR,"12,000km",東京都,manen
mazda-rx-7,RX-7,root,root,"13,000km",13000,13000,3,381.5,470.3,411.1,381.5,381.5,470.3,470.3,"1996年式 / タイプRZ / 13,000km / 岐阜県",1996年式,タイプRZ,"13,000km",岐阜県,manen
mazda-rx-7,RX-7,root,root,"14,000km",14000,14000,1,149.5,149.5,149.5,149.5,149.5,149.5,149.5,"1991年式 / タイプR / 14,000km / 香川県",1991年式,タイプR,"14,000km",香川県,manen
mazda-rx-7,RX-7,root,root,"15,000km",15000,15000,2,185.5,315.8,250.7,250.7,185.5,315.8,315.8,"1999年式 / タイプRS / 15,000km / 埼玉県",1999年式,タイプRS,"15,000km",埼玉県,manen
mazda-rx-7,RX-7,root,root,"16,000km",16000,16000,1,448.8,448.8,448.8,448.8,448.8,448.8,448.8,"2002年式 / タイプR バサースト / 16,000km / 東京都",2002年式,タイプR バサースト,"16,000km",東京都,manen
