model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mazda-scrum-truck,スクラムトラック,root,root,0万km,0,0,14,11.4,86.5,34.9,21.1,13.8,59.0,86.5,2024年式 / KC 農繁 4WD / 0万km / 長野県,2024年式,KC 農繁 4WD,0万km,長野県,manen
mazda-scrum-truck,スクラムトラック,root,root,"1,000km",1000,1000,5,42.4,56.7,49.6,47.1,47.1,54.8,56.7,"2019年式 / KC / 1,000km / 香川県",2019年式,KC,"1,000km",香川県,manen
mazda-scrum-truck,スクラムトラック,root,root,"2,000km",2000,2000,2,56.1,79.5,67.8,67.8,56.1,79.5,79.5,"2020年式 / KC 農繁 4WD / 2,000km / 大阪府",2020年式,KC 農繁 4WD,"2,000km",大阪府,manen
mazda-scrum-truck,スクラムトラック,root,root,"3,000km",3000,3000,3,66.5,77.0,70.0,66.5,66.5,77.0,77.0,"2016年式 / KX 4WD / 3,000km / 高知県",2016年式,KX 4WD,"3,000km",高知県,manen
mazda-scrum-truck,スクラムトラック,root,root,"4,000km",4000,4000,5,28.7,66.5,45.6,37.0,29.5,66.5,66.5,"2020年式 / KC 4WD / 4,000km / 福岡県",2020年式,KC 4WD,"4,000km",福岡県,manen
mazda-scrum-truck,スクラムトラック,root,root,"5,000km",5000,5000,8,46.4,83.5,58.5,57.7,50.5,63.0,83.5,"2019年式 / STD / 5,000km / 広島県",2019年式,STD,"5,000km",広島県,manen
mazda-scrum-truck,スクラムトラック,root,root,"6,000km",6000,6000,5,21.0,60.6,46.2,55.2,38.0,56.0,60.6,"2021年式 / KC / 6,000km / 千葉県",2021年式,KC,"6,000km",千葉県,manen
mazda-scrum-truck,スクラムトラック,root,root,"7,000km",7000,7000,10,17.5,66.5,48.2,56.2,30.5,61.1,66.5,"2018年式 / KC 4WD / 7,000km / 愛媛県",2018年式,KC 4WD,"7,000km",愛媛県,manen
mazda-scrum-truck,スクラムトラック,root,root,"8,000km",8000,8000,8,7.7,61.8,45.2,51.0,46.0,52.0,61.8,"2019年式 / KC 4WD / 8,000km / 鹿児島県",2019年式,KC 4WD,"8,000km",鹿児島県,manen
mazda-scrum-truck,スクラムトラック,root,root,"9,000km",9000,9000,4,37.5,60.5,44.8,40.5,40.5,40.5,60.5,"2017年式 / KC 4WD / 9,000km / 埼玉県",2017年式,KC 4WD,"9,000km",埼玉県,manen
mazda-scrum-truck,スクラムトラック,root,root,1万km,10000,10000,5,27.1,65.7,52.0,53.4,52.0,62.0,65.7,2021年式 / KC 4WD / 1万km / 福井県,2021年式,KC 4WD,1万km,福井県,manen
mazda-scrum-truck,スクラムトラック,root,root,"11,000km",11000,11000,2,50.0,57.6,53.8,53.8,50.0,57.6,57.6,"2016年式 / KC 4WD / 11,000km / 静岡県",2016年式,KC 4WD,"11,000km",静岡県,manen
mazda-scrum-truck,スクラムトラック,root,root,"12,000km",12000,12000,7,10.6,78.9,40.8,47.8,22.0,48.5,78.9,"2018年式 / KX 4WD / 12,000km / 徳島県",2018年式,KX 4WD,"12,000km",徳島県,manen
mazda-scrum-truck,スクラムトラック,root,root,"13,000km",13000,13000,3,37.2,47.6,43.5,45.7,37.2,47.6,47.6,"2018年式 / KC 4WD / 13,000km / 島根県",2018年式,KC 4WD,"13,000km",島根県,manen
mazda-scrum-truck,スクラムトラック,root,root,"14,000km",14000,14000,9,22.5,74.0,53.7,58.0,36.8,67.0,74.0,"2020年式 / KC 農繁 4WD / 14,000km / 熊本県",2020年式,KC 農繁 4WD,"14,000km",熊本県,manen
mazda-scrum-truck,スクラムトラック,root,root,"15,000km",15000,15000,7,24.5,63.0,40.0,37.4,30.5,38.1,63.0,"2019年式 / KC 4WD / 15,000km / 山形県",2019年式,KC 4WD,"15,000km",山形県,manen
mazda-scrum-truck,スクラムトラック,root,root,"16,000km",16000,16000,5,23.0,65.0,44.9,42.5,35.7,58.2,65.0,"2018年式 / KX 4WD / 16,000km / 福井県",2018年式,KX 4WD,"16,000km",福井県,manen
mazda-scrum-truck,スクラムトラック,root,root,"17,000km",17000,17000,7,33.2,70.5,49.9,53.0,49.5,53.4,70.5,"2019年式 / KX 4WD / 17,000km / 愛媛県",2019年式,KX 4WD,"17,000km",愛媛県,manen
mazda-scrum-truck,スクラムトラック,root,root,"18,000km",18000,18000,7,15.3,67.9,41.8,49.0,32.6,54.5,67.9,"2022年式 / STD / 18,000km / 島根県",2022年式,STD,"18,000km",島根県,manen
mazda-scrum-truck,スクラムトラック,root,root,"19,000km",19000,19000,9,24.8,61.5,44.8,48.5,36.2,51.2,61.5,"2019年式 / 保冷車 / 19,000km / 岩手県",2019年式,保冷車,"19,000km",岩手県,manen
mazda-scrum-truck,スクラムトラック,root,root,2万km,20000,20000,11,36.6,79.8,53.8,49.5,43.0,62.5,79.8,2020年式 / KX 4WD / 2万km / 秋田県,2020年式,KX 4WD,2万km,秋田県,manen
mazda-scrum-truck,スクラムトラック,root,root,"21,000km",21000,21000,6,16.2,70.0,49.6,57.5,27.7,68.6,70.0,"2019年式 / KC 4WD / 21,000km / 沖縄県",2019年式,KC 4WD,"21,000km",沖縄県,manen
mazda-scrum-truck,スクラムトラック,root,root,"22,000km",22000,22000,8,7.6,85.5,35.1,23.7,19.1,53.9,85.5,"2018年式 / STD / 22,000km / 愛媛県",2018年式,STD,"22,000km",愛媛県,manen
mazda-scrum-truck,スクラムトラック,root,root,"23,000km",23000,23000,5,22.2,50.0,33.3,30.0,22.4,42.0,50.0,"2019年式 / KC / 23,000km / 山口県",2019年式,KC,"23,000km",山口県,manen
mazda-scrum-truck,スクラムトラック,root,root,"24,000km",24000,24000,7,20.5,64.0,41.1,43.1,36.0,46.0,64.0,"2018年式 / KX 4WD / 24,000km / 滋賀県",2018年式,KX 4WD,"24,000km",滋賀県,manen
mazda-scrum-truck,スクラムトラック,root,root,"25,000km",25000,25000,15,15.5,50.1,32.6,31.5,30.3,36.0,50.1,"2015年式 / STD / 25,000km / 宮崎県",2015年式,STD,"25,000km",宮崎県,manen
mazda-scrum-truck,スクラムトラック,root,root,"26,000km",26000,26000,4,30.1,71.5,52.0,53.2,45.0,61.4,71.5,"2022年式 / KC 4WD / 26,000km / 福岡県",2022年式,KC 4WD,"26,000km",福岡県,manen
mazda-scrum-truck,スクラムトラック,root,root,"27,000km",27000,27000,4,15.8,66.0,38.1,35.4,23.5,47.3,66.0,"2020年式 / KC 4WD / 27,000km / 京都府",2020年式,KC 4WD,"27,000km",京都府,manen
mazda-scrum-truck,スクラムトラック,root,root,"28,000km",28000,28000,11,22.8,70.2,43.4,44.1,36.1,50.5,70.2,"2019年式 / KX 4WD / 28,000km / 熊本県",2019年式,KX 4WD,"28,000km",熊本県,manen
mazda-scrum-truck,スクラムトラック,root,root,"29,000km",29000,29000,12,11.8,75.0,33.7,26.5,16.5,52.0,75.0,"2014年式 / 冷凍車 / 29,000km / 大分県",2014年式,冷凍車,"29,000km",大分県,manen
mazda-scrum-truck,スクラムトラック,root,root,3万km,30000,30000,7,15.8,59.5,36.3,38.5,22.8,48.0,59.5,2017年式 / KC 4WD / 3万km / 岐阜県,2017年式,KC 4WD,3万km,岐阜県,manen
