model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mazda-scrum-truck,スクラムトラック,,2024,2024年式,root,root,2,61.4,86.5,74.0,74.0,61.4,86.5,86.5,2024年式 / KC 農繁 4WD / 0万km / 長野県,2024年式,KC 農繁 4WD,0万km,長野県,manen
mazda-scrum-truck,スクラムトラック,,2023,2023年式,root,root,4,58.2,72.5,68.0,70.7,69.5,71.9,72.5,"2023年式 / KC 4WD / 14,000km / 山梨県",2023年式,KC 4WD,"14,000km",山梨県,manen
mazda-scrum-truck,スクラムトラック,,2022,2022年式,root,root,10,22.5,71.7,58.3,62.0,50.5,67.9,71.7,"2022年式 / KC 4WD / 36,000km / 石川県",2022年式,KC 4WD,"36,000km",石川県,manen
mazda-scrum-truck,スクラムトラック,,2021,2021年式,root,root,11,30.0,65.7,52.1,54.0,47.5,63.0,65.7,2021年式 / KC 4WD / 1万km / 福井県,2021年式,KC 4WD,1万km,福井県,manen
mazda-scrum-truck,スクラムトラック,,2020,2020年式,root,root,41,23.8,79.8,53.2,54.5,41.3,62.5,79.8,2020年式 / KX 4WD / 2万km / 秋田県,2020年式,KX 4WD,2万km,秋田県,manen
mazda-scrum-truck,スクラムトラック,,2019,2019年式,root,root,50,21.7,112.0,52.2,51.2,36.6,61.8,112.0,"2019年式 / 冷凍車 / 85,000km / 茨城県",2019年式,冷凍車,"85,000km",茨城県,manen
mazda-scrum-truck,スクラムトラック,,2018,2018年式,root,root,58,9.7,110.5,48.5,47.5,37.2,57.8,110.5,"2018年式 / 冷凍車 / 37,000km / 長野県",2018年式,冷凍車,"37,000km",長野県,manen
mazda-scrum-truck,スクラムトラック,,2017,2017年式,root,root,54,16.5,60.5,39.0,39.6,27.3,49.5,60.5,"2017年式 / KC 4WD / 9,000km / 埼玉県",2017年式,KC 4WD,"9,000km",埼玉県,manen
mazda-scrum-truck,スクラムトラック,,2016,2016年式,root,root,65,5.0,91.0,39.7,38.3,30.2,48.5,91.0,"2016年式 / 冷凍車 / 71,000km / 静岡県",2016年式,冷凍車,"71,000km",静岡県,manen
mazda-scrum-truck,スクラムトラック,,2015,2015年式,root,root,64,5.0,84.7,37.5,37.8,25.8,46.0,84.7,"2015年式 / 冷凍車 / 776,000km / 岐阜県",2015年式,冷凍車,"776,000km",岐阜県,manen
mazda-scrum-truck,スクラムトラック,,2014,2014年式,root,root,64,10.2,75.0,31.3,28.1,21.9,37.2,75.0,"2014年式 / 冷凍車 / 29,000km / 大分県",2014年式,冷凍車,"29,000km",大分県,manen
mazda-scrum-truck,スクラムトラック,,2013,2013年式,root,root,61,7.9,59.0,28.5,26.6,18.0,39.2,59.0,"2013年式 / KX 4WD / 43,000km / 佐賀県",2013年式,KX 4WD,"43,000km",佐賀県,manen
mazda-scrum-truck,スクラムトラック,,2012,2012年式,root,root,61,5.0,86.1,27.3,22.8,18.3,33.4,86.1,"2012年式 / キャンピング / 84,000km / 静岡県",2012年式,キャンピング,"84,000km",静岡県,manen
mazda-scrum-truck,スクラムトラック,,2011,2011年式,root,root,49,6.1,105.0,31.7,24.5,18.0,34.0,105.0,"2011年式 / キャンピング / 173,000km / 高知県",2011年式,キャンピング,"173,000km",高知県,manen
mazda-scrum-truck,スクラムトラック,,2010,2010年式,root,root,51,5.0,94.0,27.7,23.3,18.2,31.3,94.0,"2010年式 / キャンピング / 144,000km / 群馬県",2010年式,キャンピング,"144,000km",群馬県,manen
mazda-scrum-truck,スクラムトラック,,2009,2009年式,root,root,57,5.0,110.0,26.5,22.2,17.5,30.2,110.0,"2009年式 / キャンピング / 79,000km / 長野県",2009年式,キャンピング,"79,000km",長野県,manen
mazda-scrum-truck,スクラムトラック,,2008,2008年式,root,root,63,5.0,92.0,22.5,20.0,15.5,24.7,92.0,"2008年式 / キャンピング / 61,000km / 新潟県",2008年式,キャンピング,"61,000km",新潟県,manen
