model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mazda-sentia,センティア,root,root,"13,000km",13000,13000,1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,"1996年式 / 3.0 エクスクルーシブ / 13,000km / 岐阜県",1996年式,3.0 エクスクルーシブ,"13,000km",岐阜県,manen
mazda-sentia,センティア,root,root,2万km,20000,20000,1,21.4,21.4,21.4,21.4,21.4,21.4,21.4,1997年式 / 3.0 ロイヤルクラシック / 2万km / 群馬県,1997年式,3.0 ロイヤルクラシック,2万km,群馬県,manen
mazda-sentia,センティア,root,root,"28,000km",28000,28000,1,4.3,4.3,4.3,4.3,4.3,4.3,4.3,"1996年式 / 3.0 リミテッド / 28,000km / 静岡県",1996年式,3.0 リミテッド,"28,000km",静岡県,manen
mazda-sentia,センティア,root,root,"29,000km",29000,29000,1,8.5,8.5,8.5,8.5,8.5,8.5,8.5,"1996年式 / 3.0 リミテッド / 29,000km / 石川県",1996年式,3.0 リミテッド,"29,000km",石川県,manen
mazda-sentia,センティア,root,root,"37,000km",37000,37000,3,4.4,4.5,4.4,4.4,4.4,4.5,4.5,"1994年式 / 3.0 リミテッド G / 37,000km / 大阪府",1994年式,3.0 リミテッド G,"37,000km",大阪府,manen
mazda-sentia,センティア,root,root,"38,000km",38000,38000,1,16.8,16.8,16.8,16.8,16.8,16.8,16.8,"1995年式 / 3.0 エクスクルーシブ / 38,000km / 群馬県",1995年式,3.0 エクスクルーシブ,"38,000km",群馬県,manen
mazda-sentia,センティア,root,root,4万km,40000,40000,1,13.0,13.0,13.0,13.0,13.0,13.0,13.0,2006年式 / 3.0 エクスクルーシブ / 4万km / 宮城県,2006年式,3.0 エクスクルーシブ,4万km,宮城県,manen
mazda-sentia,センティア,root,root,"41,000km",41000,41000,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,"1997年式 / 3.0 リミテッド G / 41,000km / 広島県",1997年式,3.0 リミテッド G,"41,000km",広島県,manen
mazda-sentia,センティア,root,root,"42,000km",42000,42000,3,4.9,16.0,8.7,5.3,4.9,16.0,16.0,"1999年式 / 3.0 エクスクルーシブ / 42,000km / 佐賀県",1999年式,3.0 エクスクルーシブ,"42,000km",佐賀県,manen
mazda-sentia,センティア,root,root,"44,000km",44000,44000,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,"1996年式 / 3.0 エクスクルーシブ / 44,000km / 長崎県",1996年式,3.0 エクスクルーシブ,"44,000km",長崎県,manen
mazda-sentia,センティア,root,root,"45,000km",45000,45000,1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,"1997年式 / 3.0 リミテッド G / 45,000km / 山口県",1997年式,3.0 リミテッド G,"45,000km",山口県,manen
mazda-sentia,センティア,root,root,"47,000km",47000,47000,1,10.5,10.5,10.5,10.5,10.5,10.5,10.5,"1995年式 / 3.0 エクスクルーシブ / 47,000km / 東京都",1995年式,3.0 エクスクルーシブ,"47,000km",東京都,manen
mazda-sentia,センティア,root,root,"48,000km",48000,48000,2,9.1,9.1,9.1,9.1,9.1,9.1,9.1,"1999年式 / 3.0 リミテッド G / 48,000km / 和歌山県",1999年式,3.0 リミテッド G,"48,000km",和歌山県,manen
mazda-sentia,センティア,root,root,"55,000km",55000,55000,2,5.4,8.2,6.8,6.8,5.4,8.2,8.2,"1995年式 / 3.0 30 リミテッドG / 55,000km / 熊本県",1995年式,3.0 30 リミテッドG,"55,000km",熊本県,manen
mazda-sentia,センティア,root,root,"63,000km",63000,63000,3,3.9,24.2,10.8,4.2,3.9,24.2,24.2,"2000年式 / 3.0 エクスクルーシブ / 63,000km / 三重県",2000年式,3.0 エクスクルーシブ,"63,000km",三重県,manen
mazda-sentia,センティア,root,root,"64,000km",64000,64000,1,24.8,24.8,24.8,24.8,24.8,24.8,24.8,"1991年式 / 2.5 25 リミテッド / 64,000km / 新潟県",1991年式,2.5 25 リミテッド,"64,000km",新潟県,manen
mazda-sentia,センティア,root,root,"71,000km",71000,71000,1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,"1997年式 / 3.0 リミテッド / 71,000km / 岩手県",1997年式,3.0 リミテッド,"71,000km",岩手県,manen
mazda-sentia,センティア,root,root,"78,000km",78000,78000,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,"1995年式 / 3.0 リミテッド / 78,000km / 神奈川県",1995年式,3.0 リミテッド,"78,000km",神奈川県,manen
mazda-sentia,センティア,root,root,"79,000km",79000,79000,1,17.7,17.7,17.7,17.7,17.7,17.7,17.7,"1998年式 / 3.0 リミテッド G / 79,000km / 岐阜県",1998年式,3.0 リミテッド G,"79,000km",岐阜県,manen
mazda-sentia,センティア,root,root,8万km,80000,80000,1,4.6,4.6,4.6,4.6,4.6,4.6,4.6,1996年式 / 3.0 エクスクルーシブ / 8万km / 栃木県,1996年式,3.0 エクスクルーシブ,8万km,栃木県,manen
mazda-sentia,センティア,root,root,"81,000km",81000,81000,1,4.3,4.3,4.3,4.3,4.3,4.3,4.3,"1996年式 / 3.0 リミテッド / 81,000km / 京都府",1996年式,3.0 リミテッド,"81,000km",京都府,manen
mazda-sentia,センティア,root,root,"83,000km",83000,83000,1,4.3,4.3,4.3,4.3,4.3,4.3,4.3,"1993年式 / 3.0 30 タイプJ-X / 83,000km / 佐賀県",1993年式,3.0 30 タイプJ-X,"83,000km",佐賀県,manen
mazda-sentia,センティア,root,root,"89,000km",89000,89000,2,5.1,7.8,6.5,6.5,5.1,7.8,7.8,"1993年式 / 3.0 30 タイプJ-X / 89,000km / 新潟県",1993年式,3.0 30 タイプJ-X,"89,000km",新潟県,manen
mazda-sentia,センティア,root,root,"91,000km",91000,91000,1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,"1990年式 / 3.0 30 リミテッドG / 91,000km / 青森県",1990年式,3.0 30 リミテッドG,"91,000km",青森県,manen
mazda-sentia,センティア,root,root,"92,000km",92000,92000,2,5.1,5.1,5.1,5.1,5.1,5.1,5.1,"1996年式 / 3.0 リミテッド G / 92,000km / 山口県",1996年式,3.0 リミテッド G,"92,000km",山口県,manen
mazda-sentia,センティア,root,root,"94,000km",94000,94000,1,3.9,3.9,3.9,3.9,3.9,3.9,3.9,"1999年式 / 3.0 リミテッド / 94,000km / 栃木県",1999年式,3.0 リミテッド,"94,000km",栃木県,manen
mazda-sentia,センティア,root,root,"95,000km",95000,95000,1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,"1995年式 / 3.0 リミテッド / 95,000km / 広島県",1995年式,3.0 リミテッド,"95,000km",広島県,manen
mazda-sentia,センティア,root,root,"96,000km",96000,96000,1,6.4,6.4,6.4,6.4,6.4,6.4,6.4,"1997年式 / 3.0 30 リミテッドG / 96,000km / 岩手県",1997年式,3.0 30 リミテッドG,"96,000km",岩手県,manen
mazda-sentia,センティア,root,root,"101,000km",101000,101000,1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,"1994年式 / 3.0 エクスクルーシブ / 101,000km / 山形県",1994年式,3.0 エクスクルーシブ,"101,000km",山形県,manen
mazda-sentia,センティア,root,root,"109,000km",109000,109000,1,6.3,6.3,6.3,6.3,6.3,6.3,6.3,"1990年式 / 3.0 エクスクルーシブ / 109,000km / 愛知県",1990年式,3.0 エクスクルーシブ,"109,000km",愛知県,manen
