model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mitsubishi-colt-plus,コルトプラス,root,root,"3,000km",3000,3000,2,27.1,27.1,27.1,27.1,27.1,27.1,27.1,"2010年式 / 1.5 RX / 3,000km / 静岡県",2010年式,1.5 RX,"3,000km",静岡県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"5,000km",5000,5000,1,16.6,16.6,16.6,16.6,16.6,16.6,16.6,"2011年式 / 1.5 RX / 5,000km / 千葉県",2011年式,1.5 RX,"5,000km",千葉県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"6,000km",6000,6000,1,8.5,8.5,8.5,8.5,8.5,8.5,8.5,"2006年式 / 1.5 M / 6,000km / 愛媛県",2006年式,1.5 M,"6,000km",愛媛県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"8,000km",8000,8000,2,9.0,12.6,10.8,10.8,9.0,12.6,12.6,"2009年式 / 1.5 クール ベリー / 8,000km / 長崎県",2009年式,1.5 クール ベリー,"8,000km",長崎県,manen
mitsubishi-colt-plus,コルトプラス,root,root,1万km,10000,10000,5,16.5,37.0,28.1,32.5,20.1,34.5,37.0,2009年式 / 1.5 RX / 1万km / 岡山県,2009年式,1.5 RX,1万km,岡山県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"11,000km",11000,11000,3,11.8,15.0,13.9,15.0,11.8,15.0,15.0,"2009年式 / 1.3 クールベリー / 11,000km / 宮城県",2009年式,1.3 クールベリー,"11,000km",宮城県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"12,000km",12000,12000,2,13.8,18.5,16.1,16.1,13.8,18.5,18.5,"2009年式 / 1.5 ベリー / 12,000km / 神奈川県",2009年式,1.5 ベリー,"12,000km",神奈川県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"13,000km",13000,13000,4,9.3,31.5,20.3,20.2,20.1,20.4,31.5,"2007年式 / 1.5 ベリー プラス ナビ / 13,000km / 群馬県",2007年式,1.5 ベリー プラス ナビ,"13,000km",群馬県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"14,000km",14000,14000,7,5.0,32.3,19.1,21.1,14.5,21.3,32.3,"2010年式 / 1.5 RX / 14,000km / 石川県",2010年式,1.5 RX,"14,000km",石川県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"15,000km",15000,15000,4,12.6,21.0,18.5,20.2,20.1,20.3,21.0,"2007年式 / 1.5 ラリーアート / 15,000km / 福井県",2007年式,1.5 ラリーアート,"15,000km",福井県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"16,000km",16000,16000,3,15.0,26.7,20.6,20.2,15.0,26.7,26.7,"2005年式 / 1.5 リラックスエディション ナビ / 16,000km / 宮城県",2005年式,1.5 リラックスエディション ナビ,"16,000km",宮城県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"17,000km",17000,17000,5,5.0,25.0,15.5,17.4,9.9,20.1,25.0,"2010年式 / 1.3 クールベリー / 17,000km / 神奈川県",2010年式,1.3 クールベリー,"17,000km",神奈川県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"18,000km",18000,18000,5,5.0,36.3,17.0,15.8,7.0,20.7,36.3,"2009年式 / 1.5 RX / 18,000km / 静岡県",2009年式,1.5 RX,"18,000km",静岡県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"19,000km",19000,19000,4,11.2,27.4,17.9,16.5,15.6,17.4,27.4,"2010年式 / 1.3 ベリー / 19,000km / 兵庫県",2010年式,1.3 ベリー,"19,000km",兵庫県,manen
mitsubishi-colt-plus,コルトプラス,root,root,2万km,20000,20000,4,15.4,26.1,20.4,20.1,18.5,21.8,26.1,2009年式 / 1.5 RX / 2万km / 富山県,2009年式,1.5 RX,2万km,富山県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"21,000km",21000,21000,3,5.0,18.0,12.3,13.9,5.0,18.0,18.0,"2005年式 / 1.5 リラックスエディション ナビ / 21,000km / 兵庫県",2005年式,1.5 リラックスエディション ナビ,"21,000km",兵庫県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"22,000km",22000,22000,1,22.7,22.7,22.7,22.7,22.7,22.7,22.7,"2008年式 / 1.5 クール ベリー / 22,000km / 山形県",2008年式,1.5 クール ベリー,"22,000km",山形県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"23,000km",23000,23000,6,15.4,29.5,24.3,27.1,17.4,29.5,29.5,"2010年式 / 1.5 クール ベリー 4WD / 23,000km / 愛知県",2010年式,1.5 クール ベリー 4WD,"23,000km",愛知県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"24,000km",24000,24000,4,7.0,22.4,15.8,16.8,16.2,17.4,22.4,"2004年式 / 1.5 ラリーアート / 24,000km / 大分県",2004年式,1.5 ラリーアート,"24,000km",大分県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"25,000km",25000,25000,8,6.3,33.9,14.5,11.3,10.0,14.4,33.9,"2010年式 / 1.3 クールベリー / 25,000km / 新潟県",2010年式,1.3 クールベリー,"25,000km",新潟県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"26,000km",26000,26000,5,7.5,23.7,12.7,7.8,7.5,17.1,23.7,"2004年式 / 1.5 M / 26,000km / 兵庫県",2004年式,1.5 M,"26,000km",兵庫県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"27,000km",27000,27000,7,8.2,31.8,16.3,14.1,14.1,17.1,31.8,"2008年式 / 1.5 RX / 27,000km / 茨城県",2008年式,1.5 RX,"27,000km",茨城県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"28,000km",28000,28000,6,3.9,21.9,12.8,13.6,4.3,19.3,21.9,"2004年式 / 1.5 ナビエディション / 28,000km / 島根県",2004年式,1.5 ナビエディション,"28,000km",島根県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"29,000km",29000,29000,5,4.0,17.7,11.2,11.1,6.3,16.8,17.7,"2009年式 / 1.3 クールベリー / 29,000km / 青森県",2009年式,1.3 クールベリー,"29,000km",青森県,manen
mitsubishi-colt-plus,コルトプラス,root,root,3万km,30000,30000,12,6.0,28.9,12.7,8.7,7.2,18.9,28.9,2008年式 / 1.5 ラリーアート / 3万km / 愛媛県,2008年式,1.5 ラリーアート,3万km,愛媛県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"31,000km",31000,31000,8,8.6,31.6,16.1,13.9,12.9,18.3,31.6,"2005年式 / 1.5 ラリーアート / 31,000km / 愛知県",2005年式,1.5 ラリーアート,"31,000km",愛知県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"32,000km",32000,32000,6,5.4,19.2,13.3,13.4,10.8,17.5,19.2,"2003年式 / 1.5 スポーツX / 32,000km / 長野県",2003年式,1.5 スポーツX,"32,000km",長野県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"33,000km",33000,33000,6,6.9,33.5,19.3,17.9,15.1,24.3,33.5,"2008年式 / 1.5 RX / 33,000km / 神奈川県",2008年式,1.5 RX,"33,000km",神奈川県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"34,000km",34000,34000,5,4.8,37.3,14.5,5.0,5.0,20.5,37.3,"2006年式 / 1.5 ラリーアート / 34,000km / 山梨県",2006年式,1.5 ラリーアート,"34,000km",山梨県,manen
mitsubishi-colt-plus,コルトプラス,root,root,"35,000km",35000,35000,5,9.5,19.9,14.4,12.3,11.4,18.7,19.9,"2004年式 / 1.5 スポーツ / 35,000km / 山形県",2004年式,1.5 スポーツ,"35,000km",山形県,manen
