model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mitsubishi-colt-plus,コルトプラス,,2012,2012年式,root,root,9,5.0,20.4,12.3,12.0,6.3,18.0,20.4,"2012年式 / 1.3 クールベリー 4WD / 49,000km / 山形県",2012年式,1.3 クールベリー 4WD,"49,000km",山形県,manen
mitsubishi-colt-plus,コルトプラス,,2011,2011年式,root,root,48,5.0,34.5,14.9,15.2,9.8,18.9,34.5,2011年式 / 1.3 クールベリー 4WD / 1万km / 神奈川県,2011年式,1.3 クールベリー 4WD,1万km,神奈川県,manen
mitsubishi-colt-plus,コルトプラス,,2010,2010年式,root,root,98,5.0,33.9,17.8,17.2,12.5,23.4,33.9,"2010年式 / 1.3 クールベリー / 25,000km / 新潟県",2010年式,1.3 クールベリー,"25,000km",新潟県,manen
mitsubishi-colt-plus,コルトプラス,,2009,2009年式,root,root,122,4.8,37.0,15.3,15.0,8.5,20.1,37.0,2009年式 / 1.5 RX / 1万km / 岡山県,2009年式,1.5 RX,1万km,岡山県,manen
mitsubishi-colt-plus,コルトプラス,,2008,2008年式,root,root,102,4.3,35.0,14.0,13.2,7.3,19.0,35.0,"2008年式 / 1.5 RX / 44,000km / 茨城県",2008年式,1.5 RX,"44,000km",茨城県,manen
mitsubishi-colt-plus,コルトプラス,,2007,2007年式,root,root,119,4.0,31.5,14.7,14.7,8.8,20.0,31.5,"2007年式 / 1.5 ベリー プラス ナビ / 13,000km / 群馬県",2007年式,1.5 ベリー プラス ナビ,"13,000km",群馬県,manen
mitsubishi-colt-plus,コルトプラス,,2006,2006年式,root,root,110,3.9,37.3,13.2,11.8,7.2,17.4,37.3,"2006年式 / 1.5 ラリーアート / 34,000km / 山梨県",2006年式,1.5 ラリーアート,"34,000km",山梨県,manen
mitsubishi-colt-plus,コルトプラス,,2005,2005年式,root,root,111,3.9,34.6,13.3,12.6,7.3,17.3,34.6,"2005年式 / 1.5 RX / 55,000km / 茨城県",2005年式,1.5 RX,"55,000km",茨城県,manen
mitsubishi-colt-plus,コルトプラス,,2004,2004年式,root,root,138,3.6,29.6,10.6,8.5,5.6,14.4,29.6,"2004年式 / 1.5 ラリーアート / 36,000km / 宮城県",2004年式,1.5 ラリーアート,"36,000km",宮城県,manen
mitsubishi-colt-plus,コルトプラス,,2003,2003年式,root,root,41,3.6,28.0,9.7,7.3,4.8,12.4,28.0,"2003年式 / 1.5 ラリーアート / 36,000km / 熊本県",2003年式,1.5 ラリーアート,"36,000km",熊本県,manen
mitsubishi-colt-plus,コルトプラス,,1989,1989年式,root,root,1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,"1989年式 / 1.3 クールベリー / 28,000km / 高知県",1989年式,1.3 クールベリー,"28,000km",高知県,manen
