model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mitsubishi-delica-space-gear,デリカ スペースギア,root,root,0万km,0,0,11,8.1,31.1,18.3,18.0,14.8,20.6,31.1,1995年式 / 2.8 エクシード クリスタルライトルーフ ディーゼル 4WD / 0万km / 群馬県,1995年式,2.8 エクシード クリスタルライトルーフ ディーゼル 4WD,0万km,群馬県,manen
mitsubishi-delica-space-gear,デリカ スペースギア,root,root,"9,000km",9000,9000,1,63.0,63.0,63.0,63.0,63.0,63.0,63.0,"2003年式 / 3.0 シャモニー ハイルーフ 4WD / 9,000km / 山口県",2003年式,3.0 シャモニー ハイルーフ 4WD,"9,000km",山口県,manen
mitsubishi-delica-space-gear,デリカ スペースギア,root,root,"19,000km",19000,19000,1,10.6,10.6,10.6,10.6,10.6,10.6,10.6,"1995年式 / 2.4 XG ハイルーフ / 19,000km / 福島県",1995年式,2.4 XG ハイルーフ,"19,000km",福島県,manen
mitsubishi-delica-space-gear,デリカ スペースギア,root,root,"24,000km",24000,24000,1,40.2,40.2,40.2,40.2,40.2,40.2,40.2,"1999年式 / 3.0 スーパーエクシード クリスタルライトルーフ 4WD / 24,000km / 東京都",1999年式,3.0 スーパーエクシード クリスタルライトルーフ 4WD,"24,000km",東京都,manen
mitsubishi-delica-space-gear,デリカ スペースギア,root,root,"33,000km",33000,33000,1,44.1,44.1,44.1,44.1,44.1,44.1,44.1,"2004年式 / 3.0 アクティブフィールドエディション ハイルーフ 4WD / 33,000km / 山口県",2004年式,3.0 アクティブフィールドエディション ハイルーフ 4WD,"33,000km",山口県,manen
mitsubishi-delica-space-gear,デリカ スペースギア,root,root,4万km,40000,40000,2,7.5,7.5,7.5,7.5,7.5,7.5,7.5,1997年式 / 2.4 エアロ エアロルーフ / 4万km / 宮崎県,1997年式,2.4 エアロ エアロルーフ,4万km,宮崎県,manen
mitsubishi-delica-space-gear,デリカ スペースギア,root,root,"41,000km",41000,41000,2,27.3,42.5,34.9,34.9,27.3,42.5,42.5,"2001年式 / 3.0 20thアニバーサリーリミテッド ハイルーフ 4WD / 41,000km / 京都府",2001年式,3.0 20thアニバーサリーリミテッド ハイルーフ 4WD,"41,000km",京都府,manen
mitsubishi-delica-space-gear,デリカ スペースギア,root,root,"42,000km",42000,42000,5,25.0,61.5,42.9,45.9,33.8,48.1,61.5,"2005年式 / 3.0 アクティブフィールドエディション ハイルーフ 4WD / 42,000km / 兵庫県",2005年式,3.0 アクティブフィールドエディション ハイルーフ 4WD,"42,000km",兵庫県,manen
mitsubishi-delica-space-gear,デリカ スペースギア,root,root,"43,000km",43000,43000,2,22.5,47.3,34.9,34.9,22.5,47.3,47.3,"2005年式 / 3.0 アクティブフィールドエディション ハイルーフ 4WD / 43,000km / 奈良県",2005年式,3.0 アクティブフィールドエディション ハイルーフ 4WD,"43,000km",奈良県,manen
mitsubishi-delica-space-gear,デリカ スペースギア,root,root,"44,000km",44000,44000,1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,"1994年式 / 2.4 エクシードI ツインサンルーフ 4WD / 44,000km / 新潟県",1994年式,2.4 エクシードI ツインサンルーフ 4WD,"44,000km",新潟県,manen
