model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mitsubishi-delica-van,デリカバン,,2019,2019年式,root,root,1,47.2,47.2,47.2,47.2,47.2,47.2,47.2,"2019年式 / 1.6 DX / 173,000km / 宮崎県",2019年式,1.6 DX,"173,000km",宮崎県,manen
mitsubishi-delica-van,デリカバン,,2018,2018年式,root,root,10,37.4,75.0,61.8,65.5,52.5,73.5,75.0,"2018年式 / 1.6 DX / 69,000km / 山口県",2018年式,1.6 DX,"69,000km",山口県,manen
mitsubishi-delica-van,デリカバン,,2017,2017年式,root,root,16,17.5,74.9,53.5,53.5,43.0,69.0,74.9,2017年式 / 1.6 DX / 5万km / 福井県,2017年式,1.6 DX,5万km,福井県,manen
mitsubishi-delica-van,デリカバン,,2016,2016年式,root,root,21,9.8,60.5,38.2,37.7,30.2,45.8,60.5,"2016年式 / 1.6 DX / 39,000km / 奈良県",2016年式,1.6 DX,"39,000km",奈良県,manen
mitsubishi-delica-van,デリカバン,,2015,2015年式,root,root,19,19.6,63.0,37.9,38.0,26.5,46.2,63.0,"2015年式 / 1.6 DX / 19,000km / 徳島県",2015年式,1.6 DX,"19,000km",徳島県,manen
mitsubishi-delica-van,デリカバン,,2014,2014年式,root,root,13,17.1,69.5,40.7,44.5,30.0,46.9,69.5,"2014年式 / 1.6 GX / 58,000km / 群馬県",2014年式,1.6 GX,"58,000km",群馬県,manen
mitsubishi-delica-van,デリカバン,,2013,2013年式,root,root,20,9.7,72.4,34.0,28.0,19.7,44.0,72.4,2013年式 / 1.6 DX / 8万km / 新潟県,2013年式,1.6 DX,8万km,新潟県,manen
mitsubishi-delica-van,デリカバン,,2012,2012年式,root,root,28,12.3,55.4,33.9,35.6,23.7,44.5,55.4,"2012年式 / 1.6 DX / 56,000km / 石川県",2012年式,1.6 DX,"56,000km",石川県,manen
mitsubishi-delica-van,デリカバン,,2011,2011年式,root,root,53,5.0,76.0,32.5,32.1,21.9,43.3,76.0,"2011年式 / 1.6 GX / 48,000km / 山梨県",2011年式,1.6 GX,"48,000km",山梨県,manen
mitsubishi-delica-van,デリカバン,,2010,2010年式,root,root,38,5.0,71.5,31.0,26.4,15.9,36.5,71.5,"2010年式 / 2.0 CD エアロルーフ ディーゼル 4WD / 27,000km / 広島県",2010年式,2.0 CD エアロルーフ ディーゼル 4WD,"27,000km",広島県,manen
mitsubishi-delica-van,デリカバン,,2009,2009年式,root,root,32,5.3,56.0,22.1,21.9,16.2,27.7,56.0,"2009年式 / 1.8 GL ハイルーフ 4WD / 82,000km / 宮城県",2009年式,1.8 GL ハイルーフ 4WD,"82,000km",宮城県,manen
mitsubishi-delica-van,デリカバン,,2008,2008年式,root,root,33,6.3,54.9,26.1,24.6,19.1,35.0,54.9,"2008年式 / 2.0 GL エアロルーフ ディーゼル 4WD / 65,000km / 山口県",2008年式,2.0 GL エアロルーフ ディーゼル 4WD,"65,000km",山口県,manen
mitsubishi-delica-van,デリカバン,,2007,2007年式,root,root,39,5.6,59.5,23.8,21.0,12.8,30.0,59.5,"2007年式 / 2.0 DX エアロルーフ ディーゼル / 27,000km / 大阪府",2007年式,2.0 DX エアロルーフ ディーゼル,"27,000km",大阪府,manen
mitsubishi-delica-van,デリカバン,,2006,2006年式,root,root,32,4.2,48.0,20.5,21.2,10.5,28.7,48.0,"2006年式 / 2.5 DX ディーゼル 4WD / 58,000km / 大阪府",2006年式,2.5 DX ディーゼル 4WD,"58,000km",大阪府,manen
mitsubishi-delica-van,デリカバン,,2005,2005年式,root,root,20,4.2,46.0,17.5,12.4,7.6,22.2,46.0,"2005年式 / 2.0 DX ハイルーフ ディーゼル / 51,000km / 新潟県",2005年式,2.0 DX ハイルーフ ディーゼル,"51,000km",新潟県,manen
mitsubishi-delica-van,デリカバン,,2004,2004年式,root,root,22,5.9,42.8,23.3,20.8,12.0,30.0,42.8,"2004年式 / 2.0 DX エアロルーフ ディーゼル 4WD / 65,000km / 広島県",2004年式,2.0 DX エアロルーフ ディーゼル 4WD,"65,000km",広島県,manen
