model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mitsubishi-diamante,ディアマンテ,root,root,0万km,0,0,1,9.5,9.5,9.5,9.5,9.5,9.5,9.5,2000年式 / 2.5 25V-SE 4WD / 0万km / 岩手県,2000年式,2.5 25V-SE 4WD,0万km,岩手県,manen
mitsubishi-diamante,ディアマンテ,root,root,1万km,10000,10000,1,4.4,4.4,4.4,4.4,4.4,4.4,4.4,1994年式 / 3.0 30R / 1万km / 神奈川県,1994年式,3.0 30R,1万km,神奈川県,manen
mitsubishi-diamante,ディアマンテ,root,root,"21,000km",21000,21000,1,3.9,3.9,3.9,3.9,3.9,3.9,3.9,"2003年式 / 2.5 25V-SE / 21,000km / 佐賀県",2003年式,2.5 25V-SE,"21,000km",佐賀県,manen
mitsubishi-diamante,ディアマンテ,root,root,"24,000km",24000,24000,1,15.0,15.0,15.0,15.0,15.0,15.0,15.0,"2005年式 / 2.5 25V-SE / 24,000km / 静岡県",2005年式,2.5 25V-SE,"24,000km",静岡県,manen
mitsubishi-diamante,ディアマンテ,root,root,"25,000km",25000,25000,1,9.7,9.7,9.7,9.7,9.7,9.7,9.7,"1989年式 / 2.5 25V-SE / 25,000km / 岡山県",1989年式,2.5 25V-SE,"25,000km",岡山県,manen
mitsubishi-diamante,ディアマンテ,root,root,"28,000km",28000,28000,1,17.4,17.4,17.4,17.4,17.4,17.4,17.4,"2004年式 / 2.5 25V / 28,000km / 鳥取県",2004年式,2.5 25V,"28,000km",鳥取県,manen
mitsubishi-diamante,ディアマンテ,root,root,"29,000km",29000,29000,1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,"2000年式 / 2.5 25V / 29,000km / 滋賀県",2000年式,2.5 25V,"29,000km",滋賀県,manen
mitsubishi-diamante,ディアマンテ,root,root,3万km,30000,30000,2,5.5,12.0,8.8,8.8,5.5,12.0,12.0,2004年式 / 2.5 25V / 3万km / 福岡県,2004年式,2.5 25V,3万km,福岡県,manen
mitsubishi-diamante,ディアマンテ,root,root,"31,000km",31000,31000,1,16.2,16.2,16.2,16.2,16.2,16.2,16.2,"2004年式 / 2.5 25V-SE / 31,000km / 鳥取県",2004年式,2.5 25V-SE,"31,000km",鳥取県,manen
mitsubishi-diamante,ディアマンテ,root,root,"32,000km",32000,32000,1,7.5,7.5,7.5,7.5,7.5,7.5,7.5,"2004年式 / 2.5 エスパーダ / 32,000km / 茨城県",2004年式,2.5 エスパーダ,"32,000km",茨城県,manen
mitsubishi-diamante,ディアマンテ,root,root,"33,000km",33000,33000,1,4.9,4.9,4.9,4.9,4.9,4.9,4.9,"1997年式 / 3.0 SE-G / 33,000km / 福岡県",1997年式,3.0 SE-G,"33,000km",福岡県,manen
mitsubishi-diamante,ディアマンテ,root,root,"34,000km",34000,34000,1,14.5,14.5,14.5,14.5,14.5,14.5,14.5,"2002年式 / 2.5 25V / 34,000km / 長崎県",2002年式,2.5 25V,"34,000km",長崎県,manen
mitsubishi-diamante,ディアマンテ,root,root,"38,000km",38000,38000,1,5.2,5.2,5.2,5.2,5.2,5.2,5.2,"2003年式 / 2.5 25V-SE / 38,000km / 宮崎県",2003年式,2.5 25V-SE,"38,000km",宮崎県,manen
