model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mitsubishi-eclipse-cross,エクリプス クロス,root,root,0万km,0,0,8,216.0,314.0,264.6,273.1,238.0,288.3,314.0,2020年式 / PHEV 2.4 G 4WD / 0万km / 香川県,2020年式,PHEV 2.4 G 4WD,0万km,香川県,manen
mitsubishi-eclipse-cross,エクリプス クロス,root,root,"1,000km",1000,1000,6,188.0,335.0,251.0,239.7,203.5,300.0,335.0,"2024年式 / PHEV 2.4 P 4WD / 1,000km / 三重県",2024年式,PHEV 2.4 P 4WD,"1,000km",三重県,manen
mitsubishi-eclipse-cross,エクリプス クロス,root,root,"2,000km",2000,2000,12,210.5,330.4,279.0,277.7,271.5,299.8,330.4,"2022年式 / PHEV 2.4 P 4WD / 2,000km / 東京都",2022年式,PHEV 2.4 P 4WD,"2,000km",東京都,manen
mitsubishi-eclipse-cross,エクリプス クロス,root,root,"3,000km",3000,3000,12,137.3,327.0,265.9,271.9,253.1,297.0,327.0,"2020年式 / PHEV 2.4 P 4WD / 3,000km / 神奈川県",2020年式,PHEV 2.4 P 4WD,"3,000km",神奈川県,manen
mitsubishi-eclipse-cross,エクリプス クロス,root,root,"4,000km",4000,4000,18,196.5,310.5,260.4,266.5,228.5,288.0,310.5,"2021年式 / PHEV 2.4 P 4WD / 4,000km / 高知県",2021年式,PHEV 2.4 P 4WD,"4,000km",高知県,manen
mitsubishi-eclipse-cross,エクリプス クロス,root,root,"5,000km",5000,5000,14,215.5,319.5,252.1,251.1,231.2,258.9,319.5,"2021年式 / PHEV 2.4 P 4WD / 5,000km / 東京都",2021年式,PHEV 2.4 P 4WD,"5,000km",東京都,manen
mitsubishi-eclipse-cross,エクリプス クロス,root,root,"6,000km",6000,6000,10,229.5,311.5,261.2,253.9,244.0,279.5,311.5,"2024年式 / PHEV 2.4 P 4WD / 6,000km / 宮崎県",2024年式,PHEV 2.4 P 4WD,"6,000km",宮崎県,manen
mitsubishi-eclipse-cross,エクリプス クロス,root,root,"7,000km",7000,7000,9,215.2,301.2,249.6,252.0,230.3,255.0,301.2,"2020年式 / PHEV 2.4 P 4WD / 7,000km / 東京都",2020年式,PHEV 2.4 P 4WD,"7,000km",東京都,manen
mitsubishi-eclipse-cross,エクリプス クロス,root,root,"8,000km",8000,8000,12,217.0,320.5,257.3,254.0,248.8,263.5,320.5,"2021年式 / PHEV 2.4 P 4WD / 8,000km / 岡山県",2021年式,PHEV 2.4 P 4WD,"8,000km",岡山県,manen
mitsubishi-eclipse-cross,エクリプス クロス,root,root,"9,000km",9000,9000,14,216.0,330.0,281.1,284.0,252.5,308.0,330.0,"2022年式 / 1.5 G リミテッドエディション 4WD / 9,000km / 岐阜県",2022年式,1.5 G リミテッドエディション 4WD,"9,000km",岐阜県,manen
