model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
mitsubishi-ek-wagon,eKワゴン,,2024,2024年式,root,root,7,61.0,80.7,70.3,70.5,65.6,70.5,80.7,"2024年式 / M 4WD / 32,000km / 大阪府",2024年式,M 4WD,"32,000km",大阪府,manen
mitsubishi-ek-wagon,eKワゴン,,2023,2023年式,root,root,23,43.0,84.0,72.4,77.3,67.9,79.5,84.0,"2023年式 / M / 32,000km / 熊本県",2023年式,M,"32,000km",熊本県,manen
mitsubishi-ek-wagon,eKワゴン,,2022,2022年式,root,root,48,47.7,84.0,70.2,71.4,66.0,75.4,84.0,"2022年式 / G 4WD / 31,000km / 鳥取県",2022年式,G 4WD,"31,000km",鳥取県,manen
mitsubishi-ek-wagon,eKワゴン,,2021,2021年式,root,root,47,31.2,84.0,63.1,65.6,59.0,73.0,84.0,"2021年式 / M / 8,000km / 三重県",2021年式,M,"8,000km",三重県,manen
mitsubishi-ek-wagon,eKワゴン,,2020,2020年式,root,root,51,12.5,82.5,51.1,48.6,40.5,65.2,82.5,2020年式 / G 4WD / 3万km / 茨城県,2020年式,G 4WD,3万km,茨城県,manen
mitsubishi-ek-wagon,eKワゴン,,2019,2019年式,root,root,99,5.0,77.0,42.6,41.9,32.9,50.4,77.0,"2019年式 / G 4WD / 48,000km / 三重県",2019年式,G 4WD,"48,000km",三重県,manen
mitsubishi-ek-wagon,eKワゴン,,2018,2018年式,root,root,112,5.0,60.9,32.5,30.9,23.1,41.5,60.9,"2018年式 / M e-アシスト 4WD / 44,000km / 和歌山県",2018年式,M e-アシスト 4WD,"44,000km",和歌山県,manen
mitsubishi-ek-wagon,eKワゴン,,2017,2017年式,root,root,95,5.0,58.0,28.4,28.4,22.3,35.5,58.0,"2017年式 / G 4WD / 46,000km / 長野県",2017年式,G 4WD,"46,000km",長野県,manen
mitsubishi-ek-wagon,eKワゴン,,2016,2016年式,root,root,94,5.0,53.5,25.7,26.4,20.6,30.5,53.5,"2016年式 / E / 22,000km / 秋田県",2016年式,E,"22,000km",秋田県,manen
mitsubishi-ek-wagon,eKワゴン,,2015,2015年式,root,root,86,5.0,40.6,21.1,20.9,15.1,28.4,40.6,"2015年式 / G e-アシスト / 23,000km / 宮城県",2015年式,G e-アシスト,"23,000km",宮城県,manen
mitsubishi-ek-wagon,eKワゴン,,2014,2014年式,root,root,83,2.0,47.2,20.0,20.4,12.7,27.5,47.2,"2014年式 / M 4WD / 48,000km / 徳島県",2014年式,M 4WD,"48,000km",徳島県,manen
mitsubishi-ek-wagon,eKワゴン,,2013,2013年式,root,root,81,5.0,39.5,16.3,17.1,7.8,23.5,39.5,"2013年式 / M / 9,000km / 愛媛県",2013年式,M,"9,000km",愛媛県,manen
mitsubishi-ek-wagon,eKワゴン,,2012,2012年式,root,root,49,5.0,53.2,15.0,16.8,5.0,20.1,53.2,2012年式 / M 4WD / 5万km / 高知県,2012年式,M 4WD,5万km,高知県,manen
mitsubishi-ek-wagon,eKワゴン,,2011,2011年式,root,root,29,5.0,24.0,11.2,6.9,5.0,17.7,24.0,"2011年式 / M 4WD / 66,000km / 長崎県",2011年式,M 4WD,"66,000km",長崎県,manen
mitsubishi-ek-wagon,eKワゴン,,2010,2010年式,root,root,24,5.0,20.1,8.1,5.0,5.0,7.2,20.1,2010年式 / GS / 4万km / 鹿児島県,2010年式,GS,4万km,鹿児島県,manen
mitsubishi-ek-wagon,eKワゴン,,2009,2009年式,root,root,21,5.0,21.3,8.9,5.0,5.0,12.9,21.3,"2009年式 / M / 52,000km / 宮城県",2009年式,M,"52,000km",宮城県,manen
mitsubishi-ek-wagon,eKワゴン,,2008,2008年式,root,root,19,5.0,21.0,8.8,5.0,5.0,12.7,21.0,"2008年式 / GS 4WD / 53,000km / 東京都",2008年式,GS 4WD,"53,000km",東京都,manen
mitsubishi-ek-wagon,eKワゴン,,2007,2007年式,root,root,12,5.0,13.5,6.3,5.0,5.0,5.0,13.5,"2007年式 / GS / 35,000km / 茨城県",2007年式,GS,"35,000km",茨城県,manen
mitsubishi-ek-wagon,eKワゴン,,2006,2006年式,root,root,7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"2006年式 / MS / 57,000km / 神奈川県",2006年式,MS,"57,000km",神奈川県,manen
mitsubishi-ek-wagon,eKワゴン,,2005,2005年式,root,root,5,5.0,15.5,7.1,5.0,5.0,5.0,15.5,2005年式 / M / 6万km / 東京都,2005年式,M,6万km,東京都,manen
mitsubishi-ek-wagon,eKワゴン,,2004,2004年式,root,root,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"2004年式 / ブルームエディション / 63,000km / 兵庫県",2004年式,ブルームエディション,"63,000km",兵庫県,manen
mitsubishi-ek-wagon,eKワゴン,,2003,2003年式,root,root,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2003年式 / ブルームエディション / 13万km / 愛知県,2003年式,ブルームエディション,13万km,愛知県,manen
mitsubishi-ek-wagon,eKワゴン,,2002,2002年式,root,root,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2002年式 / ブラックインテリア エディションM / 6万km / 静岡県,2002年式,ブラックインテリア エディションM,6万km,静岡県,manen
mitsubishi-ek-wagon,eKワゴン,,1950,1950年式,root,root,1,8.5,8.5,8.5,8.5,8.5,8.5,8.5,"1950年式 / G / 68,000km / 兵庫県",1950年式,G,"68,000km",兵庫県,manen
